time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,NekRS_pressureDrop,mFlow_deadend,mFlow_out2,mFlow_out6,p_inlet_interface,p_outlet_interface,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity
10,0.36416625653254,15022563.77791,549.21348631101,0.16719087176267,3.4697773716234,15021031.328331,549.22225527127,1.5930261710591,10.863,3.0993929012978,3.4673540468286,0.36416625653254,15021042.191331,15021031.328331,549.21348631101,0.16719087176267,14999993.115833,768.7862790379,550.13690113737,1.5945408575366,15012654.940957,769.07850891617,549.96572863171,1.5945408575371,15005272.288659,768.98624354085,550.01977271362,0.16870288392141,15013917.771416,771.22673838255,548.70741164281,0.1671908721098
11,-1.7739503242347,15021042.21027,549.21309194527,-0.81443032308546,0.36416625667562,15016440.64965,549.21348614342,0.16719087176626,10.863,2.1365023765283,0.3664101544448,-1.7739503242347,15016451.51265,15016440.64965,549.21309194527,-0.81443032308546,14999974.188108,769.88020834297,549.49613633511,0.98162963018059,15009997.591504,768.13630118208,550.51762311851,0.16870864996258,15004304.277739,771.13741321592,548.75973350901,0.81292136710347,15012676.450406,770.49951902994,549.13337752791,0.81443093844974
12,1.3545313326424,15016451.511739,549.05017789846,0.6216483247804,-1.7739503242355,15017100.717577,549.21309194301,-0.81443032308175,10.863,-3.1277465765957,-1.7722739390848,1.3545313326424,15017111.580577,15017100.717577,549.05017789846,0.6216483247804,14999797.255943,769.07416984368,549.96827022641,1.4384741496512,15010386.022459,768.79883682667,550.12954546182,0.81531657616476,15003625.705121,769.94246667708,549.45966875996,0.62315757302275,15010039.32084,771.7097429744,548.42449359651,0.6216483336314
13,2.5578665708944,15017111.595008,548.84063140491,1.1733620542883,1.3545313328539,15021740.176835,549.05017794583,0.62164832494272,10.863,-1.1996074131925,1.3530189083186,2.5578665708944,15021751.039835,15021740.176835,548.84063140491,1.1733620542883,14999651.5696,768.9461385289,550.04326406716,1.1748753817142,15013061.403173,767.90519195042,550.65299444501,0.62316693771718,15003087.841366,769.14778062882,549.92515299757,1.1748753767357,15010095.823787,771.02780348491,548.82393697928,1.1733620531523
14,0.048861212122777,15021751.040145,548.83659985536,0.022413749443732,2.557866570899,15020381.119025,548.84063140457,1.1733620542896,10.863,2.5017100074909,2.5545884492785,0.048861212122777,15020391.982025,15020381.119025,548.83659985536,0.022413749443732,15000120.630812,768.73018529632,550.16975782661,1.1748755351747,15012292.810477,769.0192692526,550.00042803243,1.1748755351793,15004861.548331,769.1330572824,549.93377714002,0.023922788517784,15013306.773114,772.15553603703,548.16337205758,0.022413750853559
15,-1.5084335633986,15020391.982025,548.83659980548,-0.69195278770085,0.048861212122782,15016791.950801,548.83659985531,0.022413749443732,10.863,1.5555372762696,0.051959429668668,-1.5084335633986,15016802.813801,15016791.950801,548.83659980548,-0.69195278770085,14999971.096484,770.33179692787,549.23162009173,0.71437752613038,15010140.989361,767.89885390543,550.65670693001,0.023931421351106,15004081.333646,771.87356294152,548.32853669294,0.69044621234748,15012240.337383,771.10233869054,548.78027827476,0.69195278775223
16,1.1124287650975,15016802.813518,548.70164193538,0.51014393015685,-1.5084335634074,15017535.566412,548.83659980819,-0.69195278770904,10.863,-2.6195737065131,-1.5066516335772,1.1124287650975,15017546.429412,15017535.566412,548.70164193538,0.51014393015685,14999840.321058,769.11612529328,549.94369498627,1.2047616256006,15010600.767537,768.80804437043,550.12415217916,0.69311143817547,15003582.180467,770.40088815873,549.19115017409,0.51165018608223,15010193.675115,772.51250335757,547.95427984888,0.51014392957247
17,2.1006169154149,15017546.382788,548.44074527729,0.96275687324806,1.1124287651162,15021258.522379,548.70164203942,0.5101439302829,10.863,-0.98412521873787,1.1106867812349,2.1006169154149,15021269.385379,15021258.522379,548.44074527729,0.96275687324806,14999777.045608,768.95735288391,550.03669530268,0.96426817858478,15012770.08913,767.7448628633,550.7469065793,0.51166161245943,15003289.210714,769.29709773853,549.83769108587,0.96426817943057,15010412.631853,771.84279400602,548.34655947629,0.96275687860455
18,-0.034199301426931,15021269.385347,548.44076730387,-0.015674259248281,2.1006169154162,15020094.101374,548.44074527699,0.96275687324803,10.863,2.1266488095021,2.0965418749201,-0.034199301426931,15020104.964374,15020094.101374,548.44076730387,-0.015674259248281,15000118.311588,768.69327322949,550.19137892506,0.97843664708965,15012113.504286,768.97717390829,550.02508521534,0.96426905756984,15004631.228399,770.49516173685,549.13592979526,0.014167591249008,15012950.056058,771.85296549997,548.34060156358,0.015674259556636
19,-1.3040696331014,15020104.964937,548.44087567486,-0.5976826880911,-0.034199301426274,15017060.211707,548.4407673184,-0.015674259248484,10.863,1.2674894428769,-0.030860286022336,-1.3040696331014,15017071.074707,15017060.211707,548.44087567486,-0.5976826880911,14999966.278949,770.55638413115,549.10006901779,0.59617903206887,15010274.651997,769.00000183187,550.01171384859,0.01419323899316,15004003.825439,772.47699499185,547.97507873491,0.59617904389812,15012058.310254,771.83606425998,548.35050139866,0.59768268156544
20,0.94780592508728,15017071.075089,548.32419146147,0.4342873880125,-1.3040696331099,15017747.485932,548.44087567357,-0.59768268809332,10.863,-2.2496885669782,-1.3016863180339,0.94780592508728,15017758.348932,15017747.485932,548.32419146147,0.4342873880125,14999866.479207,769.14791861384,549.92507217339,1.0346486718805,15010700.408548,768.75982872247,550.15239430594,0.59885791923451,15003562.402715,770.82398376841,548.94332357925,0.43579075303729,15010318.118528,773.33303891564,547.47365436223,0.43428738767628
21,1.8385014380863,15017758.35595,548.03567330503,0.84186939434484,0.94780592530629,15020916.209434,548.32419140805,0.43428738806154,10.863,-0.88620829534852,0.94586828153759,1.8385014380863,15020927.072434,15020916.209434,548.03567330503,0.84186939434484,14999836.890063,768.98057677632,550.02309199873,0.84337868991018,15012564.066359,767.62082522659,550.81956113878,0.43580484003866,15003385.233701,769.45476898204,549.74533577306,0.84337868806783,15010565.322293,772.63868581975,547.88036896629,0.84186939284064
22,-0.015345390022941,15020927.070746,548.02165074054,-0.0070265997793889,1.8385014382758,15019934.922607,548.03567320733,0.84186939424983,10.863,1.8450826293443,1.8337027966557,-0.015345390022941,15019945.785607,15019934.922607,548.02165074054,-0.0070265997793889,15000103.020011,768.67946723884,550.19946572997,0.84890091809312,15012002.824243,768.9780492815,550.02457246891,0.84337969699344,15004475.463656,770.51517642169,549.12420627207,0.0055212408617635,15012699.627459,772.6440056982,547.87725286834,0.0070259968320358
23,-1.109425457943,15019945.785631,548.02165115196,-0.50800199105175,-0.015345390022913,15017281.132085,548.02165074131,-0.0070265997793878,10.863,1.0909796165125,-0.012019484164565,-1.109425457943,15017291.995085,15017281.132085,548.02165115196,-0.50800199105175,14999973.546074,770.54078989989,549.10920327762,0.5065012128351,15010392.634577,769.3956412352,549.77996961899,0.0055251522047594,15003971.857972,772.91251570251,547.71997418587,0.50650121278245,15011962.721596,772.6161306349,547.8935805774,0.50800199058896
24,0.84390784142894,15017291.995186,547.91989818962,0.38633552575589,-1.109425457941,15017884.645172,548.0216511521,-0.50800199105099,10.863,-1.9500456725754,-1.1063146975904,0.84390784142894,15017895.508172,15017884.645172,547.91989818962,0.38633552575589,14999885.391647,769.16257628945,549.91648649735,0.89684065421143,15010765.647736,768.71508446159,550.17860308136,0.50900426003501,15003551.279067,771.09562056003,548.78421339337,0.38783639413119,15010422.670023,774.14766799664,546.99648857137,0.38633552570701
25,1.6647271016824,15017895.49927,547.6321741117,0.76161700432489,0.84390784148369,15020639.696356,547.91989817783,0.38633552577089,10.863,-0.81597403057518,0.84171630861658,1.6647271016824,15020650.559356,15020639.696356,547.6321741117,0.76161700432489,14999868.892,768.97564826617,550.02597885423,0.76312462877521,15012395.127486,767.55197265285,550.85989126394,0.38785204724353,15003440.858292,769.55624570992,549.68589617749,0.76312462843108,15010660.298326,773.35553995799,547.46047446487,0.76161700418688
