time,SAM_dudt,coupled_nekdP,dP,inlet_P,inlet_T,inlet_V,nekRS_accelGradPres,nekRS_posGradPres,outlet_P,outlet_T,outlet_V
0,0,8.2682138631569,11.740869556118,-3285.9628457192,0,0,0,8.2682138631569,-3297.7037152753,548.2444941055,0.23414793995922
0.01,-0.0018328421441671,9.4328777000248,11.393213013337,11.393213013337,548.24400413841,0.2479098020944,-1.4094922657074,8.0233854343174,0,548.2444941055,0.24792562924361
0.02,-0.0017974637331331,9.240755518079,11.159032919912,11.159032919912,548.24320177121,0.24789169385895,-1.382285560054,7.858469958025,0,548.2444941055,0.24790892582632
0.03,-0.0017437295918299,9.1337116070053,11.065708653195,11.065708653195,548.24313028462,0.24787412268824,-1.340962930709,7.7927486762963,0,548.2444941055,0.24789320513687
0.04,-0.0016918006703892,9.0557653754753,11.01173179585,11.01173179585,548.24401966426,0.24785697441442,-1.3010285515427,7.7547368239326,0,548.2444941055,0.24787819532472
0.05,-0.0016825071827431,8.9907794278301,10.929600275703,10.929600275703,548.24518195274,0.24784014816758,-1.2938816736731,7.696897754157,0,548.2444941055,0.24786363883329
0.060000000000001,-0.0016262388763399,8.9939803872438,10.995591134312,10.995591134312,548.24604935812,0.24782357396171,-1.2506102206829,7.7433701665608,0,548.2444941055,0.24784929916881
0.070000000000001,-0.0016144329728629,8.9607604349937,10.961310930743,10.961310930743,548.24648143267,0.24780720202235,-1.241531244791,7.7192291902026,0,548.2444941055,0.24783492674199
0.080000000000001,-0.0016279768985661,8.9158821348323,10.882793624619,10.882793624619,548.2466114356,0.24779100390493,-1.2519467945353,7.663935340297,0,548.2444941055,0.24782032040475
0.090000000000002,-0.0016116749268491,8.9324236304368,10.924084459074,10.924084459074,548.24660383742,0.24777495122129,-1.2394102522455,7.6930133781913,0,548.2444941055,0.24780531060807
0.1,-0.0015934963340514,8.9499495691564,10.96882249046,10.96882249046,548.24651507293,0.24775903587348,-1.2254305508122,7.7245190183442,0,548.2444941055,0.24778977560706
