# Accumulated Timestep,Time,Monitor Point: inlet solute 1 (SolIn1),Monitor Point: inlet solute 2 (SolIn2),Monitor Point: outlet solute 1 (SolOut1),Monitor Point: outlet solute 2 (SolOut2)
782,39.099998,1.9444e-17,6.5412998e-05,7.8767998e-06,3.9238999e-05
783,39.150002,2.2953e-17,6.7061002e-05,7.9549e-06,3.9652001e-05
784,39.200001,2.8114999e-17,6.8898997e-05,8.0489999e-06,4.0045001e-05
785,39.25,2.2006e-17,7.0816997e-05,8.1640001e-06,4.0424999e-05
786,39.299999,3.0378e-17,7.2830997e-05,8.2918996e-06,4.0774001e-05
787,39.349998,3.0769001e-17,7.5053002e-05,8.4181002e-06,4.1182e-05
788,39.400002,2.1429001e-17,7.7379002e-05,8.5412003e-06,4.1752999e-05
789,39.450001,2.5761e-17,7.9796002e-05,8.6788004e-06,4.2403e-05
790,39.5,3.6616999e-17,8.2478e-05,8.8438001e-06,4.3022999e-05
791,39.549999,2.5003e-17,8.5255e-05,9.0275998e-06,4.3635999e-05
792,39.599998,3.1677001e-17,8.8150999e-05,9.2167002e-06,4.4240001e-05
793,39.650002,3.1648e-17,9.1335001e-05,9.4054003e-06,4.4937002e-05
794,39.700001,2.3529e-17,9.4640003e-05,9.6054e-06,4.5845001e-05
795,39.75,2.5173e-17,9.8055003e-05,9.8340997e-06,4.6841e-05
796,39.799999,3.1570999e-17,0.00010182,1.0092e-05,4.7789999e-05
797,39.849998,4.2113998e-17,0.0001057,1.036e-05,4.8737998e-05
798,39.900002,4.4220999e-17,0.00010971,1.0633e-05,4.9703001e-05
799,39.950001,4.4648999e-17,0.0001141,1.092e-05,5.0814e-05
800,40,4.9932999e-17,0.00011862,1.1236e-05,5.2202999e-05
801,40.049999,4.9267999e-17,0.00012327,1.1586e-05,5.3688e-05
802,40.099998,4.4290999e-17,0.00012836,1.1958e-05,5.5092001e-05
803,40.150002,3.1303998e-17,0.00013356,1.2336e-05,5.6501998e-05
804,40.200001,4.6461001e-17,0.00013891001,1.2733e-05,5.7963e-05
805,40.25,5.6063e-17,0.00014473,1.3167e-05,5.9638001e-05
806,40.299999,6.5988002e-17,0.00015069,1.3638e-05,6.1678002e-05
807,40.349998,6.4011001e-17,0.00015676,1.4135e-05,6.3817999e-05
808,40.400002,5.6184e-17,0.00016338,1.4643e-05,6.5827e-05
809,40.450001,4.2341e-17,0.00017009,1.5164e-05,6.785e-05
810,40.5,5.7528003e-17,0.00017696001,1.5727001e-05,6.9975002e-05
811,40.549999,7.6709997e-17,0.00018438,1.6345e-05,7.2392002e-05
812,40.599998,5.7719002e-17,0.00019191,1.7e-05,7.527e-05
813,40.650002,6.8496001e-17,0.00019955001,1.7674e-05,7.8231998e-05
814,40.700001,7.6464e-17,0.00020780999,1.8365001e-05,8.0987003e-05
815,40.75,8.4178002e-17,0.00021614,1.9091e-05,8.3783998e-05
816,40.799999,8.4840997e-17,0.00022459,1.9875e-05,8.6769003e-05
817,40.849998,7.8214003e-17,0.00023367,2.0705e-05,9.0132999e-05
818,40.900002,5.6097999e-17,0.00024282,2.1555001e-05,9.4046001e-05
819,40.950001,8.6980999e-17,0.00025205,2.2423999e-05,9.7994998e-05
820,41,9.9282002e-17,0.00026194999,2.3342e-05,0.00010163
821,41.049999,6.8089002e-17,0.00027187,2.4319001e-05,0.00010535
822,41.099998,9.8845999e-17,0.00028186,2.5351999e-05,0.00010939
823,41.150002,1.0993e-16,0.00029252001,2.6406e-05,0.00011388
824,41.200001,1.6828e-16,0.00030317999,2.7468999e-05,0.00011901
825,41.25,1.4664e-16,0.00031385999,2.8577e-05,0.00012409
826,41.299999,1.4182e-16,0.00032523999,2.9772e-05,0.00012870001
827,41.349998,1.4373e-16,0.00033655,3.1030999e-05,0.00013347001
828,41.400002,1.2380001e-16,0.00034786001,3.2315998e-05,0.00013871001
829,41.450001,1.0585e-16,0.00035983999,3.3592001e-05,0.00014449
830,41.5,7.5635999e-17,0.00037173001,3.4884e-05,0.00015096999
831,41.549999,1.2546001e-16,0.00038355001,3.6254001e-05,0.00015726
832,41.599998,1.6665e-16,0.00039604999,3.7721002e-05,0.00016287
833,41.650002,1.0754e-16,0.00040836999,3.9224e-05,0.00016873
834,41.700001,1.4462e-16,0.00042061001,4.0727999e-05,0.00017525999
835,41.75,1.5465e-16,0.00043345999,4.2242002e-05,0.00018241
836,41.799999,1.1758001e-16,0.00044611,4.3822001e-05,0.00019029999
837,41.849998,1.6159e-16,0.00045858001,4.5497e-05,0.00019779999
838,41.900002,1.9867e-16,0.00047165999,4.7223999e-05,0.00020436999
839,41.950001,1.3611e-16,0.00048444999,4.8919999e-05,0.00021128
840,42,1.802e-16,0.00049702998,5.0605999e-05,0.00021911001
841,42.049999,2.3433e-16,0.00051013002,5.2347001e-05,0.00022759
