time,Branch_in:massflow,Branch_in:pressure,Branch_in:temperature,Branch_in:velocity,Branch_out:massflow,Branch_out:pressure,Branch_out:temperature,Branch_out:velocity,NekRS_pressureDrop,fromNekRS_velocity,mFlow_pipe1out,mFlow_pipe2out,mFlow_pipe4out,mFlow_pipe5out,p_outlet_interface,p_pipe1in,p_pipe1out,p_pipe2in,p_pipe2out,p_pipe4in,p_pipe4out,p_pipe5in,pres_inlet_interface,temp_interface,toNekRS_velocity,vel_pipe5out,branch1:pressure,branch1:rho,branch1:temperature,branch1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,1.8391120847474,-16.116506219871,0.99999999999712,0.23473559217564,1.839111316149,-20.666529522958,1,0.23473549407536,4.55,0,1.8391120847474,1.8391120847474,1.839111316149,-7.6859839848956e-07,-20.666529522958,-27.483203290222,-34.299854754884,-9.2998547551618,-16.116506219871,-20.666529522958,-27.483180318892,4.0372076822404e-07,-16.116529522958,1,0.23473559217564,-9.8100274426433e-08,-27.483203290223,997.561,1.0000000000056,0.23473559217565,-9.2998547551496,25,997.561,1.0000000000072,0.23473559217564
0.01,1.8307000921913,-16.116529548361,0.99999593159742,0.23366192512162,1.6620012306143,-2486.340879959,1,0.21212999811182,7.6713128848925,0.21212999810534,1.8307000923255,1.8307000921913,1.6620012305655,-0.16869886173751,-2486.340879959,-241.80203339637,-141.45928160292,-116.45928155917,-16.116529548361,-2486.340879959,-237.01435941691,-214.80091422966,-2478.6695670741,1,0.23366192512162,-0.021531927030292,-241.80203325723,997.561,0.99999973920377,0.23366192513588,-116.45928167463,25,997.561,0.99998964187087,0.2336619251548
0.02,1.9301375243686,-2478.6695670761,1.0000038383629,0.24635364996,1.819161611318,2054.4172403898,1,0.23218920784513,2022.7802425785,0.23218920784515,1.9301375243688,1.9301375243686,1.819161611318,-0.11097591305072,2054.4172403898,43.320138664747,-1230.1747139402,-1205.1747140392,-2478.6695670761,2054.4172403898,46.701030084673,73.491131454843,4077.1974829682,1,0.24635364996,-0.014164442114886,43.320138637525,997.561,0.99999908057781,0.24635364996002,-1205.1747140668,25,997.561,1.0000003446161,0.24635364995999
0.03,1.7818744152596,4077.1974829804,1.0000017181546,0.22743004600832,1.9184947264956,1557.5875718112,1,0.24486761815369,1283.6589591008,0.24486761815376,1.78187441526,1.7818744152596,1.9184947264967,0.13662031123633,1557.5875718112,289.60690729752,2170.9021950822,2195.9021952127,4077.1974829804,1557.5875718112,285.49905003906,315.2542990471,2841.246530912,1,0.22743004600832,0.017437572145411,285.49902046643,997.561,1.0000000364009,0.2448676181538,2195.9021950686,25,997.561,0.99999963039051,0.22743004600837
0.04,1.6683348439257,2841.2465309153,1.0000009280279,0.21293839064188,1.772756690564,-1915.6424636702,1,0.22626630263267,-1857.4945611655,0.22626630263267,1.6683348439257,1.6683348439257,1.7727566905639,0.10442184663834,-1915.6424636702,-63.520058098351,1376.3632364014,1401.3632364002,2841.2465309153,-1915.6424636702,-66.439768368207,-40.992586113231,-3773.1370248358,1,0.21293839064188,0.013327911990797,-66.439768400745,997.561,0.99999998318501,0.22626630263265,1401.3632364778,25,997.561,1.0000000034116,0.2129383906419
0.05,1.803514545674,-3773.137024834,1.00000014888,0.23019209018699,1.6594579869451,-1775.4551404412,1,0.21180539048529,-1444.4865931226,0.21180539048528,1.803514545674,1.803514545674,1.6594579869452,-0.14405655872894,-1775.4551404412,-342.63879701732,-2070.3879109771,-2045.3879108739,-3773.137024834,-1775.4551404412,-338.5852568863,-316.37782408413,-3219.9417335639,1,0.23019209018699,-0.018386699701702,-342.63880757838,997.561,0.99999872971989,0.23019209018698,-2045.3879109503,25,997.561,1.0000001404083,0.230192090187
0.06,1.929518239597,-3219.9417335639,0.99999966565419,0.24627460737267,1.7922534877149,1680.0158625665,1,0.22875478186279,1709.8622308743,0.22875478186279,1.929518239597,1.929518239597,1.7922534877149,-0.13726475188209,1680.0158625665,-21.455912368233,-1633.1988229742,-1608.1988229607,-3219.9417335639,1680.0158625665,-17.304845153773,8.6426171908308,3389.8780934408,1,0.24627460737267,-0.017519825509878,-21.455912395812,997.561,0.99999984405637,0.24627460737267,-1608.1988229609,25,997.561,1.0000004096443,0.24627460737267
0.07,1.8081647328936,3389.8780933473,0.9999992117282,0.23078561815071,1.9177775883331,1890.1091793224,1,0.24477608602107,1619.012729296,0.24477608602116,1.8081647329059,1.8081647328936,1.9177775883273,0.10961285544595,1890.1091793224,287.86995664593,1826.3740248921,1851.374025137,3389.8780933473,1890.1091793224,284.55140500005,314.33837645515,3509.1219086184,1,0.23078561815071,0.013990467871185,284.55140496982,997.561,1.0000000001156,0.24477608602221,1851.3740249535,25,997.561,1.0000002397036,0.2307856181503
0.08,1.6709155276472,3509.1219086189,0.99999899693728,0.21326777694008,1.7987293388258,-1512.1908780895,1,0.2295813289547,-1515.6127124112,0.2295813289547,1.6709155276472,1.6709155276472,1.7987293388258,0.12781381117851,-1512.1908780895,0.62546028786701,1742.3736845295,1767.3736845097,3509.1219086189,-1512.1908780895,-2.977953765275,23.178820564083,-3027.8035905006,1,0.21326777694008,0.016313552014604,-2.9779538805271,997.561,1.0000000092422,0.22958132895469,1767.3736844935,25,997.561,0.99999996514834,0.21326777694009
0.09,1.7771521742493,-3027.8035905002,0.99999909628991,0.22682732143861,1.6621914836243,-2064.2003654078,1,0.21215428110867,-1742.3156780247,0.21215428110867,1.7771521742493,1.7771521742493,1.6621914836243,-0.11496069062501,-2064.2003654078,-334.66952292783,-1693.7365567442,-1668.7365566833,-3027.8035905002,-2064.2003654078,-331.45677727506,-309.1143330863,-3806.5160434325,1,0.22682732143861,-0.014673040329941,-334.66952203869,997.561,0.99999967207484,0.22682732143888,-1668.7365567441,25,997.561,0.99999989572602,0.22682732143861
