time,Branch_in:massflow,Branch_in:pressure,Branch_in:temperature,Branch_in:velocity,Branch_out:massflow,Branch_out:pressure,Branch_out:temperature,Branch_out:velocity,NekRS_pressureDrop,fromNekRS_velocity,mFlow_pipe1out,mFlow_pipe2out,mFlow_pipe4out,mFlow_pipe5out,p_outlet_interface,p_pipe1in,p_pipe1out,p_pipe2in,p_pipe2out,p_pipe4in,p_pipe4out,p_pipe5in,pres_inlet_interface,temp_interface,toNekRS_velocity,vel_pipe5out,branch1:pressure,branch1:rho,branch1:temperature,branch1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,1.6714927913334,-9.2351452445818,1.00000000085,0.21334145615429,1.6714935724629,-16.935123735689,1,0.21334155585397,7.7,0,1.6714927913333,1.6714927913334,1.671493572463,7.8112955892018e-07,-16.935123735689,-22.701783815844,-28.468464530105,-3.4684645297051,-9.2351452445818,-16.935123735689,-22.701805033327,-3.8486505490503e-07,-9.2351237356886,1,0.21334145615429,9.9699692639562e-08,-22.701805033591,997.561,1.0000000000013,0.21334155585395,-3.4684645296968,25,997.561,1.0000000006947,0.21334145615428
0.01,1.6710414416678,-9.2351236932665,0.99999999810336,0.2132838480118,1.6620012305747,-149.10638657564,1,0.21212999810676,7.6713128848925,0.21212999810534,1.6710414416854,1.6710414416678,1.662001230572,-0.0090402110719135,-149.10638657564,-34.200540135751,-34.217831499055,-9.2178313227868,-9.2351236932665,-149.10638657564,-33.955706902993,-11.511679327705,-141.43507369075,1,0.2132838480118,-0.0011538499023292,-34.199876077359,997.561,0.99999998312775,0.21328384800559,-9.2178313886769,25,997.561,0.99999999281264,0.21328384799068
0.02,1.6759584806608,-141.43507374912,1.0000001113932,0.21391143567724,1.6615665165875,-29.073818615938,1,0.2120745132638,2.1033293057947,0.21207451327575,1.6759584801899,1.6759584806608,1.6615665166389,-0.014391963670407,-29.073818615938,-29.636147760018,-98.035610097023,-73.035610095124,-141.43507374912,-29.073818615938,-29.245850251925,-6.8148461789197,-26.970489310144,1,0.21391143567724,-0.0018369223620251,-29.636147801492,997.561,0.99999997275173,0.21391143564854,-73.035610146616,25,997.561,1.0000002586202,0.21391143560387
0.03,1.6768448614411,-26.970489110807,0.9999997964462,0.21402456913935,1.6664161649426,49.966412873634,1,0.21269349950607,69.854367320585,0.2126934995121,1.6768448614105,1.6768448614411,1.6664161650153,-0.010428696407217,49.966412873634,-17.800706760548,-34.885599051409,-9.885598969877,-26.970489110807,49.966412873634,-17.51740367943,5.0457630342693,119.82078019422,1,0.21402456913935,-0.0013310696216235,-17.800706770698,997.561,0.99999998193423,0.21402456913002,-9.8855990904247,25,997.561,0.99999973763449,0.21402456913078
0.04,1.6720608368322,119.82078031967,0.99999992253035,0.21341395880252,1.6673295711592,2.0368886055591,1,0.21281008236741,19.460681418039,0.21281008236571,1.6720608369895,1.6720608368322,1.667329571188,-0.0047312659211392,2.0368886055591,-15.463010248362,39.678884541845,64.678884492053,119.82078031967,2.0368886055591,-15.334630977954,7.2538695409788,21.497570023599,1,0.21341395880252,-0.0006038764667742,-15.463010328846,997.561,0.99999999078743,0.21341395884004,64.678884484459,25,997.561,0.99999971569439,0.21341395881792
0.05,1.6706877035875,21.497569798213,1.0000002120549,0.21323869855166,1.6626063464934,-81.151012931545,1,0.21220723224854,-52.816970038137,0.21220723223389,1.6706877037438,1.6706877035875,1.6626063463815,-0.0080813572654402,-81.151012931545,-26.945151411619,-15.223791717212,9.7762079893099,21.497569798213,-81.151012931545,-26.726270191514,-4.2659054077893,-133.96798296968,1,0.21323869855166,-0.0010314663249828,-26.945151502624,997.561,0.99999998619927,0.21323869856431,9.7762081910624,25,997.561,1.0000001841856,0.21323869856691
0.06,1.675280896846,-133.96798295298,1.0000001471875,0.213824952075,1.661214643757,-42.057409350593,1,0.21202960187535,-10.18883109186,0.21202960186932,1.6752808969297,1.675280896846,1.6612146437711,-0.014066253206503,-42.057409350593,-30.423909317185,-94.695944402528,-69.69594439273,-133.96798295298,-42.057409350593,-30.042562740474,-7.6207725771243,-52.246240442453,1,0.213824952075,-0.0017953502146523,-30.423909349863,997.561,0.99999997514728,0.21382495206151,-69.695944376919,25,997.561,1.0000003136918,0.21382495207028
0.07,1.6770969989041,-52.246240508714,0.99999990325878,0.21405675077591,1.6657445948687,44.319364579629,1,0.21260778346937,65.74390455547,0.21260778346593,1.6770969990898,1.6770969989041,1.6657445948045,-0.011352404113403,44.319364579629,-19.398253273469,-48.322248059681,-23.322248033147,-52.246240508714,44.319364579629,-19.089895670187,3.4549434785697,110.0632691351,1,0.21405675077591,-0.0014489673164987,-19.3982532425,997.561,0.99999998115711,0.21405675078547,-23.322248034567,25,997.561,1.0000000329311,0.21405675078424
0.08,1.6727205139721,110.06326914893,1.0000000172484,0.21349815688123,1.6675731273059,14.329806368579,1,0.21284116872523,31.171999358942,0.21284116872934,1.6727205139514,1.6727205139721,1.6675731273041,-0.0051473866028652,14.329806368579,-14.83464096016,35.114314596034,60.114314563881,110.06326914893,14.329806368579,-14.694932609114,7.9002169801791,45.501805727521,1,0.21349815688123,-0.00065698814792271,-14.83464098024,997.561,0.99999999028512,0.21349815686553,60.114314567844,25,997.561,1.0000002325919,0.21349815687531
0.09,1.670469486019,45.50180562821,1.0000001304489,0.21321084629046,1.6632603312062,-74.298745598352,1,0.21229070377272,-47.564075824515,0.2122907037675,1.6704694858327,1.670469486019,1.6632603311255,-0.0072091547130415,-74.298745598352,-25.298960003085,-2.3985771363964,22.601423031957,45.50180562821,-74.298745598352,-25.103676404581,-2.6254523044562,-121.86282142287,1,0.21321084629046,-0.00092014250500886,-25.298959885501,997.561,0.9999999878951,0.21321084627027,22.601423074622,25,997.561,1.0000006107367,0.21321084628396
