time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,SAM_dudt,SAM_velocity,coupled_nekdP,dP_overlap,dt,du,fromNekRS_temperature,mFlow_deadend,mFlow_out2,mFlow_out6,p_in,p_inlet_interface,p_out,toNekRS_temperature,toNekRS_velocity,u,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity,junction7toOverlap:pressure,junction7toOverlap:rho,junction7toOverlap:temperature,junction7toOverlap:velocity
0,0.53667801849782,15018820.487777,548.20242166023,0.2458411926742,0.53667829608326,15018820.487797,548.20241454902,0.24584131596475,0,0.2458411926742,4.25,6.0348648298532,1,0,548.20242166023,2.6779049316284e-07,0.53667829304647,0.53667802834678,15018826.522642,15018820.487797,15018820.487777,548.2024133607,0.2458411926742,0.2458411926742,14999976.524499,767.36059498761,550.97198998116,0.24735612998033,15011269.940301,767.36058924511,550.97199334481,0.24735612998054,15003730.355324,767.36059824541,550.97198807291,0.24735600664787,15011266.987787,772.08889021088,548.20240958899,0.24584119267407,15018826.522642,772.08888377172,548.2024133607,0.24584119267403
0.0001,0.53646718126419,15018820.487709,548.20241586681,0.24574460931382,0.53667801849527,15024866.099205,548.20242166188,0.24584119267393,-0.96583374989606,0.24574460931382,8.2682138631569,-1047.1663272623,0.0001,-9.6583374989606e-05,548.20242166023,0.00020970926945412,0.53752254713031,0.53646717733251,15017773.321382,15024866.099205,15018820.487709,548.20241915437,0.24574460929921,0.24574460929921,15000050.501623,767.36058287161,550.97199707806,0.2477452523343,15015822.913752,767.36057707506,550.97200047336,0.24774525234174,15002681.449449,767.36058653464,550.97199493245,0.24764866899254,15009468.072703,772.08888023409,548.20241543286,0.24574460928864,15017773.321258,772.08887387481,548.20241915778,0.24574460921114
0.0002,0.52706866540733,15024866.099335,548.20241636294,0.24143934228921,0.53646717440579,15020196.331728,548.20242166188,0.24574460932108,-43.052668183965,0.24143934228921,89642.211229439,80090.448597694,0.0001,-0.0043052668183965,548.20242166023,0.0093479154371743,0.53731299411492,0.527068663287,15104956.547932,15020196.331728,15024866.099335,548.20241854117,0.24143934248081,0.24143934248081,15003207.398006,767.3605811772,550.97199807055,0.2476486685926,15013389.137419,767.36057619055,550.97200099146,0.24764866913045,15023480.684047,767.36058642578,550.97199499622,0.2433434026385,15064156.299209,772.08888111062,548.20241491944,0.24143934362827,15104956.547144,772.08887490697,548.2024185532,0.24143934450802
0.0003,0.52668325815925,15020196.333034,548.20241947548,0.24126279679634,0.52706865923406,14932956.947861,548.20242166186,0.24143934229027,-1.7654554699661,0.24126279679634,561.24373272828,-1138.6199332699,0.0001,-0.00017654554699661,548.20242166023,0.00038332781980781,0.52797203552482,0.52668326286432,15019057.713101,14932956.947861,15020196.333034,548.20241569308,0.24126279693382,0.24126279693382,14996807.616953,767.36058104438,550.97199814835,0.2433434163155,14958545.254818,767.36057569576,550.97200128129,0.24334340645467,15001239.041283,767.36058968994,550.97199308425,0.24316686835076,15010134.871458,772.08888518489,548.20241253295,0.2412628039611,15019057.713861,772.08887970352,548.20241574364,0.24126280278073
0.0004,0.53273980446873,14932956.960566,548.19602949935,0.2440337283829,0.5266832556181,15013167.126554,548.20242165641,0.24126279679576,27.709318805909,0.2440337283829,-88.819392665916,30253.430110708,0.0001,0.0027709318805909,548.20242166023,-0.0060239312126814,0.52758899095298,0.5327247546847,14963210.390677,15013167.126554,14932956.960566,548.20880638841,0.24403372881441,0.24403372881441,14997714.19826,767.34912948987,550.97870585152,0.24593778995265,15006975.621916,767.36057442129,550.9720020278,0.24316685655417,14990836.576513,767.34936472511,550.9785680634,0.2459377918986,14977044.796854,772.07786664947,548.20886659688,0.2440337339938,14963210.386313,772.07796934285,548.20880644463,0.24403373585375
0.0005,0.53329713325127,15013167.123963,548.2020355367,0.24429226991322,0.53273227471815,15073972.839413,548.20242165633,0.24403372837629,2.5854134664485,0.24429226991322,-157.55532966811,2610.8361706473,0.0001,0.00025854134664485,548.20242166023,-0.00056216696052352,0.5336009662497,0.53329623238699,15015777.960134,15073972.839413,15013167.123963,548.20279994943,0.24429227016105,0.24429227016105,15001905.877733,767.35943179989,550.97267131381,0.24619632753683,15045093.760589,767.36057363239,550.97200248989,0.2459377832733,15004667.779326,767.35969054134,550.97251975702,0.2461963242246,15010214.504154,772.08811509773,548.20286360848,0.24429225935521,15015777.95882,772.08822372535,548.20279998028,0.24429226069952
0.0006,0.52941883956303,15073972.839472,548.20269765906,0.24251605969763,0.53329667792851,15025348.19404,548.20242166117,0.24429226991331,-17.762104470532,0.24251605969763,64.072624618242,-19382.785827657,0.0001,-0.0017762104470532,548.20242166023,0.0038566471477708,0.53416191307712,0.52941949493081,15054590.053644,15025348.19404,15073972.839472,548.20213785193,0.242516059714,0.242516059714,15001538.353695,767.36057772357,550.9720000935,0.24619633078124,15015807.584762,767.36057208493,550.97200339631,0.24619633077646,15012107.63361,767.36083430592,550.9718498014,0.24442011856657,15033316.428489,772.08924936487,548.20219921595,0.2425160597375,15054590.053613,772.08935412271,548.20213785446,0.24251605980094
0.0007,0.52885139872633,15025348.195082,548.20269194704,0.2422561234705,0.52941916265917,14983539.764892,548.20242166116,0.24251605969865,-2.5993636163366,0.2422561234705,119.96484296834,-2679.502240818,0.0001,-0.00025993636163366,548.20242166023,0.00056439845330914,0.53030814300939,0.52885203986456,15022668.692841,14983539.764892,15025348.195082,548.20214345655,0.24225612335237,0.24225612335237,14998813.008422,767.36057601492,550.97200109434,0.24442011832383,14989661.229991,767.36057010752,550.97200455457,0.24442012151152,15003564.360871,767.3608293039,550.97185273131,0.24416017283562,15013102.031769,772.08924381284,548.20220246803,0.24225611444834,15022668.688232,772.08934454095,548.20214346693,0.24225611346312
0.0008,0.53132879700702,14983539.764893,548.1998748238,0.24338945337652,0.52885171479571,15012758.389707,548.20242165993,0.24225612347046,11.33330024646,0.24338945337652,-20.852319338207,12395.835399989,0.0001,0.001133330024646,548.20242166023,-0.0024642549572755,0.52974416926179,0.53132282162527,14995935.600293,15012758.389707,14983539.764893,548.20496088413,0.24338945337701,0.24338945337701,14998907.392104,767.35553645912,550.97495299439,0.24529351190967,15007208.738554,767.36056803457,550.9720057688,0.24416018480274,14998312.957872,767.35588613984,550.97474817028,0.24529351191229,14997126.256145,772.08439066581,548.20504517988,0.2433894533783,14995935.600324,772.08453457764,548.20496088409,0.24338945338162
0.0009,0.53182129638868,15012758.389693,548.20223071986,0.2436163250349,0.5313258048417,15041285.123556,548.20242165993,0.2433894533754,2.2687149321901,0.2436163250349,-64.086664478495,2396.3408751953,0.0001,0.00022687149321901,548.20242166023,-0.00049329335445677,0.53220310675685,0.53182085593798,15015154.730569,15041285.123556,15012758.389693,548.20260496299,0.24361632487023,0.24361632487023,15000672.757376,767.35956422533,550.97259374612,0.24552038391761,15025011.106394,767.36056579484,550.97200708071,0.24529351508203,15003556.213904,767.3599306637,550.97237910628,0.24552038736509,15009346.737402,772.08840904235,548.20269143157,0.24361633011829,15015154.733074,772.08855667017,548.20260495916,0.24361632971821
0.001,0.53024824187773,15041285.123591,548.20280916549,0.24289605200687,0.53182107183967,15023905.340517,548.20242166083,0.24361632502942,-7.2027286590434,0.24289605200687,24.681169901756,-7861.7837465685,0.0001,-0.00072027286590434,548.20242166023,0.0015639196386234,0.53269533932657,0.53024915961184,15033423.339845,15023905.340517,15041285.123591,548.20202642721,0.24289605200433,0.24289605200433,15000703.915708,767.36057079602,550.97200415129,0.24552038670867,15014608.539661,767.36056353729,550.97200840306,0.24552038669714,15007221.546628,767.36093363359,550.97179162061,0.24480011022084,15020302.511358,772.08940316212,548.20210912982,0.24289605201939,15033423.340799,772.08954433245,548.20202643985,0.24289605202696
