"BP_Line: Position[Y] (m)","BP_Line: Temperature (C)"
0.0,201.90920152323037
3.0E-4,201.90911121525073
6.0E-4,201.90892781829996
9.0E-4,201.90862831522628
0.0012,201.90823161169885
0.0015,201.90778040578823
0.0018,201.90733840224618
0.0021,201.906989929249
0.0024,201.90686257737167
0.0026999999999999997,201.9071840509904
0.003,201.90829055126596
0.0032999999999999995,201.91059529016468
0.0036,201.91472486142686
0.0039,201.92156915971526
0.0042,201.9327918854907
0.0045,201.95056905008772
0.0048,201.9772318090828
0.0051,202.01632777887392
0.005399999999999999,202.07257129390268
0.005699999999999999,202.15442137570506
0.006,202.27179828300473
0.0063,202.43407291135497
0.006599999999999999,202.65537111250273
0.0069,202.95360258377627
0.0072,203.36093707542784
0.0075,203.9138039229921
0.0078,204.64597598229432
0.0081,205.50304905872798
0.0084,206.80933417326298
0.0087,207.93546502592835
0.009,208.87564282796967
0.0093,209.69940779520635
0.0096,210.45953451038758
0.0099,211.28106602015743
0.0102,211.91387719646121
0.0105,212.47745407420638
0.010799999999999999,213.00855283674076
0.011099999999999999,213.5143477577933
0.011399999999999999,213.99953999615377
0.0117,214.5018706271784
0.012,214.93846039824643
0.0123,215.30596176817636
0.0126,215.66403422076314
0.012899999999999998,216.01234151067558
0.013199999999999998,216.35083673454784
0.0135,216.6889450721352
0.0138,217.0328089173512
0.0141,217.32303292516588
0.0144,217.5858219572067
0.0147,217.84335329959515
0.015,218.09542476544823
0.015299999999999998,218.34303975700038
0.0156,218.6021427444848
0.015899999999999997,218.85475165157817
0.0162,219.06039992800413
0.0165,219.2601123627344
0.0168,219.45661726920991
0.0171,219.65005880929925
0.0174,219.84137299208095
0.017699999999999997,220.04940282893818
0.018,220.23632020860225
0.0183,220.3963499522722
0.0186,220.55480759571668
0.0189,220.7111621030528
0.0192,220.86553134350493
0.0195,221.02357345861378
0.0198,221.18992752588827
0.0201,221.33299194021777
0.0204,221.4638091838907
0.0207,221.59321480903088
0.021,221.72106851062995
0.021299999999999996,221.84800601154524
0.021599999999999998,221.98365201878067
0.0219,222.11891985453224
0.022199999999999998,222.23036746666122
0.0225,222.3393550268213
0.022799999999999997,222.447220706625
0.0231,222.5540566895553
0.0234,222.66055911882393
0.0237,222.77848788510875
0.024,222.88600734790316
0.0243,222.97866394698008
0.0246,223.0707789884637
0.024900000000000002,223.16201753326607
0.0252,223.2525102001042
0.025500000000000002,223.34589253238175
0.025799999999999997,223.44535284641438
0.026099999999999998,223.5316116456138
0.026399999999999996,223.6108244942435
0.026699999999999998,223.68940392182924
0.027,223.76725678178582
0.027299999999999998,223.844804805754
0.0276,223.9282196686671
0.027899999999999998,224.01206551651575
0.0282,224.0815588657464
0.028499999999999998,224.14969209015374
0.0288,224.2172521259232
0.0291,224.28430026093042
0.0294,224.35131534572054
0.0297,224.42596617696398
0.03,224.49444696059487
0.0303,224.55368993947695
0.030599999999999995,224.61269397678052
0.030899999999999997,224.67123271100058
0.0312,224.72940513403535
0.0315,224.78962361370213
0.031799999999999995,224.85406973773365
0.0321,224.9102273271984
0.0324,224.96195488640905
0.0327,225.01336174362092
0.033,225.06437890397098
