sam,,overlap,,decomp,
X,Y,X,Y,X,Y
0.004291845493559876,144.50242381200223,0.1538461538461462,143.88489208633473,0.3261142291185113,435.73038564856324
0.8530868273357513,970.4511069255932,1.5384615384615312,1582.733812949642,0.7504126774512958,855.8989718096818
1.6911521954440243,1866.5282366381361,3.0769230769230695,2877.697841726622,1.1871904919115135,1235.2178343162414
2.495873225486932,2670.207181893955,4.461538461538453,4316.546762589929,1.8111587982832535,1884.4366566832396
3.331792670848447,3409.238274616353,5.999999999999993,5755.39568345324,2.272895344998341,2244.789576064475
3.907890392868918,3991.7250748757215,7.538461538461533,7266.187050359713,2.6847144272036907,2628.4851946768795
4.619016176956084,4649.087596875292,9.07692307692307,8776.978417266186,3.317596566523598,3244.35730385649
4.931000330141952,4911.692963225989,10.61538461538461,10143.884892086331,3.6955430835259087,3616.173155895889
5.950148563882461,5728.687436317043,12.153846153846146,11438.848920863307,4.182238362495866,4014.457961527776
6.965335094090442,6732.562447895758,13.538461538461533,12589.928057553956,4.815120501815773,4640.750918578444
7.894849785407718,7486.684472164758,15.076923076923073,13669.06474820144,5.242984483327824,5013.817272362368
8.425222845823697,7909.770895729769,16.61538461538461,14604.316546762588,5.567448002641129,5361.039923426069
8.911918124793655,8360.576774631798,17.999999999999996,15395.683453237409,5.866952789699564,5553.617192083246
9.298778474744132,8675.703214252633,19.38461538461538,16187.05035971223,6.262132717068329,6064.238737765154
9.61076262793,8996.665328681262,21.076923076923073,16978.417266187047,6.865302079894345,6551.517584215893
9.985143611753045,9298.17519375058,22.461538461538453,17553.95683453237,7.23968306371739,6900.685460215518
10.40944206008583,9696.946305616453,23.999999999999993,18201.43884892086,7.801254539451957,7559.630407262175
10.85869924067348,10037.360669404392,25.38461538461538,18705.03597122302,8.238032353912175,7965.696112637786
11.295477055133698,10411.816469571124,27.076923076923073,19280.575539568345,8.674810168372392,8354.741099824005
11.732254869593916,10747.367771019235,28.615384615384613,19712.230215827338,8.98679432155826,8529.811344057802
12.106635853416961,11058.603760768208,30,20071.942446043162,9.361175305381305,9049.1864019514
12.543413667877179,11411.17578040572,31.38461538461538,20431.65467625899,9.8603499504787,9463.519313304721
13.042588312974573,11783.200049402538,32.92307692307692,20719.424460431652,10.297127764938917,9799.070614752833
13.541762958071963,12191.697285948067,34.46153846153846,21079.13669064748,10.921096071310657,10411.816469571124
14.040937603169354,12571.016148454626,36,21366.90647482014,11.420270716408048,10805.72451909717
14.540112248266748,12928.451230431965,37.53846153846153,21582.733812949635,11.919445361505439,11133.98122703554
15.060085836909863,13329.653873467749,39.07692307692307,21870.503597122297,12.481016837240006,11686.911415073952
15.663255199735879,13745.445703523019,40.46153846153845,22086.330935251797,13.042588312974573,12104.162163831166
16.16242984483327,14088.291598480871,41.99999999999999,22230.21582733813,13.47936612743479,12332.72609380307
16.661604489930664,14416.548306419241,43.53846153846153,22446.04316546762,13.978540772532181,12819.03232778584
17.160779135028054,14737.51042084787,44.92307692307692,22517.98561151079,14.602509078903921,13227.52956433137
17.472763288213926,14949.053632630377,46.46153846153846,22661.87050359712,14.976890062726966,13402.599808565166
18.03433476394849,15430.496804273318,48,22805.75539568345,15.53846153846153,13888.906042547933
18.595906239683053,15830.240528607157,49.53846153846154,22877.697841726615,16.224826675470446,14277.951029734151
19.09508088478045,16106.46246950937,50.92307692307692,23021.582733812946,17.03598547375371,14817.750949455029
19.719049191152187,16501.34313150338,52.46153846153845,23093.52517985611,17.659953780125445,15138.713063883657
20.34301749752393,16880.66199400994,54,23165.467625899277,18.533509409045884,15693.102170624015
20.966985803895668,17127.70556087319,55.53846153846153,23309.352517985608,19.15747771541762,15977.591317503937
21.466160448993058,17557.600271713956,56.92307692307692,23381.294964028773,20.15582700561241,16510.09664371507
22.090128755364802,17913.576434989347,58.46153846153845,23381.294964028773,20.71739848134697,16748.386698366627
22.71409706173654,18269.552598264734,59.84615384615384,23525.179856115104,21.65335094090458,17190.92537129095
23.338065368108282,18619.69308673233,61.53846153846153,23525.179856115104,22.214922416639148,17400.037051903542
23.96203367448002,18958.16222558434,63.07692307692308,23597.12230215827,23.15087487619676,17827.986537808378
24.586001980851762,19284.96001482076,64.46153846153845,23597.12230215827,23.65004952129415,17998.19371970235
25.2099702872235,19611.757804057183,66,23669.064748201436,24.64839881148893,18396.96483156822
25.833938593595242,19921.048568870225,67.53846153846153,23669.064748201436,25.2099702872235,18567.17201346219
26.520303730604155,20259.517707722232,69.07692307692307,23741.0071942446,26.14592274678111,18922.175564269615
27.269065698250238,20624.24738320931,70.46153846153847,23812.949640287767,26.6450973918785,19048.615185105133
28.017827665896327,20969.524809337076,72,23812.949640287767,27.643446682073282,19389.02954889307
28.766589633542416,21280.76079908605,73.53846153846155,23812.949640287767,28.14262132717068,19515.469169728593
29.515351601188506,21630.901287553646,74.92307692307692,23884.892086330932,29.14097061736546,19816.97903479791
30.264113568834595,21922.685027943306,76.46153846153847,23884.892086330932,29.640145262462852,19923.96640627412
31.012875536480678,22233.921017692282,78,23884.892086330932,30.763288213931986,20240.065458362922
31.761637504126767,22530.56782042177,79.38461538461539,23884.892086330932,31.51205018157807,20419.998764936547
32.51039947177286,22817.488498471605,80.92307692307692,23956.834532374098,32.26081214922416,20590.205946830516
33.259161439418946,23084.95692716213,82.46153846153847,23956.834532374098,32.69758996368438,20638.836570228792
34.00792340706503,23347.562293512827,84,23956.834532374098,33.75833608451634,20896.57887423966
34.75668537471112,23595.578472844038,85.53846153846155,23956.834532374098,34.19511389897655,20959.79868465742
35.50544734235721,23848.45771451508,86.92307692307692,23956.834532374098,35.25586001980851,21183.499552289497
36.2542093100033,24081.884706826808,88.46153846153847,24028.776978417263,36.62859029382634,21441.241856300367
37.00297127764938,24315.31169913854,89.84615384615384,24028.776978417263,37.12776493892373,21499.598604378298
37.75173324529547,24543.875629110444,91.38461538461539,24028.776978417263,38.126114229118514,21684.39497329175
38.50049521294156,24748.124247383206,92.92307692307692,24028.776978417263,38.625288874215904,21733.02559669003
39.24925718058765,24957.235927995796,94.46153846153845,24028.776978417263,39.74843182568504,21908.095840923823
39.99801914823374,25151.758421588907,95.84615384615384,24028.776978417263,41.121162099702865,22107.48139685676
40.74678111587982,25346.280915182015,97.38461538461539,24028.776978417263,41.557939914163086,22156.112020255037
41.49554308352591,25526.21422175564,98.92307692307692,24028.776978417263,42.618686034995044,22292.277765770214
42.244305051172,25701.284465989436,,,43.05546384945526,22331.182264488838
42.99306701881809,25876.354710223233,,,44.116209970287215,22452.758822984528
43.74182898646417,26041.698829777375,,,44.55298778474744,22477.074134683666
44.49059095411026,26197.31682465186,,,45.73852756685374,22598.65069317936
45.23935292175635,26352.93481952635,,,47.23605150214592,22734.816438694535
45.98811488940244,26498.82668972118,,,48.608781776163745,22851.529934850398
46.73687685704852,26644.71855991601,,,49.04555959062396,22885.571371229194
47.48563882469461,26780.884305431187,,,50.23109937273027,22963.38036866644
48.2344007923407,26907.32392626671,,,51.603829646748096,23060.64161546299
48.98316275998679,27033.76354710223,,,52.04060746120831,23089.819989501957
49.73192472763288,27155.34010559792,,,53.101353582040275,23162.76592459937
50.48068669527896,27272.053601753785,,,53.53813139650049,23177.355111618857
51.22944866292505,27383.904035569823,,,54.72367117860679,23245.437984376444
51.97821063057114,27486.028344706203,,,56.22119511389897,23318.38391947386
52.72697259821723,27602.74184086207,,,57.5939253879168,23386.466792231447
53.47573456586332,27695.140025318797,,,58.03070320237701,23381.60372989162
54.22449653350941,27787.53820977552,,,59.09144932320898,23449.686602649206
54.973258501155485,27884.799456572076,,,59.52822713766919,23469.138852008517
55.722020468801574,27967.47151634915,,,60.713766919775495,23508.04335072714
56.470782436447664,28055.006638466046,,,62.21129085506767,23556.673974125417
57.21954440409375,28137.67869824312,,,63.70881479035985,23610.167659863524
57.96830637173984,28210.624633340532,,,65.20633872565203,23653.935220921972
58.71706833938593,28298.159755457433,,,66.7038626609442,23683.113594960938
59.46583030703202,28361.37956587519,,,68.20138659623638,23731.744218359214
60.21459227467811,28434.32550097261,,,69.69891053152855,23760.92259239818
60.9633542423242,28502.408373730195,,,71.19643446682073,23790.10096643715
61.712116209970276,28565.628184147958,,,72.56916474083856,23829.00546515577
62.460878177616365,28628.847994565716,,,73.00594255529877,23819.279340476114
63.209640145262455,28687.204742643647,,,74.19148233740508,23848.45771451508
63.958402112908544,28740.698428381755,,,75.68900627269726,23863.046901534562
64.70716408055463,28794.192114119858,,,76.43776824034335,23935.99283663198
