time,SAM_dudt,coupled_nekdP,dP,inlet_P,inlet_S03,inlet_V,m_in_main,m_in_side,m_out_main,m_out_side,nekRS_accelGradPres,nekRS_posGradPres,outlet_P,outlet_S03,outlet_V
0,0,668.41413477899,493.29456441254,289.46575881871,0,0,0,0,0,0,0,668.41413477899,-203.82880559383,0,0.4245823661548
0.005,-0.0045392987182814,670.01124856437,491.13138095621,133.13138095621,0,0.42400169183934,-0.83001747988693,-0.8277121294678,0.82861015750255,0.82955584734797,-4.5282273687075,665.48302119566,-358,4.3610225585519e-111,0.42397983276099
0.01,0.00015087042471397,666.72175841712,492.15665008772,134.15665008772,0,0.42400325979964,-0.83001747988693,-0.82771519035123,0.82860530413778,0.82956304402667,0.1505024517481,666.87226086887,-358,2.2714826944865e-105,0.42398395498588
0.015,0.00013920917597615,666.96278367642,492.32594341049,134.32594341049,0,0.42400410441289,-0.83001747988693,-0.82771683915747,0.82859725365614,0.82957179369433,0.13886964479595,667.10165332121,-358,2.8133347584023e-102,0.42398882699237
0.02,9.3311644743444e-05,667.32593641613,492.56016271127,134.56016271127,0,0.42400467863969,-0.83001747988693,-0.82771796013057,0.82858717246989,0.82958203101097,0.093084057641915,667.41902047377,-358,8.2365355491217e-100,0.42399439183409
0.025,5.5624049631073e-05,667.53207001214,492.68454494075,134.68454494075,0,0.42400504256429,-0.83001747988693,-0.8277186705636,0.82857489003453,0.82959349949658,0.055488382574023,667.58755839472,-358,9.5787144054087e-98,0.42400050321407
0.03,7.3544067533707e-05,667.47810932416,492.65791440422,134.65791440422,0,0.42400537601118,-0.83001747988693,-0.82771932149975,0.82856110039441,0.82960688748178,0.073364693552992,667.55147401772,-358,7.5738583731029e-96,0.42400751320181
0.035,7.5708278152846e-05,667.44039006705,492.63167062193,134.63167062193,0,0.42400577681824,-0.83001747988693,-0.82772010393263,0.82854597352763,0.82962212575191,0.075523625662431,667.51591369272,-358,4.9921205800793e-94,0.42401540662432
0.04,0.00013771311595366,666.91933692675,492.29277797816,134.29277797816,0,0.42400631875927,-0.83001747988693,-0.82772116187928,0.82853005151949,0.82963907649973,0.13737723366385,667.05671416041,-358,7.1133379968434e-93,0.42402415259283
0.045,1.2944042032551e-05,667.98801442187,492.98961394346,134.98961394346,0,0.42400678204505,-0.83001747988693,-0.82772206627957,0.82851408524322,0.82965710986482,0.012912471514033,668.00092689338,-358,1.8054497392755e-91,0.42403348373428
