time,SAM_dudt,coupled_nekdP,dP,inlet_P,inlet_T,inlet_V,nekRS_accelGradPres,nekRS_posGradPres,outlet_P,outlet_T,outlet_V
0,0,8.2682138631569,11.740869556118,-3285.9628457192,0,0,0,8.2682138631569,-3297.7037152753,548.15849577805,0.23414793995922
0.01,-0.00055947494942421,8.6313202161692,11.645529185364,11.645529185364,548.15803334613,0.23824506110612,-0.43024742560621,8.201072790563,0,548.15849577805,0.23828647612973
0.02,-0.00053718665488089,8.5841353097924,11.60286560184,11.60286560184,548.15718521192,0.23823956249536,-0.41310728133651,8.1710280284559,0,548.15849577805,0.23828233562833
0.03,-0.00050998089418108,8.5449827046583,11.576977808818,11.576977808818,548.15706528038,0.23823430768388,-0.39218550724314,8.1527971974152,0,548.15849577805,0.23827883991082
0.04,-0.00048754071446666,8.5180042631313,11.563173279694,11.563173279694,548.15787142636,0.238229261826,-0.37492856023915,8.1430757028922,0,548.15849577805,0.23827584150771
0.05,-0.00046464894654097,8.5195051932854,11.590302616943,11.590302616943,548.15900173934,0.23822439599711,-0.35732433286894,8.1621808604165,0,548.15849577805,0.23827317471898
