time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,NekRS_pressureDrop,mFlow_deadend,mFlow_out2,mFlow_out6,p_inlet_interface,p_outlet_interface,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity
0,0.510972301371,15000000,550,0.235,0.510972301371,15000000,550,0.235,12.07,0,0.510972301371,0.510972301371,15000012.07,15000000,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235
1,12.541925617953,15000012.072508,549.90854340391,5.7669549250813,0.510972301371,15029982.947823,550,0.235,12.07,-12.028398968716,0.51350860022212,12.541925617953,15029995.017823,15029982.947823,549.90854340391,5.7669549250813,14998359.046358,769.01993268136,550.00003943163,5.768472126955,15022448.078275,767.86700291594,550.67536352225,0.23652108049523,14997489.972647,769.01993853176,550.00003600478,5.7684721267441,14998753.774156,769.20570150846,549.89122606937,5.7669549252411
2,4.3169805677124,15029995.018438,549.81475583227,1.9845956445461,12.541925618112,15029555.521724,549.90854340259,5.7669549251376,12.07,8.222179198783,12.539428194585,4.3169805677124,15029567.591724,15029555.521724,549.81475583227,1.9845956445461,14993518.87241,768.82835452504,550.11225558571,5.7684726199451,15015733.68706,768.8206427461,550.11677272999,5.7684726199314,15009689.420966,768.87099511182,550.08727902915,1.986112640784,15019841.854235,769.43256835301,549.75833970449,1.9845956445714
3,-3.0560036628556,15029567.592231,549.81476017199,-1.4049013013373,4.3169805676281,15015438.396428,549.81475584037,1.984595644543,12.07,7.3705934204618,4.3169207696256,-3.0560036628556,15015450.466428,15015438.396428,549.81476017199,-1.4049013013373,15000047.560757,769.09405558226,549.95662223299,3.3894986033331,15010511.400675,768.7377752322,550.16531205142,1.986113181261,15008951.810297,769.84037571099,549.51946814315,1.4033862390698,15019260.920797,769.36223758123,549.79953567836,1.4049012877309
4,1.9825187692135,15015450.459712,549.62560262993,0.91101807157382,-3.0560036627464,15012658.486181,549.81476017902,-1.404901301309,12.07,-5.0396191622246,-3.054766655562,1.9825187692135,15012670.556181,15012658.486181,549.62560262993,0.91101807157382,14999521.863073,769.02294973189,549.99827220611,2.3177587531869,15007891.900835,768.84679090423,550.10145654887,1.4052266293856,15004071.406796,769.30772639573,549.83146539158,0.9125321127943,15009761.447029,770.29176398514,549.255069231,0.91101808199222
5,5.6261777561026,15012670.556424,549.57564543891,2.5850860911884,1.9825187692209,15024291.995924,549.62560262771,0.9110180715727,12.07,-3.6400055428559,1.9820170156469,5.6261777561026,15024304.065924,15024291.995924,549.57564543891,2.5850860911884,14998532.935518,768.94216596973,550.04559097812,2.5866024954259,15014902.104642,768.18390031704,550.48974211179,0.91253665002175,15001117.211292,768.98209252301,550.02220415605,2.5866024954275,15006893.694177,769.67022024772,549.61913603876,2.5850860913101
6,1.2840868021852,15024304.049189,549.52251150458,0.58993582042681,5.6261777574901,15022831.22725,549.57564535534,2.5850860913468,12.07,4.3371786136258,5.6243397789304,1.2840868021852,15022843.29725,15022831.22725,549.52251150458,0.58993582042681,14999270.299838,768.8369378568,550.10722793278,2.5866035714881,15013521.81858,769.0415666703,549.98736740741,2.5866035738176,15006209.758815,768.90765251163,550.06580710091,0.59145080580053,15015255.396132,770.27092158259,549.2672775866,0.58993582037827
7,-2.2333778428659,15022843.295905,549.52309569015,-1.026060928844,1.2840868029936,15015964.35212,549.52251088121,0.58993581998266,12.07,3.5156213375507,1.285096293672,-2.2333778428659,15015976.42212,15015964.35212,549.52309569015,-1.026060928844,14999991.400971,769.46709553279,549.73811554428,1.6160001257083,15009927.693627,768.46203005103,550.32682871038,0.59145457680338,15005080.298251,770.44265539628,549.16668517842,1.0245463039197,15013963.936938,769.94847604146,549.45614879833,1.0260592468324
8,1.6789291413572,15015976.422032,549.33660998039,0.77101662868782,-2.2333778428705,15016002.985012,549.52309569311,-1.0260609288528,12.07,-3.9121347249031,-2.2317241980755,1.6789291413572,15016015.055012,15016002.985012,549.33660998039,0.77101662868782,14999712.485576,769.04317028433,549.98642809678,1.7992201493786,15009805.499122,768.79166168609,550.13374827229,1.0266915706322,15003752.100448,769.57042918348,549.67758826345,0.77252857843877,15009864.569547,770.937781614,548.87666693728,0.77101662911
9,3.4708505402377,15016015.204157,549.22276760024,1.5935206879604,1.6789291408656,15022553.262346,549.33661027419,0.77101662896422,12.07,-1.788404912412,1.6777462580291,3.4708505402377,15022565.332346,15022553.262346,549.22276760024,1.5935206879604,14999350.959927,768.93293246059,550.05099946991,1.5950357894395,15013579.734376,768.09736838566,550.54042785139,0.77253495538775,15002588.107092,769.0360156026,549.99061892356,1.5950357860504,15009299.360072,770.27057024313,549.26748338231,1.5935206884259
