"ILW_Line: Temperature (C)","ILW_Line: Position[X] (m)"
256.1295153651083,0.306
256.1837288633485,0.3065
256.2062212491753,0.307
256.2683173794561,0.3075
256.2939615774129,0.308
256.36477442651756,0.3085
256.3938761110859,0.309
256.4743431992647,0.3095
256.5071345499134,0.31
256.5977186196336,0.3105
256.6341535991272,0.311
256.73411748282274,0.3115
256.77385512749424,0.312
256.88186497644745,0.3125
256.9244892895616,0.313
257.0393905729085,0.3135
257.08460414735987,0.314
257.2058164426305,0.3145
257.25349968845353,0.315
257.3809500430557,0.3155
257.43111040562553,0.316
257.56497409561575,0.3165
257.6176385750258,0.317
257.75794593628007,0.3175
257.8130497511801,0.318
257.95941293724866,0.3185
258.0167242777543,0.319
258.1681581143705,0.3195
258.22725947060974,0.32
258.38223112075036,0.3205
258.44258015777405,0.321
258.59930012177483,0.3215
258.6603595148107,0.322
258.8172517423859,0.3225
258.8786046394945,0.323
259.0344858769562,0.3235
259.09590178431165,0.324
259.25011028436677,0.3245
259.31167368820616,0.325
259.4646962238355,0.3255
259.526909474513,0.326
259.68038690093397,0.3265
259.7441237601005,0.327
259.9005410071753,0.3275
259.96699936047025,0.328
260.1298156928676,0.3285
260.20035038137837,0.329
260.3730085479624,0.3295
260.4488733414611,0.33
260.6344670974304,0.3305
260.7165718616203,0.331
260.9171100740442,0.3315
261.00577928706025,0.332
261.2219413019902,0.3325
261.31668205044355,0.333
261.54696980352867,0.3335
261.6465081151715,0.334
261.8881390949873,0.3345
261.9911306461752,0.335
262.2428098070279,0.3355
262.348634607406,0.336
262.61164741557593,0.3365
262.7200373982171,0.337
262.99376139495587,0.3375
263.1041684320289,0.338
263.3865090321466,0.3385
263.49814648642587,0.339
263.786146890953,0.3395
263.8980745280711,0.34
264.188506900437,0.3405
264.29962801128556,0.341
264.5888049019144,0.3415
264.69771092146664,0.342
264.98085671942533,0.3425
265.0856975639398,0.343
265.35677135075,0.3435
265.4552836259695,0.344
265.7072203152253,0.34450000000000003
265.7970174828056,0.345
266.0231297883337,0.34550000000000003
266.10222263838966,0.346
266.2979288921056,0.34650000000000003
266.365196496423,0.347
266.52930772128525,0.34750000000000003
266.5842811730281,0.348
266.71655055724705,0.34850000000000003
266.75839842953394,0.349
266.85595022373536,0.34950000000000003
266.8820101759502,0.35
266.93411754854753,0.3505
266.9381816923715,0.351
266.92049367463676,0.3515
266.892165340469,0.352
266.7665489014512,0.3525
266.6958386830237,0.353
266.43684749564034,0.3535
266.32545349578163,0.354
265.9648128316385,0.3545
265.83343904641777,0.355
265.4658554870083,0.3555
265.338668587027,0.356
265.0190123195308,0.3565
264.90071111968496,0.357
264.60158370658723,0.3575
264.4736431794755,0.358
264.1028847733644,0.3585
263.9462006786881,0.359
263.47156690196937,0.3595
263.295559985134,0.36
262.80983000759284,0.3605
262.63489507137547,0.361
262.1726907036467,0.3615
262.00573699853976,0.362
261.5675301305747,0.3625
261.41260498612814,0.363
261.0176716107512,0.3635
260.880113599143,0.364
260.5404613282351,0.3645
260.4219273084017,0.365
260.1341003792869,0.3655
260.0332198753973,0.366
259.79139223018194,0.3665
259.70575774208464,0.367
259.50128484171955,0.3675
