"CIP_Line: Position[Y] (m)","CIP_Line: Temperature (C)"
0.0,243.17404051470578
4.75E-4,243.17404051470578
9.5E-4,243.18323287982741
0.001425,243.18323287982741
0.0019,243.20507274477131
0.0023750000000000004,243.20507274477131
0.00285,243.23255768102638
0.0033250000000000003,243.23255768102638
0.0038,243.28022263117202
0.004275,243.28022263117202
0.004750000000000001,243.3274490667534
0.0052250000000000005,243.3274490667534
0.0057,243.39584652365056
0.006175,243.39584652365056
0.0066500000000000005,243.39584652365056
0.007124999999999999,243.46043874734573
0.0076,243.46043874734573
0.008075,243.54795304957804
0.00855,243.54795304957804
0.009025,243.62844289505608
0.009500000000000001,243.62844289505608
0.009975,243.731039150195
0.010450000000000001,243.731039150195
0.010925,243.82437764669703
0.0114,243.82437764669703
0.011875,243.93834594312852
0.01235,243.93834594312852
0.012825000000000001,244.04082011122784
0.013300000000000001,244.04082011122784
0.013774999999999999,244.16296812902033
0.014249999999999999,244.16296812902033
0.014725,244.2713971752322
0.0152,244.2713971752322
0.015675,244.39904734190236
0.01615,244.39904734190236
0.016624999999999997,244.39904734190236
0.0171,244.5106644231081
0.017575,244.5106644231081
0.01805,244.6411166488374
0.018525,244.6411166488374
0.019000000000000003,244.75390112031846
0.019475,244.75390112031846
0.01995,244.88531722122082
0.020425,244.88531722122082
0.020900000000000002,244.99810362086203
0.021375,244.99810362086203
0.02185,245.129415533582
0.022324999999999998,245.129415533582
0.0228,245.24144200465867
0.023275,245.24144200465867
0.02375,245.37197345433253
0.024225,245.37197345433253
0.0247,245.48265712902605
0.025175000000000003,245.48265712902605
0.025650000000000003,245.48265712902605
0.026125000000000002,245.61177938424908
0.026600000000000002,245.61177938424908
0.027075,245.72063863333244
0.027549999999999998,245.72063863333244
0.028024999999999998,245.8478391273644
0.028499999999999998,245.8478391273644
0.028975,245.95436138082766
0.02945,245.95436138082766
0.029925,246.07909146815814
0.0304,246.07909146815814
0.030875000000000003,246.1827131431554
0.03135,246.1827131431554
0.031825,246.3082372868239
0.0323,246.3082372868239
0.032775,246.40545926899165
0.033249999999999995,246.40545926899165
0.033725,246.52484172878223
0.0342,246.52484172878223
0.034675,246.62326263768625
0.03515,246.62326263768625
0.035625000000000004,246.62326263768625
0.0361,246.7401328169351
0.036575,246.7401328169351
0.03705,246.83550022257555
0.037525,246.83550022257555
0.038000000000000006,246.9498714890584
0.038475,246.9498714890584
0.03895,247.0427143273779
0.039425,247.0427143273779
0.0399,247.1543639146954
0.040375,247.1543639146954
0.04085,247.24460577311072
0.041325,247.24460577311072
0.041800000000000004,247.3537728579454
0.042275,247.3537728579454
0.04275,247.44159472835463
0.043225,247.44159472835463
0.0437,247.5484015307111
0.044175000000000006,247.5484015307111
0.044649999999999995,247.5484015307111
0.045125,247.63387551246763
0.0456,247.63387551246763
0.046075,247.7386657631522
0.04655,247.7386657631522
0.047025,247.82200509963423
0.0475,247.82200509963423
0.047975000000000004,247.92468058238217
0.04845,247.92468058238217
0.048925,248.0062142231327
0.0494,248.0062142231327
0.049875,248.10704523288473
0.050350000000000006,248.10704523288473
0.050825,248.1866232790054
0.051300000000000005,248.1866232790054
0.051775,248.28576521632385
0.052250000000000005,248.28576521632385
0.05272500000000001,248.3633881090949
0.053200000000000004,248.3633881090949
0.053674999999999994,248.46093126053904
0.05415,248.46093126053904
0.05462499999999999,248.46093126053904
0.055099999999999996,248.53667330015276
0.055575,248.53667330015276
0.056049999999999996,248.6325831769568
0.056525,248.6325831769568
0.056999999999999995,248.70657688876713
0.057475,248.70657688876713
0.05795,248.80074516971297
0.058425,248.80074516971297
0.0589,248.8728421132064
0.059375,248.8728421132064
0.05985,248.96544246967824
0.060325000000000004,248.96544246967824
0.0608,249.03575099984687
0.061275,249.03575099984687
0.061750000000000006,249.1266480879965
0.062225,249.1266480879965
0.0627,249.19536866515318
0.06317500000000001,249.19536866515318
0.06365,249.19536866515318
0.064125,249.28460883851017
0.0646,249.28460883851017
0.06507500000000001,249.35156367595198
0.06555,249.35156367595198
0.066025,249.44177451379187
0.06649999999999999,249.44177451379187
0.06697499999999999,249.50282316901166
0.06745,249.50282316901166
0.067925,249.5896809140287
0.0684,249.5896809140287
0.06887499999999999,249.65358882833266
0.06935,249.65358882833266
0.069825,249.7376231539448
0.0703,249.7376231539448
0.070775,249.79962297049292
0.07125000000000001,249.79962297049292
0.071725,249.88185430871295
0.0722,249.88185430871295
0.072675,249.942280083529
0.07315,249.942280083529
0.07362500000000001,249.942280083529
0.0741,250.02266444000657
0.074575,250.02266444000657
0.07505,250.08150454776546
0.07552500000000001,250.08150454776546
0.07600000000000001,250.16007566219832
0.076475,250.16007566219832
0.07695,250.2173769363377
0.077425,250.2173769363377
0.0779,250.29427580233335
0.078375,250.29427580233335
0.07885,250.3501349613116
0.07932499999999999,250.3501349613116
0.0798,250.42542052684166
0.080275,250.42542052684166
0.08075,250.48012880537044
0.081225,250.48012880537044
0.0817,250.55424930925642
0.082175,250.55424930925642
0.08265,250.55424930925642
0.083125,250.60774973734328
0.08360000000000001,250.60774973734328
0.084075,250.68119676686615
0.08455,250.68119676686615
0.085025,250.73348676146384
0.0855,250.73348676146384
0.08597500000000001,250.80715946927194
0.08645,250.80715946927194
0.086925,250.85896963729
0.0874,250.85896963729
0.08787500000000001,250.9346001276558
0.08835000000000001,250.9346001276558
0.088825,250.98664509419348
0.08929999999999999,250.98664509419348
0.089775,251.06698462272607
0.09025,251.06698462272607
0.090725,251.12042134286207
0.0912,251.12042134286207
0.09167499999999999,251.2108974967391
