"IPT_Line: Temperature (C)","IPT_Line: Position[X] (m)"
252.56859639809466,0.4095
252.56859639809466,0.41000000000000003
252.76972359231422,0.4105
252.76972359231422,0.41100000000000003
253.17039324617508,0.4115
253.17039324617508,0.41200000000000003
253.7673867473478,0.4125
253.7673867473478,0.41300000000000003
254.44324388758253,0.4135
254.44324388758253,0.41400000000000003
255.01382752300458,0.4145
255.01382752300458,0.41500000000000004
255.3800983266624,0.4155
255.3800983266624,0.41600000000000004
255.56387483219874,0.4165
255.56387483219874,0.41700000000000004
255.632764673957,0.4175
255.632764673957,0.41800000000000004
255.6378442726625,0.4185
255.6378442726625,0.41900000000000004
255.60559555876353,0.4195
255.60559555876353,0.42000000000000004
255.5569376821726,0.4205
255.5569376821726,0.42100000000000004
255.50755790463984,0.4215
255.50755790463984,0.42200000000000004
255.46441134673228,0.4225
255.46441134673228,0.42300000000000004
255.42918315635552,0.4235
255.42918315635552,0.42400000000000004
255.40148082051508,0.4245
255.40148082051508,0.42500000000000004
255.3801375045955,0.4255
255.3801375045955,0.42600000000000005
255.36378675071433,0.4265
255.36378675071433,0.42700000000000005
255.3511223987881,0.4275
255.3511223987881,0.42800000000000005
255.3410266044258,0.4285
255.3410266044258,0.42900000000000005
255.33261409582235,0.4295
255.33261409582235,0.43000000000000005
255.32532200637183,0.4305
255.32532200637183,0.43100000000000005
255.31899709658705,0.4315
255.31899709658705,0.43200000000000005
255.31382783992717,0.4325
255.31382783992717,0.43300000000000005
255.31018331884434,0.4335
255.31018331884434,0.43400000000000005
255.30890125051758,0.4345
255.30890125051758,0.43500000000000005
255.311275497137,0.4355
255.311275497137,0.43600000000000005
255.3192121378787,0.4365
255.3192121378787,0.43700000000000006
255.33530866295007,0.4375
255.33530866295007,0.438
255.36299080316667,0.4385
255.36299080316667,0.439
255.40740262433428,0.4395
255.40740262433428,0.44
255.4746416480907,0.4405
255.4746416480907,0.441
255.57253849562676,0.4415
255.57253849562676,0.442
255.71090748878134,0.4425
255.71090748878134,0.443
255.90149958264647,0.4435
255.90149958264647,0.444
256.1566131549099,0.4445
256.1566131549099,0.445
256.4840278603001,0.4455
256.4840278603001,0.446
256.8757903718397,0.4465
256.8757903718397,0.447
257.2930326342639,0.4475
257.2930326342639,0.448
257.64840647255403,0.4485
257.8379979929274,0.449
257.90140554015045,0.4495
257.9245822748418,0.45
