time,Branch_in:massflow,Branch_in:pressure,Branch_in:temperature,Branch_in:velocity,Branch_out:massflow,Branch_out:pressure,Branch_out:temperature,Branch_out:velocity,NekRS_pressureDrop,fromNekRS_velocity,mFlow_pipe1out,mFlow_pipe2out,mFlow_pipe4out,mFlow_pipe5out,p_outlet_interface,p_pipe1in,p_pipe1out,p_pipe2in,p_pipe2out,p_pipe4in,p_pipe4out,p_pipe5in,pres_inlet_interface,temp_interface,toNekRS_velocity,vel_pipe5out,branch1:pressure,branch1:rho,branch1:temperature,branch1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0.055,2.4559560281034,26529.166438659,0.99998708607327,0.31346664371103,2.8977607543181,21014.130535706,1,0.3698565151572,18211.577754405,0.36985651515859,2.4559560281547,2.4559560281034,2.8977607543854,0.44180472626577,21014.130535706,2939.8167293599,14721.991639989,14746.991634746,26529.166438659,21014.130535706,2920.5974680324,2987.2415367442,39225.708290111,1,0.31346664371103,0.056389871452686,2920.5974672242,997.561,1.0000000026608,0.3698565151598,14746.991639792,25,997.561,1.0000000312528,0.31346664366751
0.06,1.7007590667988,39225.708243123,1.0000428172583,0.21707686551791,2.4447809779142,-10798.353422797,1,0.31204031301291,-11586.774062404,0.31204031306393,1.7007590659384,1.7007590667988,2.4447809777503,0.74402191211033,-10798.353422797,750.72409798617,19975.716220833,20000.716228962,39225.708243123,-10798.353422797,725.66197952387,769.72979032932,-22385.127485201,1,0.21707686551791,0.094963447621983,725.66198461886,997.561,1.0000000370475,0.31204031298601,20000.716221548,25,997.561,1.000075713421,0.21707686539119
0.065,2.0831901648536,-22385.127485443,0.9999772745962,0.26588856710629,1.6954429783749,-21980.034300912,1,0.21639834506526,-19192.728791237,0.21639834506428,2.0831901648971,2.0831901648536,1.6954429783993,-0.3877471865161,-21980.034300912,-2916.1121568736,-12663.119755866,-12638.119759204,-22385.127485443,-21980.034300912,-2904.2070216418,-2882.0716594462,-41172.763092149,1,0.26588856710629,-0.049490222045815,-2916.1121562848,997.561,1.0000000338692,0.26588856710252,-12638.119756702,25,997.561,0.99999999427933,0.2658885671076
0.07,2.8696374697608,-41172.763094441,0.9999990397898,0.36626699176206,2.0683571205123,8421.7971280055,1,0.26399534728783,9563.1825375266,0.26399534735545,2.8696374693978,2.8696374697608,2.0683571208387,-0.80128034656091,8421.7971280055,-1114.9082081172,-21156.335621346,-21131.335677839,-41172.763094441,8421.7971280055,-1082.7578163313,-1053.2130301393,17984.979665532,1,0.36626699176206,-0.1022716441312,-1114.9081978214,997.561,0.99999998008788,0.36626699161716,-21131.33562428,25,997.561,1.0000380660721,0.36626699171148
0.075,2.5694756268785,17984.979696381,0.99997505666698,0.32795574987428,2.8481015454851,22555.245485824,1,0.36351824796345,19998.11334832,0.36351824806558,2.5694756287949,2.5694756268785,2.8481015467509,0.27862591834352,22555.245485824,2696.9689028022,10328.474248744,10353.474287992,17984.979696381,22555.245485824,2684.7036144499,2749.9844022772,42553.358834144,1,0.32795574987428,0.035562498055592,2685.3350907923,997.561,1.0000000172883,0.36351824773381,10353.474306159,25,997.561,1.000000000794,0.32795574958404
0.08,1.7597112156544,42553.358833947,0.99998499834199,0.22460123974525,2.5566410882982,-6137.9776592264,1,0.32631760990503,-7447.829764766,0.32631760990494,1.759711215652,1.7597112156544,2.5566410882948,0.79692987264696,-6137.9776592264,1300.0073326374,21914.183042634,21939.183044721,42553.358833947,-6137.9776592264,1272.0569457034,1320.0087288194,-13585.807423992,1,0.22460123974525,0.10171637016018,1272.0569340858,997.561,0.9999991819427,0.32631760990541,21939.18304351,25,997.561,1.0000021456582,0.22460123974483
0.085,1.9751584863187,-13585.80740992,0.99998236536024,0.25209991319828,1.7544487590668,-23037.417658439,1,0.22392956460721,-20545.993002435,0.22392956456362,1.9751584866842,1.9751584863187,1.7544487575783,-0.22070972890188,-23037.417658439,-2622.719038005,-8116.7632199987,-8091.7632654871,-13585.80740992,-23037.417658439,-2616.0303894581,-2591.4151614488,-43583.410660874,1,0.25209991319828,-0.028170348801673,-2622.3232717833,997.561,0.99999996695953,0.25209991389293,-8091.7632457941,25,997.561,1.0000002131693,0.25209991371096
0.09,2.798903430637,-43583.410660718,1.000085951623,0.35723883263114,1.9619862361759,3697.6143931713,1,0.25041866931805,5324.2352418601,0.25041866931801,2.7989034306361,2.798903430637,1.9619862361749,-0.83691719445554,3697.6143931713,-1627.2944737414,-22617.852541052,-22592.852548707,-43583.410660718,3697.6143931713,-1594.9185822028,-1569.3315165038,9021.8496350314,1,0.35723883263114,-0.10682016331238,-1627.2944788554,997.561,0.99798133836737,0.35723883263036,-22592.852545504,25,997.561,1.0001929690094,0.35723883263083
0.095,2.6679341282613,9021.8496225621,1.0002932219944,0.34052252860326,2.7774879494424,23128.039795693,1,0.35450546161932,20912.490687659,0.35450546172349,2.6679341226351,2.6679341282613,2.7774879500093,0.10955382451685,23128.039795693,2352.4343095924,5674.6419845834,5699.6419955553,9021.8496225621,23128.039795693,2347.586839178,2410.1731606522,44040.530483353,1,0.34052252860326,0.01398293344182,2347.6846688553,997.561,0.99999999092877,0.35450546157826,5699.6420016612,25,997.561,1.0007186579445,0.34052252821453
0.1,1.8382766804483,44040.530482979,1.0000125467123,0.23462896511115,2.6534837213652,-1399.6848960191,1,0.33867814682356,-3156.9188246656,0.33867814682316,1.8382766804576,1.8382766804483,2.6534837213616,0.81520704090523,-1399.6848960191,1775.0372524518,22895.283867056,22920.283815315,44040.530482979,-1399.6848960191,1745.2839709556,1797.095673116,-4556.6037206847,1,0.23462896511115,0.10404918171092,1745.2839536799,997.561,0.99999720397702,0.33867814682268,22920.283851149,25,997.561,1.0005394022773,0.23462896511182
