time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,SAM_dudt,SAM_velocity,coupled_nekdP,dP_overlap,dt,du,fromNekRS_temperature,mFlow_deadend,mFlow_out2,mFlow_out6,p_in,p_inlet_interface,p_out,toNekRS_temperature,toNekRS_velocity,u,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity,junction7toOverlap:pressure,junction7toOverlap:rho,junction7toOverlap:temperature,junction7toOverlap:velocity
0,0.51520719053363,15018819.980239,548.13125994382,0.23596871683105,0.51520746435853,15018819.980255,548.13125243986,0.23596883833017,0,0.23596871683105,7.65,10.862866768613,1,0,548.13125994382,2.639468445046e-07,0.51520746267577,0.51520720084789,15018830.843106,15018819.980255,15018819.980239,548.13125088856,0.23596871683105,0.23596871683105,14999978.363158,767.28504613856,551.01624242334,0.23748356316871,15011269.712402,767.285033403,551.01624988315,0.23748356316861,15003732.285854,767.28504943729,551.01624049112,0.23748344159991,15011269.625126,772.21038516964,548.13124439315,0.2359687168318,15018830.843106,772.21037408052,548.13125088856,0.23596871683117
0.0001,0.51499671188686,15018819.98031,548.13125393611,0.23587231291592,0.51520719053309,15024864.544961,548.13125994447,0.23596871683114,-0.96403908670689,0.23587231291592,8.2682138631569,-1045.365256099,0.0001,-9.6403908670689e-05,548.13125994382,0.00020931073572346,0.51605158767205,0.51499670852971,15017774.615054,15024864.544961,15018819.98031,548.13125689707,0.23587231292238,0.23587231292238,15000052.201635,767.28503343824,551.0162498625,0.23787266439837,15015821.86108,767.28502064471,551.01625735626,0.23787266439,15002682.750733,767.28503706839,551.01624773616,0.23777626052094,15009468.95169,772.21037479895,548.13125046775,0.23587231309063,15017774.614991,772.21036382153,548.13125689773,0.23587231312695
0.0002,0.51313527503281,15024864.54434,548.13125474051,0.23501976145155,0.51499670504624,15017548.870592,548.13125994448,0.23587231291607,-8.5255141799537,0.23501976145155,14304.446962749,10963.757769166,0.0001,-0.00085255141799537,548.13125994382,0.0018510472795883,0.51584244497242,0.51313527360534,15035828.302109,15017548.870592,15024864.54434,548.13125610049,0.23501976150439,0.23501976150439,15000558.752456,767.28503340057,551.01624988457,0.23777626061802,15010740.592417,767.28502036017,551.01625752293,0.23777626040792,15007583.606227,767.28503738849,551.01624754866,0.23692370875238,15021683.546647,772.21037614521,548.13124967918,0.23501976128307,15035828.302323,772.21036518217,548.13125610074,0.23501976134891
0.0003,0.51316908034191,15017548.870357,548.13121460587,0.23503522367896,0.51313526913172,15001779.008355,548.1312599412,0.23501976145102,0.15462186874204,0.23503522367896,104.68308673111,318.19889832102,0.0001,1.5462186874204e-05,548.13125994382,-3.3618675323222e-05,0.51399288184187,0.51316898773783,15017867.069256,15001779.008355,15017548.870357,548.13129625294,0.23503522369126,0.23503522369126,14999312.147868,767.28495959427,551.01629311632,0.23693916852833,15000791.200728,767.28501968272,551.01625791974,0.23692370941936,15003006.777722,767.2849650385,551.01628992738,0.23693917096236,15010425.205879,772.21030679285,548.13129030206,0.23503522382046,15017867.069484,772.21029663759,548.13129625045,0.23503522381482
0.0004,0.51437450950327,15001779.008895,548.12980013116,0.23558658240853,0.51316902890906,15018705.671168,548.1312599412,0.23503522367959,5.5135875128284,0.23558658240853,-15.678842682631,6023.5979366601,0.0001,0.00055135875128284,548.13125994382,-0.001198847361581,0.51402642620716,0.51437119960064,15007802.606831,15018705.671168,15001779.008895,548.13271079425,0.23558658244254,0.23558658244254,14999566.992211,767.2824249691,551.01777776308,0.23749052954295,15011036.350591,767.28501880733,551.0162584325,0.23693917172787,15001205.668704,767.28247908956,551.01774606223,0.23749052937468,15004499.019077,772.20786841914,548.1327185699,0.23558658267178,15007802.606378,772.20788168433,548.13271079986,0.23558658286335
0.0005,0.51441362084395,15018705.675651,548.13125843006,0.23560525523527,0.51437284946062,15029818.773156,548.13125994119,0.23558658242625,0.18672870823216,0.23560525523527,-21.208260267816,174.64228285849,0.0001,1.8672870823216e-05,548.13125994382,-4.0600657848363e-05,0.51522256843075,0.51441362781817,15018880.317934,15029818.773156,15018705.675651,548.13125244761,0.23560525531337,0.23560525531337,15000387.263347,767.28494088707,551.01630407399,0.23750915439321,15018024.356736,767.28501959159,551.01625797312,0.23749053082142,15004069.542325,767.28499165208,551.01627433858,0.23750920003924,15011463.248166,772.21035875611,548.13125986478,0.23560525267766,15018880.307303,772.21037153303,548.13125238075,0.23560525250136
0.0006,0.51363854236842,15029818.773092,548.13131077065,0.23525029076472,0.5144136191275,15019465.522575,548.13125994119,0.23560525523625,-3.5496465864571,0.23525029076472,18.763255039936,-3865.6790351737,0.0001,-0.00035496465864571,548.13125994382,0.00077069830646425,0.51526307857694,0.51363866777998,15025953.094057,15019465.522575,15029818.773092,548.13120011952,0.23525029065472,0.23525029065472,15000265.175745,767.28503154979,551.01625096865,0.23750920379673,15011771.444215,767.28501807146,551.01625886353,0.23750920391616,15005380.986443,767.28507910199,551.01622311514,0.23715423752441,15015650.760863,772.21044851419,548.13120728933,0.23525029028329,15025953.09411,772.21046077693,548.13120010648,0.23525028986215
0.0007,0.51357153377787,15019465.527358,548.13131170128,0.23521960081346,0.51363860007497,15011753.418042,548.13125994122,0.23525029075847,-0.30689892984742,0.23521960081346,31.061642127436,-292.42171836272,0.0001,-3.0689892984742e-05,548.13125994382,6.6638531304371e-05,0.51449300242249,0.51357166139765,15019173.10564,15011753.418042,15019465.527358,548.13119920293,0.23521960076174,0.23521960076174,14999729.504317,767.28502945683,551.0162521946,0.23715424007433,15006935.43297,767.28501647123,551.01625980086,0.23715424034143,15003601.184793,767.28507767039,551.01622395369,0.23712354736994,15011374.861605,772.21044940264,548.13120676893,0.23521960105188,15019173.106758,772.21046242987,548.13119913828,0.23521960160883
0.0008,0.51406913831993,15011753.417692,548.13070899917,0.23544719368619,0.51357159254737,15018032.337653,548.13125994123,0.23521960081354,2.275928822528,0.23544719368619,0.7983755746769,2496.7777981367,0.0001,0.0002275928822528,548.13125994382,-0.00049486150131008,0.51442642141942,0.51406789608022,15014250.19549,15018032.337653,15011753.417692,548.13180194139,0.23544719364399,0.23544719364399,14999780.122788,767.28395174202,551.01688346182,0.23735114000732,15010718.262266,767.28501465371,551.01626086547,0.23712354985813,15002660.90624,767.28402026887,551.01684332249,0.23735114029631,15008446.450901,772.20941283907,548.13181393198,0.23544719370022,15014250.195567,772.20943331223,548.1318019399,0.2354471935698
0.0009,0.51413772410278,15018032.337539,548.13124976322,0.23547888796871,0.51406851217007,15023341.748163,548.13125994122,0.23544719368858,0.31694351828676,0.23547888796871,-6.2154782160196,338.71467203833,0.0001,3.1694351828676e-05,548.13125994382,-6.8908246763933e-05,0.51492017051345,0.5141377111912,15018371.052211,15023341.748163,15018032.337539,548.13126117441,0.23547888799582,0.23547888799582,15000128.760098,767.28487650601,551.01634178494,0.23738282600306,15014039.532863,767.28501252077,551.01626211483,0.2373511429411,15003761.096708,767.28494791639,551.01629995659,0.23738283438548,15011054.557608,772.21033577723,548.13127332457,0.23547888804068,15018371.051475,772.21035654915,548.1312611575,0.23547888809683
