SAM,,NekRS,,Overlap,
X,Y,X,Y,X,Y
10000,12.058823529411768,10000,15.588235294117652,10000,15.588235294117652
19984.520123839007,41.91176470588235,19969.04024767802,47.94117647058823,20000,47.94117647058823
29969.040247678015,88.23529411764706,29969.040247678015,92.05882352941177,29969.040247678015,92.05882352941177
