time,SAM_dudt,coupled_nekdP,dP_over,dt,du,mFlow_pipe1out,mFlow_pipe2out,mFlow_pipe4out,mFlow_pipe5out,p_in,p_out,p_pipe1in,p_pipe1out,p_pipe2in,p_pipe2out,p_pipe4in,p_pipe4out,p_pipe5in,toNekRS_velocity,u,vel_pipe5out,branch1:pressure,branch1:rho,branch1:temperature,branch1:velocity,junction1:pressure,junction1:rho,junction1:temperature,junction1:velocity,junction2:pressure,junction2:rho,junction2:temperature,junction2:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,0,4.55,4.5534872401351,1,0,1.8384125630577,1.8384125630571,1.8384125630493,-6.3826182928359e-12,-16.093309245379,-20.646796485514,-27.462300728314,-34.277804966902,-9.2778049693874,-16.093309245379,-20.646796485514,-27.462300704314,4.3548739232378e-12,0.23464630852643,0.23464630852643,-8.1464729475997e-13,-27.46230072871,997.561,1.0000926272184,0.23464630852706,-16.093309211269,997.561,1.000092338642,0.23464630852643,-20.646796485386,997.561,1.000092500837,0.23464630852712,-9.2778049692564,25,997.561,1.0000924873372,0.2346463085265
0.01,-0.00077840886712199,7.6713128848925,6.8948040751341,0.01,-7.7840886712199e-06,1.8383515754096,1.8383515760912,1.8383515640745,-6.3759634861528e-09,-14.53071090698,-21.425514982114,-27.460490185597,-33.495577601128,-8.4955706955636,-14.53071090698,-21.425514982114,-27.460488513514,-8.1100034871344e-06,0.23463852443776,0.23463852443776,-8.1379790662289e-10,-27.460488525337,997.561,1.0001418267293,0.23463852371699,-14.530713791642,997.561,1.0001187257393,0.23463852443776,-21.425515496299,997.561,1.0000749353492,0.23463852303126,-8.495573951497,25,997.561,1.0000824093316,0.23463852515301
0.02,-0.53007597233194,2120.4985220541,1591.7153859916,0.01,-0.0053007597233194,1.7968210558501,1.7968210558359,1.7968210558596,-1.8625309592806e-11,1043.2432547921,-548.47213119954,-26.233755016145,496.00471619498,521.00472115799,1043.2432547921,-548.47213119954,-26.233754497216,8.0971829760938e-06,0.22933776471444,0.22933776471444,-2.3772466686402e-12,-26.23375673048,997.561,1.0011194198522,0.22933776471593,1043.2432502006,997.561,1.0150663551163,0.22933776471665,-548.47213535731,997.561,1.0036545678169,0.22933776472134,521.00471609345,25,997.561,0.98596806495401,0.22933776471452
0.03,-0.0058694044962421,28.795188888674,22.940139901375,0.01,-5.8694044962421e-05,1.7963612010898,1.7963611983154,1.7963611892213,-7.7828085982672e-09,-2.5936691298327,-25.533809031208,-26.220352559745,-26.907049991142,-1.9070490702421,-2.5936691298327,-25.533809031208,-26.22033021236,-9.8871458716248e-06,0.22927907066947,0.22927907066947,-9.9336098123393e-10,-26.220348589348,997.561,0.99960432668021,0.22927907155633,-2.5936776406878,997.561,1.0031938694214,0.22927907098808,-25.533819262847,997.561,0.998102090858,0.22927906998349,-1.9070477708327,25,997.561,0.99815313551207,0.2292790730036
0.04,0.00067341002268351,2.6848386001336,3.3568965512916,0.01,6.7341002268351e-06,1.7964140181508,1.7964139588064,1.7964140743115,5.6730675998898e-08,-15.649841796614,-19.006738347906,-26.221781882535,-33.435378812744,-8.4353870795116,-15.649841796614,-19.006738347906,-26.221845556497,8.2145664864752e-05,0.2292858047697,0.2292858047697,7.2408359096581e-09,-26.221797860405,997.561,1.0012252127591,0.22928581121732,-15.649853482635,997.561,1.0053339201684,0.22928581150565,-19.006700394608,997.561,0.99530847170467,0.22928581103719,-8.4354043634202,25,997.561,0.99653999975621,0.22928581036439
0.05,-0.0013343194061793,10.702191308878,9.3709550470049,0.01,-1.3343194061793e-05,1.7963094067619,1.7963094172274,1.7963094390759,1.7302880884781e-08,-11.638783447904,-21.009738494909,-26.218887344361,-31.429240259866,-6.4292349675499,-11.638783447904,-21.009738494909,-26.218895010162,-5.0199970020998e-05,0.22927246157564,0.22927246157564,2.2084581056904e-09,-26.218883433778,997.561,0.99311812284557,0.22927246001563,-11.638776570168,997.561,1.0041372280616,0.2292724632711,-21.009731218392,997.561,1.0030440143731,0.22927246437155,-6.4292345144552,25,997.561,1.0010884593472,0.22927246011121
0.06,-0.00094822944471384,9.1610856183899,8.2151608454036,0.01,-9.4822944471384e-06,1.7962351227406,1.796235125118,1.7962351260026,3.4769085297047e-09,-12.406649016574,-20.621809861978,-26.216682373264,-31.811668101655,-6.811665812151,-12.406649016574,-20.621809861978,-26.216684440548,-1.7603516839284e-05,0.22926297928119,0.22926297928119,4.4377620561002e-10,-26.216681531979,997.561,1.0133289147753,0.22926297922377,-12.406648809553,997.561,0.9916759583976,0.22926297963913,-20.621807936981,997.561,0.97172773891493,0.22926297926345,-6.8116652923101,25,997.561,1.0012370971641,0.22926297951596
0.07,-0.00085428425780631,8.7874219603255,7.9352290809682,0.01,-8.5428425780631e-06,1.7961681935626,1.7961681934487,1.7961681940115,-4.3937204749309e-10,-12.591243607313,-20.526472688281,-26.214713408909,-31.902970906211,-6.9029720746686,-12.591243607313,-20.526472688281,-26.214713977449,-4.9864334727912e-06,0.22925443643861,0.22925443643861,-5.6079375808069e-11,-26.214714120168,997.561,0.99935930350005,0.22925443647183,-12.591243144271,997.561,0.98957953009721,0.22925443639229,-20.526472497639,997.561,0.99395221169602,0.22925443651005,-6.9029717410942,25,997.561,1.0104905372203,0.22925443649868
0.08,-0.00099926469786793,9.3674174412268,8.3705943438918,0.01,-9.9926469786793e-06,1.796089905091,1.7960899028169,1.7960899037714,-1.2376236589728e-09,-12.29871073609,-20.669305079982,-26.212424737651,-31.755575975215,-6.7555755849636,-12.29871073609,-20.669305079982,-26.212424951768,-1.016367509932e-06,0.22924444379164,0.22924444379164,-1.5796444647878e-10,-26.212424679083,997.561,0.99464823527601,0.22924444398771,-12.298710866302,997.561,0.98358161015339,0.22924444381923,-20.669304990349,997.561,0.99792600258016,0.22924444390309,-6.7555753473791,25,997.561,1.0196936853483,0.22924444402971
0.09,-0.00075131498509795,8.3792847222897,7.6297808134798,0.01,-7.5131498509795e-06,1.7960310370168,1.796031038609,1.7960310379602,-3.9823555329533e-13,-12.790851259414,-20.420632072894,-26.210702982319,-32.000779213025,-7.0007763130109,-12.790851259414,-20.420632072894,-26.210703695626,1.5752965488467e-06,0.22923693064178,0.22923693064178,-5.0828907712283e-14,-26.21070275545,997.561,0.98929678678437,0.22923693036939,-12.790852903691,997.561,0.99559063225085,0.22923693089503,-20.420631349665,997.561,1.0291235679546,0.22923693049996,-7.0007781546429,25,997.561,1.009592578567,0.22923693073563
