time,CH1UP_outlet_T,CH1_UP_p,CH1_inlet_T,CH1_outlet_T,CH1_outlet_flow,CH1_velocity,CH2_UP_p,CH2_outlet_T,CH2_outlet_flow,CH2_velocity,CH3_UP_p,CH3_outlet_T,CH3_outlet_flow,CH3_velocity,CH4_UP_p,CH4_outlet_T,CH4_outlet_flow,CH4_velocity,CH5_UP_p,CH5_outlet_T,CH5_outlet_flow,CH5_velocity,DHX_flow,DHX_heatremoval,IHX_heatremoval,IHX_inlet_T,IHX_inlet_T_secondary,IHX_inlet_p,IHX_outlet_T,IHX_outlet_T_secondary,IHX_primaryflow,IHX_secondaryflow,NaHX_heatremoval,NaHX_inlet_T,NaHX_inlet_T_secondary,NaHX_outlet_T,NaHX_outlet_T_secondary,NaHX_primaryflow,NaHX_secondaryflow,max_Tci_Ref,max_Tci_core,max_Tco_Ref,max_Tco_core,max_Tcoolant_Ref,max_Tcoolant_core,max_Tf_Ref,max_Tf_core,pump_flow,Branch10:pressure,Branch10:rho,Branch10:temperature,Branch10:velocity,Branch8:pressure,Branch8:rho,Branch8:temperature,Branch8:velocity,Branch9:pressure,Branch9:rho,Branch9:temperature,Branch9:velocity,Branch_CH1_L:pressure,Branch_CH1_L:rho,Branch_CH1_L:temperature,Branch_CH1_L:velocity,Branch_CH1_U:pressure,Branch_CH1_U:rho,Branch_CH1_U:temperature,Branch_CH1_U:velocity,Branch_CH2_L:pressure,Branch_CH2_L:rho,Branch_CH2_L:temperature,Branch_CH2_L:velocity,Branch_CH2_U:pressure,Branch_CH2_U:rho,Branch_CH2_U:temperature,Branch_CH2_U:velocity,Branch_CH3_L:pressure,Branch_CH3_L:rho,Branch_CH3_L:temperature,Branch_CH3_L:velocity,Branch_CH3_U:pressure,Branch_CH3_U:rho,Branch_CH3_U:temperature,Branch_CH3_U:velocity,Branch_CH4_L:pressure,Branch_CH4_L:rho,Branch_CH4_L:temperature,Branch_CH4_L:velocity,Branch_CH4_U:pressure,Branch_CH4_U:rho,Branch_CH4_U:temperature,Branch_CH4_U:velocity,Branch_CH5_L:pressure,Branch_CH5_L:rho,Branch_CH5_L:temperature,Branch_CH5_L:velocity,Branch_CH5_U:pressure,Branch_CH5_U:rho,Branch_CH5_U:temperature,Branch_CH5_U:velocity,Pump_p:pressure,Pump_p:pump_head,Pump_p:rho,Pump_p:temperature,Pump_p:velocity,Pump_s:pressure,Pump_s:pump_head,Pump_s:rho,Pump_s:temperature,Pump_s:velocity,cold_pool_low:level,cold_pool_low:pressure,cold_pool_low:rho,cold_pool_low:temperature,cold_pool_low:velocity,cold_pool_low:volume,cover_gas:pressure,hot_pool:level,hot_pool:pressure,hot_pool:rho,hot_pool:temperature,hot_pool:velocity,hot_pool:volume,inlet_plenum:pressure,inlet_plenum:rho,inlet_plenum:temperature,inlet_plenum:velocity,reactor:power
-1000,628.15,100000,628.15,628.15,4.2615129066553,1,100000,628.15,98.001727648025,1,100000,628.15,25.566307807074,1,100000,628.15,127.82721148403,1,100000,628.15,133.24974496401,1,20.772246432506,0,0,628.15,628.15,100000,628.15,628.15,662.98086530414,-894.93761713378,0,628.15,628.15,628.15,628.15,662.98086530414,-1252.9126639873,628.15,628.15,628.15,628.15,628.15,628.15,628.15,628.15,114.24735537878,200000,865.51026802107,628.15,1,200000,865.51026802107,628.15,1,200000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,100000,865.51026802107,628.15,1,300000,415100,865.51026802107,628.15,1,200000,40300,865.51026802107,628.15,1,5.5,300000,865.51026802107,628.15,0,152.97,100000,2.16,100000,829.93943895206,783.15,0.00356,92.51,300000,865.51026802107,628.15,1,250000000
-999,664.77230271064,145601.46879777,628.10913458963,721.64238310075,22.920392197812,5.3422885874645,146681.98202894,656.6779318863,480.24029992974,4.8701400008036,146834.39824932,653.65107354057,123.47847869768,4.8024534012336,147907.41499056,648.96545942159,548.46692195484,4.2660526963478,151891.08977847,628.15031046958,32.284693556911,0.24189532434792,16.882560472781,-2.3612846603211e-07,0.54753358959722,760.97365737492,619.78134971565,117592.74294709,627.05367777125,644.90778147784,811.34958932296,-898.97725402232,-0.20599612351245,641.80053351959,598.74783905092,617.72970296666,631.8033149238,899.18258443508,-1257.7773897991,630.68300328508,732.29272520113,630.53376844605,722.99520292651,630.526690055,721.94966902609,631.40683040375,783.30324341419,1200.3845600615,45318.789081325,862.01271132801,643.49375615617,11.341881584861,95859.967884845,867.68111462535,618.61501619895,11.261616483006,54949.511509748,861.69010987682,644.90785806961,11.341881619943,406416.52126131,865.51028167825,628.14994004144,5.3423460059322,315515.13737238,844.11654293969,721.65000126857,5.4902077086932,370850.9211292,865.51028121473,628.14994207641,4.8701790201532,292786.62555403,847.28213990272,707.86798776137,4.9856965815017,365934.92234646,865.51028163747,628.14994022047,4.8024873630628,289651.07425008,848.97889995481,700.47329738518,4.9057472126122,329126.40017388,865.51027978184,628.14994836717,4.2660739240166,266075.20494893,850.16446159462,695.30334588336,4.3523124888423,171777.60780304,865.51026231952,628.15002503127,0.24186017754857,164864.47915512,865.24411990126,629.31839248713,0.24235393850765,218408.54314246,415100,865.51127934669,628.14556001948,25.216494976451,167421.39424673,40300,867.8825721884,617.72970895433,1.3525701283511,5.481464069879,146391.73753603,865.51180211422,628.14326493433,-0.018535930331562,152.5258791143,100000,2.1985353075199,118132.47090504,830.35847817894,781.33740020735,0.038535308620632,92.940054031922,490236.37853788,865.51028481641,628.14992626412,3.0865431117092,250000000
-997.62,734.41824230804,144864.94515046,628.03605011787,779.52203102207,24.370083684987,5.694572612147,146161.02231377,716.62172540554,509.22657875685,5.1746415304356,146347.67580676,708.06942841822,130.89448904739,5.1002265308695,147605.35337312,699.51064242279,579.61199889538,4.515153591612,152111.25248826,628.15019869038,33.491944970247,0.25090936538171,13.440115182408,-1.4080441154334e-06,0.64737583214518,775.01024669612,612.37865990091,117167.39056384,624.09215683659,663.67151896398,871.27527381133,-1152.7466814057,-0.28413309429554,661.36931698239,596.98440257222,611.46447760855,641.45616860021,1152.2215005548,-1258.4245475512,634.41905364623,792.92205731741,634.25014070873,782.14490637871,634.24205990319,779.52203102207,635.38458190715,857.56421305144,1272.4162270141,9240.6876877035,857.62075994273,662.72898384518,14.616145349872,60630.238935671,869.23285451763,611.79391457163,14.414843135541,12460.727491919,857.40532844276,663.67157916742,14.616145094846,424787.21082569,865.51039962444,628.14942222734,5.6947425155406,326612.65681329,830.77761583246,779.52406049873,5.9369173208155,384775.25680226,865.51039585085,628.14943879436,5.1747767450446,301193.43824876,835.12513483836,760.69656360413,5.3667952880711,379297.22139717,865.51039445846,628.14944490729,5.1003479312915,297747.53112741,837.84699818321,748.89188243598,5.2721645320358,338523.87063978,865.51039254968,628.14945328732,4.5152569790383,271739.39300371,838.90489180192,744.30020670708,4.661949312191,173579.46326814,865.51026313075,628.15002146974,0.25085703035384,166122.13673219,864.7954902965,631.28758062244,0.25153416386639,211381.33007521,415100,865.51803673328,628.11589329912,26.729406004348,165442.00789791,40300,869.30777338062,611.46447361847,1.7312866441741,5.4548620907547,146230.625437,865.52018718888,628.10645221048,-0.019276797758979,151.88849569448,99964.897150937,2.2552784713581,118338.47932264,830.72890283356,779.73482653234,0.041118233951117,93.573307740356,515887.16247856,865.51043294047,628.14927596139,3.2717267780366,250000000
-995.7156,784.45537132671,145299.47378304,628.01123731275,802.21310993008,24.368895674786,5.7094073377762,146620.94925854,763.81462341488,509.21747559481,5.1874765395836,146814.94979229,751.52508154455,130.91637578597,5.1128007092767,148090.37483975,744.99981312597,579.54786626675,4.5254368464932,152656.70455166,628.14654687303,33.523902585662,0.25112311730023,10.530945179737,-4.2473443998804e-06,0.71945019896875,777.31716063503,608.25871353296,117104.03061667,620.30656407522,680.37875857287,925.64130950691,-1234.9362123988,-0.37625095185382,678.96087064612,596.79273448674,607.93112793087,654.69811958714,1234.1163729036,-1258.5516568151,639.64317869447,819.2147523857,639.46871563526,806.54925509927,639.45993060811,802.21310993008,640.67219729954,886.56886839048,1275.4426922481,-4764.4671432409,853.7127218894,679.81481655542,15.729313419475,46905.006280324,870.08302829072,608.05482349861,15.427515838661,-2898.8151039253,853.58361167878,680.37880205522,15.729313223654,425597.18270437,865.51199552968,628.14241579016,5.7096044381921,327052.67516076,825.52797817424,802.21323897775,5.9871330848079,385383.77878957,865.51196615961,628.14254473238,5.187635701918,301531.3287716,830.08873824343,782.50422566542,5.4099502346653,379879.22305194,865.51196146783,628.14256533051,5.1129439554705,298080.75926317,833.20100587819,769.0334381971,5.3120813068686,338945.20236027,865.51192044965,628.14274541103,4.5255615038451,271990.12349883,833.86236122563,766.16866505155,4.6982611118233,174100.58615037,865.51026664539,628.15000603957,0.25107603706987,166659.52515177,864.10627822748,634.3120348682,0.25195545537138,211018.04571863,415100,865.5392326377,628.02283710018,26.792249808366,165257.23074408,40300,870.11114830708,607.93112756725,1.852913129709,5.4227052874743,145958.62463103,865.54385307983,628.00255190089,-0.016885529981708,151.11801868788,99954.59548871,2.3255890328991,118876.46385089,830.9220624081,778.89906001404,0.036920059617999,94.357973607154,516976.94735059,865.51231923873,628.14099462304,3.2794259165622,250000000
-993.087528,804.24823727267,145987.03525692,627.96389212594,808.56002159238,24.314736049859,5.7033300290692,147309.80003472,784.01973226349,508.09427228324,5.1822310979293,147505.60596423,770.35823887619,130.64002198688,5.10770065014,148780.41177922,766.92783422882,578.22622930307,4.5210527510878,153358.94672106,628.13388180817,33.489066868719,0.25082572283104,8.1758813111667,-9.1168571021525e-06,0.79115437856739,777.87054755371,605.79873841265,117110.23272938,616.65187657697,694.86414380973,984.72749242259,-1254.8293201228,-0.47069389713048,693.98605713264,596.76664936498,605.67818402474,668.88898277716,1253.9667321321,-1258.5967472548,646.80416804387,827.68966698966,646.63679091653,813.53412013271,646.62956932039,808.56002159238,647.86138400408,895.69607553338,1274.2485211402,-8627.7348841232,850.34447339878,694.51813210439,16.045765961444,43470.878744253,870.61063295437,605.73371819175,15.666531760001,-7108.7255694661,850.26514454672,694.86417288832,16.045765830047,425696.32610351,865.52193379847,628.09878410998,5.703532490151,327297.29956772,824.05747493295,808.5600244684,5.9906951645554,385556.5783314,865.52179958732,628.09937333436,5.1823950249324,301822.9974605,828.61997404354,788.85543960847,5.4133599919175,380059.78584272,865.52177830162,628.09946678451,5.1078482470626,298378.70588643,831.83876895028,774.93172598472,5.31483467246,339198.65034757,865.52158812599,628.10030170849,4.5211817001082,272334.19367196,832.2940460086,772.96081274318,4.7018595708846,174781.66359113,865.51020577686,628.15027326808,0.25079666768652,167358.00430142,863.05087717206,638.94171053937,0.25197148701898,211538.36694667,415100,865.58702054711,627.81303116628,26.765602702547,165192.43377791,40300,870.62325485213,605.67818392555,1.881620002553,5.3857946055686,145682.61573972,865.5943670476,627.78077703531,-0.014044775755151,150.23363874942,99989.997043961,2.4070880259907,119576.64385186,830.98954480754,778.60706014661,0.031010943798572,95.267502370057,516906.43404328,865.52336054264,628.09252030315,3.2761895265341,250000000
-989.46078864,809.17261650653,146788.69955848,627.80095175883,809.87998855202,24.273259165471,5.6950759114484,148107.9458285,789.36980164905,507.23096100963,5.1749359963102,148303.70863107,775.38645282673,130.42146864004,5.1005478613014,149574.61766272,773.34244690425,577.22441860838,4.514877992225,154147.36759915,628.10851296223,33.45078879541,0.25049494818999,6.3389997007992,-1.5836382823551e-05,0.86015020882316,778.11913791649,604.301654078,117142.65551522,613.71654968448,707.47692878721,1045.2961379822,-1258.3514654079,-0.56008395547607,706.92522294972,596.75849759652,604.26275894449,682.62628625768,1257.5340291082,-1258.6198510303,656.61942401114,829.52753457019,656.44342664298,815.00894402396,656.43386015381,809.87998855202,657.65537452171,897.57067759325,1272.6148505382,-9625.3019607859,847.42158277485,707.26047695501,16.146132633386,42864.900579488,870.93922380312,604.28787501467,15.704578397615,-8172.374361402,847.37189669497,707.47694838903,16.146132545031,425828.67931112,865.55889031265,627.93653342631,5.6952791013069,327652.24279541,823.75153723154,809.87998857509,5.9843483775248,385797.43407758,865.55852452605,627.93813935664,5.1751005753232,302246.01481548,828.30892287761,790.19998938676,5.4078480692532,380314.51100521,865.55846634661,627.93839478461,5.1006960536549,298810.48058914,831.55154245264,776.17495031092,5.3093104599241,339558.04264634,865.55794443124,627.94068617406,4.5150075348097,272831.52180574,831.9472487202,774.46214627977,4.6974355151237,175541.18764376,865.51025290009,628.15006638497,0.25048415102451,168139.74337946,861.42515795769,646.06911230479,0.25211231553493,212268.12604583,415100,865.67598700505,627.42242537212,26.728465092516,165153.15973937,40300,870.94493142747,604.26275891728,1.8861895725707,5.345551303939,145407.34119664,865.68576788348,627.37948168068,-0.011096276195996,149.26940924238,100052.7932905,2.4957840833176,120365.20775846,831.00827832033,778.52599781275,0.024456143252963,96.257350369824,516820.79418631,865.56267471303,627.91991857804,3.2716960456815,250000000
-984.4558883232,809.88771333175,147612.45416545,627.39145621742,809.94751403542,24.23656041289,5.6861618558605,148927.43107441,790.18093582565,506.47782648578,5.1670245112474,149122.69068264,776.13268437232,130.22879479155,5.0927740081975,150389.44541332,774.42476164221,576.37887783168,4.5081607208499,154950.23342424,628.07868167051,33.415212443288,0.25017769108948,4.9044927286742,-2.3409269495739e-05,0.92034785098211,778.25169804745,603.65257576819,117180.0533737,612.04508514786,718.45241056127,1103.2478656579,-1258.7266873413,-0.64131709769949,718.10558479671,596.75369178678,603.65368667413,695.28313779161,1257.9937644362,-1258.630476202,669.83888589822,829.68797003494,669.66492193468,815.10497118413,669.6551693028,809.94751403542,670.85900314743,897.69613324781,1270.9076891511,-10025.169269453,844.88258530871,718.31656872144,16.199322003419,42779.377916558,871.08155313985,603.66154403457,15.706694476111,-8581.5870790327,844.85136983158,718.45242371719,16.199321944218,425971.8814505,865.65210319747,627.52728829606,5.6863650724316,328030.70750796,823.73588532734,809.9475140406,5.9757093808641,386057.69203049,865.65142920905,627.53024745683,5.1671891189084,302698.86835857,828.29692288162,790.25185711144,5.400209106798,380590.41974045,865.65132179607,627.53071905576,5.0929222271603,299273.2376019,831.54677680996,776.19557655874,5.3017899190326,339946.52943838,865.65035558187,627.5349612385,4.5082902951703,273365.89802863,831.93118318729,774.53169097469,4.6910069920972,176302.66273047,865.51469512732,628.13056384672,0.25017757427821,168928.80173981,858.92394223923,657.02523001454,0.25250656466841,213055.2116745,415100,865.81862431952,626.79614766517,26.688166199021,165111.28541145,40300,871.0833386155,603.65368667209,1.8864437229807,5.304263970446,145127.26099041,865.82990969309,626.74659534726,-0.0082493817820351,148.28016473189,100116.82719574,2.5860583249114,121168.36299997,831.01906202722,778.47933503282,0.018037170748674,97.264810906011,516740.28027901,865.65894978454,627.49722815879,3.266829422929,250000000
-977.54912588602,809.55072732598,148375.82726356,626.64004711428,809.49840833901,24.202981257037,5.6772201231416,149686.57747973,789.8361849405,505.79525121818,5.1591040277707,149881.27894951,775.76390124681,130.05383911904,5.084987442277,151144.0664433,774.10977885985,575.62602777961,4.5014559487777,155692.67404981,628.15501558216,33.387212205111,0.24989921222585,3.8225458302177,-3.010727018322e-05,0.96387173276769,778.26176112592,603.87530103495,117208.48896369,612.29105801846,727.86058517139,1154.6175266291,-1258.7505711943,-0.71277522268405,727.64600879713,596.75094627107,603.89848404285,706.54560904247,1258.1306785608,-1258.6295890842,687.16655234902,829.25654832357,686.98505349993,814.66149129676,686.97226441008,809.49840833901,688.19223978919,897.22920333243,1269.2761951318,-10314.333731586,842.70799729514,727.77650036622,16.241130962733,42717.926398348,871.0282134213,603.89627395683,15.707954363783,-8870.9234261382,842.68865762343,727.86059358542,16.241130924864,426097.15996156,865.82319682484,626.77607053505,5.6774232510024,328376.52012015,823.83998281962,809.49840833713,5.9667275243108,386297.14380068,865.82229535661,626.78002873913,5.1592685656675,303117.69691473,828.40708967366,789.77567223544,5.3922683661603,380845.38993455,865.82215148692,626.78066044799,5.0851355988923,299701.99390938,831.66144254857,775.69927881126,5.2939888286875,340309.93908674,865.82085510707,626.78635264334,4.50158547107,273864.07982149,832.04462568779,774.04060965437,4.6843039858634,176983.88397018,865.54369683538,628.00323786396,0.24990238614829,169642.38313294,855.14232334988,673.5679089788,0.25330391435472,213819.40399659,415100,866.01260159792,625.94439050293,26.647942402292,165061.45162501,40300,871.02771119742,603.8984840475,1.8865950410779,5.2649510188562,144848.17814518,866.02367469723,625.89576623294,-0.0056919507435582,147.3382264118,100162.39839319,2.6710500595728,121909.91582505,831.04160744071,778.38177684333,0.012305582454038,98.213318664833,516657.5347373,865.83224592703,626.73633727807,3.2619519669429,250000000
-968.0177937227,808.76948744913,149010.50317352,625.61942524599,808.69422871844,24.174368331196,5.6689985610719,150317.41501634,789.02839602849,505.21776745027,5.1518424553708,150511.61084815,774.93852656266,129.90578714659,5.0778466937838,151770.83149973,773.28556652798,574.99593149528,4.4953343575962,156309.47274319,629.15209225674,33.370447139447,0.24967029218433,3.019813765603,-3.3524519463233e-05,0.98446345221907,778.10239418722,604.87361745807,117221.32318201,614.8228407252,735.70698447334,1196.2266789394,-1258.8827366926,-0.77357281472946,735.57818428949,596.74996138746,604.90552538372,716.23651533417,1258.3967347354,-1258.618625796,708.72947834611,828.45545551818,708.59217208835,813.85779252908,708.58703754274,808.69422871844,709.59843790902,896.39625170227,1267.8326080184,-10570.846536971,840.89512785441,735.65631180847,16.277218465669,42603.742164205,870.80038325461,604.89881657573,15.713713809352,-9126.0610373092,840.88346426744,735.70698941528,16.277218443382,426187.03853043,866.05559285622,625.75560570986,5.6692015543627,328653.5590876,824.02637119501,808.69422871227,5.9583361629233,386488.54890995,866.05470207409,625.75951738016,5.1520068859015,303459.94644915,828.59981909217,788.94256663279,5.3848695457493,381050.77974361,866.05455975725,625.76014233254,5.0779947541888,300053.28922763,831.85774724654,774.84957557384,5.2867242263433,340610.18319532,866.05327597041,625.76577979208,4.4954637976863,274276.28603541,832.2423358476,773.18468687448,4.6780762113512,177508.36029608,865.64135819168,627.57446437602,0.24967353026716,170201.32753987,849.71160799268,697.27843636855,0.25464671487915,214494.03234419,415100,866.22288336023,625.02096059599,26.611247311369,165005.2060224,40300,870.79885858522,604.90552539343,1.8872867760545,5.2308579361983,144585.1316771,866.23154842067,624.98290713351,-0.003576948329192,146.52135615131,100178.84136136,2.743914056197,122523.62137721,831.0929311458,778.15968625041,0.0076446812864539,99.026480867159,516571.91043115,866.06446277427,625.71665536954,3.2574546508596,250000000
-954.86455533733,807.92035274545,149479.43094695,624.66021520336,807.86248017532,24.15242448073,5.6624110049769,150783.28396142,788.14904833819,504.77668188152,5.1460311568395,150977.08083132,774.04483679971,129.79269203972,5.0721305720942,152233.46332383,772.37702027898,574.51758133438,4.4904443665724,156765.57868118,634.4593641912,33.363281717983,0.24949027290515,2.5214370498566,-3.2755220528669e-05,0.98254206390474,777.75509746497,606.34631131371,117222.06866306,619.18183089796,741.99953495483,1226.4937593231,-1259.1478756726,-0.82324527652642,741.92571520861,596.75030600736,606.37562722339,724.23675058498,1258.8021664905,-1258.6014077488,733.71480227447,827.61938844009,733.6015829386,813.02398992534,733.59835453641,807.86248017532,734.42345735373,895.53328315089,1266.6598262817,-10798.54091409,839.4415431769,741.97015474762,16.307825973012,42447.762099556,870.46634962336,606.3685197279,15.723054611915,-9352.059559386,839.43477655947,741.99953752911,16.307825961381,426237.69528413,866.27399119463,624.79651350084,5.6626138677861,328847.49182512,824.21913431421,807.86248016871,5.9515272166879,386619.05586279,866.27338250108,624.79918669117,5.1461954824861,303705.29068485,828.79862981093,788.08310411902,5.3788692550332,381192.39029543,866.27328515524,624.79961420339,5.0722785383314,300305.86984903,832.05936017493,773.97682383022,5.2808330965789,340825.69864143,866.27240620794,624.80347426167,4.4905737253384,274576.38138253,832.44691107536,772.29897021555,4.6730273891018,177827.92254922,865.8420634324,626.69322990423,0.2494933691631,170552.12665784,842.79637816485,727.39219192652,0.25651784444671,215020.19089587,415100,866.37639487444,624.34677892586,26.582046504784,164947.85992756,40300,870.46473411243,606.37562724904,1.8884086478932,5.2046236234408,144360.22457885,866.38094834086,624.32678064104,-0.0019945135934633,145.89278201764,100169.55975114,2.7998419438376,122973.96460222,831.18100028605,777.77857792058,0.0042520241785216,99.650636093228,516488.73366869,866.28000794319,624.77008979912,3.2538176822593,250000000
