"ILW_Line: Temperature (C)","ILW_Line: Position[X] (m)"
228.50841966509483,0.25
228.58493877035437,0.251
228.58493877035437,0.252
228.58493877035437,0.253
228.58493877035437,0.254
228.58493877035437,0.255
228.58493877035437,0.256
228.58493877035437,0.257
228.76447518430763,0.258
228.76447518430763,0.259
228.76447518430763,0.26
228.76447518430763,0.261
228.76447518430763,0.262
228.76447518430763,0.263
229.09350556797847,0.264
229.09350556797847,0.265
229.09350556797847,0.266
229.09350556797847,0.267
229.09350556797847,0.268
229.09350556797847,0.269
229.44707414346192,0.27
229.44707414346192,0.271
229.44707414346192,0.272
229.44707414346192,0.273
229.44707414346192,0.274
229.44707414346192,0.275
229.84503272146253,0.276
229.84503272146253,0.277
229.84503272146253,0.278
229.84503272146253,0.279
229.84503272146253,0.28
229.84503272146253,0.281
230.3529441938578,0.28200000000000003
230.3529441938578,0.28300000000000003
230.3529441938578,0.28400000000000003
230.3529441938578,0.285
230.3529441938578,0.286
230.3529441938578,0.287
231.02759410026738,0.28800000000000003
231.02759410026738,0.28900000000000003
231.02759410026738,0.29000000000000004
231.02759410026738,0.291
231.02759410026738,0.292
231.02759410026738,0.293
231.02759410026738,0.294
231.91112722540043,0.295
231.91112722540043,0.296
231.91112722540043,0.297
231.91112722540043,0.298
231.91112722540043,0.299
231.91112722540043,0.3
233.04583821393618,0.301
233.04583821393618,0.302
233.04583821393618,0.303
233.04583821393618,0.304
233.04583821393618,0.305
233.04583821393618,0.306
234.44834987352397,0.307
234.44834987352397,0.308
234.44834987352397,0.309
234.44834987352397,0.31
234.44834987352397,0.311
234.44834987352397,0.312
236.18816742934877,0.313
236.18816742934877,0.314
236.18816742934877,0.315
236.18816742934877,0.316
236.18816742934877,0.317
236.18816742934877,0.318
238.4355088018687,0.319
238.4355088018687,0.32
238.4355088018687,0.321
238.4355088018687,0.322
238.4355088018687,0.323
238.4355088018687,0.324
241.57032832678965,0.325
241.57032832678965,0.326
241.57032832678965,0.327
241.57032832678965,0.328
241.57032832678965,0.329
241.57032832678965,0.33
246.0276045155365,0.331
246.0276045155365,0.332
246.0276045155365,0.333
246.0276045155365,0.334
246.0276045155365,0.335
246.0276045155365,0.336
250.84308439840106,0.337
250.84308439840106,0.338
250.84308439840106,0.339
250.84308439840106,0.34
250.84308439840106,0.341
250.84308439840106,0.342
254.8354333244996,0.343
254.8354333244996,0.344
254.8354333244996,0.345
254.8354333244996,0.346
254.8354333244996,0.347
254.8354333244996,0.348
258.3228659990755,0.349
258.3228659990755,0.35
258.3228659990755,0.351
258.3228659990755,0.352
258.3228659990755,0.353
258.3228659990755,0.354
261.5980490343467,0.355
261.5980490343467,0.356
261.5980490343467,0.357
261.5980490343467,0.358
261.5980490343467,0.359
261.5980490343467,0.36
264.8244205064501,0.361
264.8244205064501,0.362
264.8244205064501,0.363
264.8244205064501,0.364
264.8244205064501,0.365
264.8244205064501,0.366
268.02475715397065,0.367
268.02475715397065,0.368
268.02475715397065,0.369
268.02475715397065,0.37
268.02475715397065,0.371
268.02475715397065,0.372
271.26158318499927,0.373
271.26158318499927,0.374
271.26158318499927,0.375
271.26158318499927,0.376
271.26158318499927,0.377
271.26158318499927,0.378
274.4606170436091,0.379
274.4606170436091,0.38
274.4606170436091,0.381
274.4606170436091,0.382
274.4606170436091,0.383
274.4606170436091,0.384
277.6377182831702,0.385
277.6377182831702,0.386
277.6377182831702,0.387
277.6377182831702,0.388
277.6377182831702,0.389
277.6377182831702,0.39
280.7132521289924,0.391
280.7132521289924,0.392
280.7132521289924,0.393
280.7132521289924,0.394
280.7132521289924,0.395
280.7132521289924,0.396
283.75208285258714,0.397
283.75208285258714,0.398
283.75208285258714,0.399
283.75208285258714,0.4
283.75208285258714,0.401
283.75208285258714,0.402
286.74017493941506,0.403
286.74017493941506,0.404
286.74017493941506,0.405
286.74017493941506,0.406
286.74017493941506,0.40700000000000003
286.74017493941506,0.40800000000000003
289.7921904800912,0.40900000000000003
289.7921904800912,0.41000000000000003
289.7921904800912,0.41100000000000003
289.7921904800912,0.41200000000000003
289.7921904800912,0.41300000000000003
289.7921904800912,0.41400000000000003
292.90641959863297,0.41500000000000004
292.90641959863297,0.41600000000000004
292.90641959863297,0.41700000000000004
292.90641959863297,0.41800000000000004
292.90641959863297,0.41900000000000004
292.90641959863297,0.42000000000000004
296.11863568004003,0.42100000000000004
296.11863568004003,0.42200000000000004
296.11863568004003,0.42300000000000004
296.11863568004003,0.42400000000000004
296.11863568004003,0.42500000000000004
296.11863568004003,0.42600000000000005
299.47225987793536,0.42700000000000005
299.47225987793536,0.42800000000000005
299.47225987793536,0.42900000000000005
299.47225987793536,0.43000000000000005
299.47225987793536,0.43100000000000005
299.47225987793536,0.43200000000000005
303.46106102053125,0.43300000000000005
303.46106102053125,0.43400000000000005
303.46106102053125,0.43500000000000005
303.46106102053125,0.43600000000000005
303.46106102053125,0.43700000000000006
303.46106102053125,0.438
306.1776869091548,0.439
306.1776869091548,0.44
306.1776869091548,0.441
306.1776869091548,0.442
306.1776869091548,0.443
306.1776869091548,0.444
308.01836912448823,0.445
308.01836912448823,0.446
308.01836912448823,0.447
308.01836912448823,0.448
308.01836912448823,0.449
308.01836912448823,0.45
