"IPT_Line: Temperature (C)","IPT_Line: Position[X] (m)"
285.7860740988924,0.41500000000000004
286.4723751258965,0.41600000000000004
287.15427954695497,0.41700000000000004
287.83126987588344,0.41800000000000004
288.5026876947537,0.41900000000000004
289.16766063929435,0.42000000000000004
289.8250534913983,0.42100000000000004
290.47349202848613,0.42200000000000004
291.11149079468703,0.42300000000000004
291.7376331214673,0.42400000000000004
292.35076706514167,0.42500000000000004
292.9501383199913,0.42600000000000005
293.5354695078479,0.42700000000000005
294.10685629440036,0.42800000000000005
294.66455940714866,0.42900000000000005
295.2090492097443,0.43000000000000005
295.7413383486995,0.43100000000000005
296.2631534846968,0.43200000000000005
296.7767027355537,0.43300000000000005
297.28433881340277,0.43400000000000005
297.7883809708127,0.43500000000000005
298.2911068756259,0.43600000000000005
298.794807588387,0.43700000000000006
299.30182393640473,0.438
299.81444226865256,0.439
300.33454277774763,0.44
300.8636822654548,0.441
301.40464299355756,0.442
301.955096867753,0.443
302.50419629672626,0.444
303.03700184614047,0.445
303.5336058678049,0.446
303.9690200803393,0.447
304.3170988418335,0.448
304.61487133048763,0.449
304.65296305743516,0.45
235.48947327440112,0.327
235.7377831255327,0.328
235.99323533740227,0.329
236.25602036206385,0.33
236.52631410592022,0.331
236.80427597890736,0.332
237.0900471757348,0.333
237.38374930907264,0.334
237.68548304976696,0.335
237.9953281908186,0.336
238.31334353644883,0.337
238.63956674560148,0.338
238.97401588578396,0.339
239.31669111569101,0.34
239.66757708702744,0.341
240.026646003829,0.342
240.3938613180029,0.343
240.76918203559455,0.344
241.15256759596457,0.345
241.54398327321087,0.346
241.9434060411404,0.347
242.35083082606832,0.348
242.76627701155132,0.349
243.1897950365685,0.35
243.6214733378522,0.351
244.06144532365386,0.352
244.5098958433922,0.353
244.96706723206762,0.354
245.43326469096576,0.355
245.90886084026567,0.356
246.39429792726435,0.357
246.8900875627944,0.358
247.39680883892765,0.359
247.91510121217777,0.36
248.44564862120376,0.361
248.98915905725107,0.362
249.54633150235236,0.363
250.11781042395864,0.364
250.7041269125209,0.365
251.305625396722,0.366
251.92236767085933,0.367
252.55398851064786,0.368
253.19952323575512,0.369
253.85739840199187,0.37
254.5257289437476,0.371
255.20271374047388,0.372
255.88685016611169,0.373
256.5769487998226,0.374
257.27207280547964,0.375
257.9714852980617,0.376
258.6746160047046,0.377
259.38102826374495,0.378
260.09038541021744,0.379
260.8024167266814,0.38
261.5168859683989,0.381
262.2335676104841,0.382
262.95222628337785,0.383
263.67260574790714,0.384
264.3944300386273,0.385
265.1174062725097,0.386
265.8412307436113,0.387
266.56559640027956,0.388
267.2902003484545,0.389
268.0147513997359,0.39
268.73897725110055,0.391
269.46263289345893,0.392
270.1855077121612,0.393
270.90742475727245,0.394
271.6282439423302,0.395
272.34786922755313,0.396
273.06624945681574,0.397
273.7833723466315,0.398
274.4992551854415,0.399
275.21394351543654,0.4
275.92750472367686,0.401
276.64001661037366,0.402
277.351558487592,0.403
278.0621945459477,0.404
278.7719536420335,0.405
279.4808103117218,0.406
280.1886701047408,0.40700000000000003
280.8953621191059,0.40800000000000003
281.6006505139711,0.40900000000000003
282.3042696637915,0.41000000000000003
283.00594035256506,0.41100000000000003
283.70534616628754,0.41200000000000003
284.402116483044,0.41300000000000003
285.09583822100274,0.41400000000000003
227.5113534297385,0.25
227.52738685171653,0.251
227.54229141916835,0.252
227.56309653346443,0.253
227.58640181120933,0.254
227.6114708451085,0.255
227.63846693799547,0.256
227.66741643732297,0.257
227.69825698806773,0.258
227.73088921274632,0.259
227.7652200940962,0.26
227.8011874102213,0.261
227.8387469036939,0.262
227.87783256864992,0.263
227.91830750879427,0.264
227.95997907286352,0.265
228.0027132000094,0.266
228.04652072938154,0.267
228.09151876356282,0.268
228.13784857192275,0.269
228.18563763809163,0.27
228.23499626637533,0.271
228.28602025626708,0.272
228.3387935559037,0.273
228.3933923526177,0.274
228.44988842610695,0.275
228.50835324411383,0.276
228.56886103912115,0.277
228.63148919526816,0.278
228.6963199758947,0.279
228.76344162499817,0.28
228.83294825150864,0.281
228.90493979970165,0.28200000000000003
228.97952126965743,0.28300000000000003
229.05680135386876,0.28400000000000003
229.1368905313626,0.285
229.2198986008404,0.286
229.30593157134922,0.287
229.3950877479108,0.28800000000000003
229.4874532340575,0.28900000000000003
229.58309719214128,0.29000000000000004
229.6820672961133,0.291
229.78438605155253,0.292
229.89004879358112,0.293
229.99902396123065,0.294
230.11125603170797,0.295
230.22667113904168,0.296
230.3451845956833,0.297
230.46670928949226,0.298
230.59116306897647,0.299
230.7184764102796,0.3
230.8485987142763,0.301
230.98150114104163,0.302
231.11717828580157,0.303
231.25564795346844,0.304
231.39695007046618,0.305
231.54114533864657,0.306
231.68831330266255,0.307
231.8385503881899,0.308
231.99196812328063,0.309
232.1486916391711,0.31
232.30885847387214,0.311
232.4726176650003,0.312
232.6401290631349,0.313
232.8115628607012,0.314
232.9870991389214,0.315
233.16692733579862,0.316
233.35124570615022,0.317
233.54026053073943,0.318
233.73418541824145,0.319
233.93324060698637,0.32
234.1376515735563,0.321
234.34764746943085,0.322
234.5634596484066,0.323
234.78531993979544,0.324
235.01345875397368,0.325
235.24810286610858,0.326
