"OLW_Line: Temperature (C)","OLW_Line: Position[X] (m)"
265.6722998478475,0.3515
265.87367548280884,0.352
266.16709043796106,0.3525
266.3660023964362,0.353
266.6560930865285,0.3535
266.85292722247607,0.354
267.1402378949084,0.3545
267.33535801268306,0.355
267.62040188081494,0.3555
267.8141498516611,0.356
268.0974132494415,0.3565
268.2901125680859,0.357
268.57205721174,0.3575
268.76401683473034,0.358
269.0450819525736,0.3585
269.23659521890784,0.359
269.517199492348,0.3595
269.7085459082314,0.36
269.98908897750584,0.3605
270.1805352353649,0.361
270.4613986060392,0.3615
270.65319932104194,0.362
270.9347474301313,0.3625
271.1271457269131,0.363
271.4097264974022,0.3635
271.6029544836223,0.364
271.88690008779736,0.3645
272.08117923010025,0.365
272.3668063758523,0.3655
272.5623477868353,0.366
272.84995823467284,0.3665
273.04696287459615,0.367
273.3368434886339,0.3675
273.53550227956,0.368
273.8279252967062,0.3685
274.0284191526981,0.369
274.3236419498045,0.3695
274.5261418040783,0.37
274.8244068030575,0.3705
275.0290741664684,0.371
275.3306089613685,0.3715
275.53759327992293,0.372
275.84261091034125,0.3725
276.0520514879498,0.373
276.3607491569577,0.3735
276.5727760247289,0.374
276.88533524086995,0.3745
277.10006603150396,0.375
277.41665260474554,0.3755
277.63419652474045,0.376
277.9549602278071,0.3765
278.1754156143056,0.377
278.50049046148774,0.3775
278.72394277997876,0.378
279.0534472109322,0.3785
279.279971621797,0.379
279.61400779399037,0.3795
279.8436675420819,0.38
280.18232067040753,0.3805
280.4151694464464,0.381
280.75850679393636,0.3815
280.994586517584,0.382
281.34265830955326,0.3825
281.58199628000705,0.383
281.93483475313985,0.3835
282.17744749928954,0.384
282.5350658569197,0.3845
282.78095511417155,0.385
283.1433473154982,0.3855
283.3925009766567,0.386
283.7596408846114,0.3865
284.0120352569111,0.387
284.383875832229,0.3875
284.6394721615334,0.388
285.01594580238384,0.3885
285.274690837564,0.389
285.6557088313318,0.3895
285.91753481212754,0.39
286.302987377665,0.3905
286.567811988224,0.391
286.95756804538803,0.3915
287.22529445277337,0.392
287.6192019727106,0.3925
287.8897189555955,0.393
288.2876049970605,0.3935
288.5607871778898,0.394
288.9624585412297,0.3945
289.23816672844373,0.395
289.64341030948765,0.3955
289.92149196299295,0.396
290.3300757602044,0.3965
290.6103655852454,0.397
291.0220394112026,0.3975
291.3043600863148,0.398
291.71885687910776,0.3985
292.00302000369857,0.399
292.4200566474541,0.3995
292.7058645939177,0.4
293.12514419302033,0.40049999999999997
293.4123875695743,0.401
293.83360099790445,0.40149999999999997
294.12206255264675,0.402
294.5448888725073,0.40249999999999997
294.83434586520696,0.403
295.258453780488,0.40349999999999997
295.548674739979,0.404
295.9737243813414,0.40449999999999997
296.2644754361662,0.405
296.69011878658443,0.40549999999999997
296.9811612703054,0.406
297.4070445611518,0.4065
297.69813328776934,0.40700000000000003
298.1238978302248,0.4075
298.4147853446484,0.40800000000000003
298.840068335453,0.4085
299.13050369523626,0.40900000000000003
299.5549381638872,0.4095
299.84467079498927,0.41000000000000003
300.26788607512106,0.4105
300.55666367879815,0.41100000000000003
300.9782871346399,0.4115
301.2658529384678,0.41200000000000003
301.68551018900814,0.4125
301.9716082815153,0.41300000000000003
302.38892226309054,0.4135
302.6732932508037,0.41400000000000003
303.0878851198222,0.4145
303.3702677020973,0.41500000000000004
303.7817557323707,0.4155
304.06188953422134,0.41600000000000004
304.46988922027595,0.4165
304.7475111073122,0.41700000000000004
305.1516354926732,0.4175
305.4264805261797,0.41800000000000004
305.8263404225337,0.4185
306.09814211244463,0.41900000000000004
306.49334600802433,0.4195
306.7618365024638,0.42000000000000004
307.1519910495474,0.4205
307.4169013812332,0.42100000000000004
307.8016115053107,0.4215
308.0626718792547,0.42200000000000004
308.4415413563778,0.4225
308.6984814480513,0.42300000000000004
309.07111299938174,0.4235
