time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,SAM_dudt,SAM_velocity,coupled_nekdP,dP_overlap,mFlow_deadend,mFlow_out2,mFlow_out6,p_in,p_inlet_interface,p_out,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity,junction7toOverlap:pressure,junction7toOverlap:rho,junction7toOverlap:temperature,junction7toOverlap:velocity
0,0.510972301371,15000000,550,0.235,0.510972301371,15000000,550,0.235,0,0.235,10.625,0,0,0.510972301371,0.510972301371,15000000,15000000,15000000,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235
1,10.036423259611,15000000.000003,549.92140722969,4.6150212439387,0.510972301371,15025745.674248,550,0.235,2.5669080554221,4.6150212439387,10.625,4799.0937526748,-9.5236914343805,0.51350871671021,10.037059915857,15004799.093755,15025745.674248,15000000.000003,549.89282811123,4.6150212439386,14998721.605155,769.01991696742,550.00004863601,4.6165383571143,15018210.803901,767.86704518878,550.6753387611,0.23652112124509,14999168.139613,769.01992549267,550.00004364238,4.6165383571163,15001985.643722,769.24723735562,549.86689660971,4.6150212439349,15004799.093744,769.20296646356,549.89282811119,4.6150212439364
2,4.8421117147507,15025745.6739,549.86536858303,2.2262581652938,10.037059915884,15026172.124803,549.89282810923,4.6150212439307,0.34708170629202,2.2262581652938,10.625,-2594.354603732,5.1925104767249,10.034606016481,4.8425318822746,15023151.319296,15026172.124803,15025745.6739,549.82626968,2.2262581652549,14994562.846264,768.78876827496,550.13544307652,4.6165387624513,15013906.631388,768.7621231674,550.15105034382,4.6165387624924,15005127.068023,768.83524019213,550.1082223332,2.2277753728122,15014139.028943,769.369861434,549.79507003649,2.2262581657714,15023151.319162,769.3165966463,549.82626967708,2.2262581652523
3,0.57947425779452,15026172.126034,549.86442601345,0.26642437749217,4.8425318832166,15014949.410289,549.8262696281,2.2262581654315,-2.1008208790805,0.26642437749217,10.625,-2125.8517503887,4.2599658486476,4.8423923021088,0.57955087894934,15024046.274284,15014949.410289,15026172.126034,549.80484373933,0.26642437547971,14999564.746131,768.76494818497,550.14939560085,2.2277754809505,15008882.111735,768.77046375337,550.14616487829,2.2277754802611,15005957.986087,768.81126286296,550.12226695977,0.26793882131775,15015003.698939,770.37723815666,549.2050030701,0.26642445530492,15024046.270668,769.3531754717,549.8048437735,0.26642437556004
4,2.7560957630001,15014949.410312,549.75101221584,1.2668488917675,0.57955088332762,15015206.947957,549.80484374026,0.26642437749298,-0.19538939124131,1.2668488917675,10.625,1108.4224575367,-2.1752630315187,0.5816585088228,2.7574024102196,15016057.83277,15015206.947957,15014949.410312,549.53733850925,1.2668488917373,14999530.006771,768.94607101384,550.04330361384,1.2683646125731,15009175.050275,767.76949477306,550.73247853472,0.26794482352849,15002774.440641,768.895055301,550.07318586766,1.268364612583,15009414.63345,770.10676753398,549.36343017709,1.2668488918817,15016057.8328,769.80986698531,549.53733850962,1.2668488917307
5,3.9822116035189,15015206.94792,549.61437532708,1.8298824939992,2.757402410282,15020693.475439,549.53733850961,1.266848891767,0.728817066834,1.8298824939992,10.625,630.47714130953,-1.2242317409457,2.7552821511493,3.9825452015261,15015837.425061,15020693.475439,15015206.94792,549.57660786964,1.8298824940083,14998863.356616,768.68753808458,550.19473826371,1.8313996046431,15012253.569233,768.2976328632,550.42312371871,1.2683663804337,15002134.484927,768.74218953005,550.16272639376,1.8313996046351,15008984.49576,769.57229356946,549.67649620667,1.8298824940137,15015837.424991,769.74282537582,549.57660786958,1.8298824940051
6,2.3389008489946,15020693.47632,549.59740513989,1.0747175309054,3.9825452010671,15019754.120299,549.57660789459,1.8298824938987,-0.21792074444426,1.0747175309054,10.625,-810.28315680474,1.6412718155921,3.9816297706179,2.3388621836876,15019883.193163,15019754.120299,15020693.47632,549.6048583907,1.0747175309495,14999036.687295,768.63454225268,550.2257803645,1.8313993063031,15011522.293607,768.92851589196,550.05358645767,1.8313993097534,15003835.783765,768.66603641939,550.20733277981,1.076234414247,15011857.508987,769.69692426627,549.60349426457,1.0747175303293,15019883.192725,769.69459551145,549.60485832357,1.0747175318081
7,1.4800673886954,15019754.120302,549.60203179447,0.68009325564228,2.3388621835932,15017275.768761,549.60485839052,1.0747175309057,-0.53234594318812,0.68009325564228,10.625,-416.24667356908,0.85770371649789,2.3392967059026,1.480207557466,15019337.873629,15017275.768761,15019754.120302,549.55933450286,0.68009325564195,14999588.564179,768.7204004661,550.17548925255,1.0762343406678,15010218.571035,768.75260792781,550.15662385811,1.0762343406686,15003730.928908,768.68450691877,550.1965137572,0.68160925782232,15011532.393196,770.06970463782,549.38513962323,0.68009325564611,15019337.873627,769.77231488882,549.55933450294,0.68009325564186
8,2.1412946006161,15017275.769301,549.56428446833,0.98384581024538,1.4802075574723,15018008.466824,549.55933450082,0.68009325564179,0.020600233932377,0.98384581024538,10.625,347.14002608508,-0.66046139031673,1.4807878260769,2.1416984774325,15017622.909327,15018008.466824,15017275.769301,549.47924130272,0.98384581024327,14999607.538327,768.77930272992,550.14098748242,0.98536204974759,15010731.593973,768.35944924264,550.38691501677,0.68161091628493,15003171.989047,768.746507561,550.16019712406,0.98536205033395,15010395.107123,769.9925709308,549.43032038975,0.98384580999913,15017622.909326,769.90905196209,549.47924129828,0.98384581001941
9,2.2543600588197,15018008.466045,549.51138707755,1.0356737098795,2.1416984774683,15019321.869241,549.47924130803,0.98384581027134,0.15149356697001,1.0356737098795,10.625,71.747673096135,-0.11269139459567,2.141123395493,2.2545861221307,15018080.213718,15019321.869241,15018008.466045,549.46616774084,1.0356737099927,14999606.929217,768.63290038272,550.22674208339,1.0371902650393,15011464.736459,768.5173373357,550.29443268518,0.98536280752648,15003258.942664,768.68220459975,550.19786233154,1.0371902655122,15010667.035984,769.88516011682,549.49323585299,1.0356737101385,15018080.214442,769.93137144869,549.46616774649,1.0356737098981
