time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,NekRS_pressureDrop,fromNekRS_temperature,fromNekRS_velocity,mFlow_deadend,mFlow_out2,mFlow_out6,p_inlet_interface,p_outlet_interface,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity
0,0.51033775020159,15018885.422937,546.83533026157,0.2330707112944,0.51033803278057,15018873.352246,546.83533028973,0.23307084036239,12.07,546.83533026157,0.2330707112944,2.8064212767419e-07,0.51033803394847,0.51033775103789,15018885.422246,15018873.352246,546.83532951822,0.2330707112944,14999978.829964,769.45047333619,549.74785193078,0.2345769871492,15011301.764608,769.45047215591,549.74785262212,0.23457698714917,15003743.481793,769.45047309917,549.74785206961,0.23457685807981,15011302.395906,774.42280266445,546.83532951822,0.23307071129435
0.0001,0.5104280974979,15018885.420784,546.83532980738,0.23311197257575,0.51269647837918,15040416.256462,546.83533025699,0.23414793995851,11.740869556118,546.83533026157,0.23414793995922,0.0022525557276179,0.51268133597128,0.51042809826855,15040427.997331,15040416.256462,546.83532913737,0.2331119725834,15000775.436356,769.45047310431,549.7478520666,0.23565408647235,15024530.090935,769.45047211643,549.74785264524,0.23565408642979,15004381.53218,769.45047288337,549.74785219602,0.23461811947325,15011621.933311,774.42280332146,546.83532913338,0.23311197273544
0.0002,0.50799698471211,15040427.997371,546.83532909219,0.23200168557052,0.51055470447522,15000134.814073,546.83533025698,0.23316979407957,-10652.872234448,546.83533026157,0.23316979407866,0.0025398748561606,0.5105533140135,0.50799698563996,14989481.941838,15000134.814073,546.83532841852,0.23200168564973,15000080.460519,769.45047358627,549.74785178429,0.23467594073265,15000113.882638,769.45047229163,549.74785254263,0.23467594049536,15008116.927449,769.45047419123,549.74785142994,0.23350783302967,15024246.600486,774.42280456588,546.83532840447,0.23200168602882
0.0003,0.51111039475545,14989481.94063,546.83533056477,0.23342357740179,0.50813043175995,14995602.7569,546.83533025698,0.232062631292,-12059.587836196,546.83533026157,0.23206263129364,-0.0029591753831059,0.50814460674016,0.51111039598989,14983543.169064,14995602.7569,546.83532968164,0.23342357751112,14998033.337139,769.45047105231,549.74785326855,0.234929724975,14996577.812431,769.45047228876,549.7478525443,0.23356877793917,14996327.594038,769.45047222054,549.74785258427,0.23492972460875,14992910.387278,774.42280240495,546.83532967022,0.23342357779825
0.0004,0.51508247592548,14983543.16074,546.83533091604,0.23523762285862,0.5112177852305,15045720.537134,546.83533025237,0.23347262235753,15383.600564519,546.83533026157,0.23347262235473,-0.0038377296307426,0.51121213763483,0.51508247630384,15061104.137699,15045720.537134,546.83533047372,0.23523762280204,14999667.628181,769.4504709027,549.74785335619,0.23674376987542,15027264.69821,769.45047243123,549.74785246086,0.2349787690681,14996453.087053,769.45047182643,549.74785281511,0.23674376970691,14990008.622533,774.4228010302,546.83533047548,0.23523762252047
0.0005,0.51063036906414,15061104.135734,546.83532907018,0.23320434940725,0.5151757733026,15056644.384746,546.83533025236,0.235280231328,19720.085376219,546.83533026157,0.23528023132917,0.0045136902350023,0.51514471233566,0.51063036963806,15076364.470122,15056644.384746,546.83532854432,0.23320434939901,15002932.966796,769.45047390026,549.74785160037,0.23678637690723,15035119.090192,769.45047243751,549.74785245717,0.2367863777617,15014520.499428,769.45047516429,549.74785085998,0.23471049580758,15037774.98653,774.4228043283,546.83532854363,0.23320434849124
0.0006,0.50419368138185,15076364.468291,546.83532837806,0.23026472060013,0.51076417802833,14980778.040114,546.83533024318,0.23326546042285,-21955.005795908,546.83533026157,0.23326546042422,0.0065246547866067,0.51076144326314,0.50419368157497,14958823.034318,14980778.040114,546.83532842215,0.23026472071071,15000690.228007,769.45047415772,549.74785144957,0.23477160729487,14988759.18783,769.45047301264,549.74785212029,0.23477160731361,15015765.034629,769.45047517371,549.74785085446,0.2317708676106,15046016.150669,774.42280455237,546.83532841238,0.23026472059725
0.0007,0.5104975167891,14958823.041589,546.83533112757,0.2331436769712,0.5043519124805,14958000.465694,546.83533024318,0.23033698552248,-31917.602891025,546.83533026157,0.2303369855241,-0.0061027350872732,0.50439034852839,0.5104975185544,14926082.862803,14958000.465694,546.83533072034,0.23314367756811,14995511.559638,769.45047075486,549.74785344278,0.23464983095711,14973034.98603,769.45047320885,549.74785200537,0.23184313200335,14988200.129693,769.45047101161,549.74785329239,0.23464982544133,14973535.312778,774.42280061359,546.8353307195,0.23314367951937
0.0008,0.52085617061651,14926082.859279,546.83533374325,0.23787446460992,0.51059590933818,15072353.381309,546.83533024323,0.23318861228988,31102.369358027,546.83533026157,0.2331886122848,-0.010188687937156,0.51059425439081,0.52085617096913,15103455.750667,15072353.381309,546.83533351095,0.23787446464914,14998532.454317,769.45046592432,549.74785627225,0.23938061161347,15042769.044833,769.45047324097,549.74785198655,0.23469475881517,14984096.359252,769.45046647782,549.74785594804,0.23938061114807,14955136.360074,774.4227958642,546.83533350144,0.2378744638083
0.0009,0.5120294192709,15103455.729536,546.83533031021,0.23384329479601,0.520912760049,15116350.992842,546.83533024324,0.23790030710854,51381.134583303,546.83533026157,0.23790030710457,0.0088213435905532,0.52084486325957,0.51202942091141,15167732.127426,15116350.992842,546.83533039472,0.2338432955888,15006703.252143,769.45047332458,549.74785193758,0.23940645362746,15072407.869843,769.45047230295,549.74785253599,0.23940645315049,15025977.513282,769.45047235055,549.74785250811,0.23534944352585,15064654.460386,774.4228012364,546.8353303547,0.23384329759758
0.001,0.49546394614291,15167732.127457,546.83532992308,0.2262778605276,0.51217399098226,14944752.033446,546.83533024327,0.23390932050932,-43498.845808939,546.83533026157,0.2339093205112,0.016593442068234,0.51216220115866,0.49546394632957,14901253.187637,14944752.033446,546.83533065072,0.22627786097582,15002728.279067,769.45047326743,549.74785197105,0.23541546573879,14967988.28667,769.45047246342,549.747852442,0.23541546624165,15035600.738968,769.45047128441,549.7478531326,0.22778400694994,15101560.331541,774.42280078678,546.83533061806,0.22627785954542
0.0011,0.50765932745655,14901253.20033,546.83533169752,0.23184747919069,0.49568068075499,14863711.012002,546.83533024329,0.22637684315567,-82117.434222523,546.83533026157,0.22637684313011,-0.01189511365443,0.49577478334083,0.50765933242828,14781593.577779,14863711.012002,546.83533209919,0.23184748166657,14989900.523763,769.45046612414,549.74785615521,0.23335363492918,14914285.717415,769.45047247407,549.74785243576,0.22788298572215,14972237.513534,769.45046906966,549.74785442988,0.23335363649816,14936802.545142,774.42279831923,546.83533206342,0.23184748658555
0.0012,0.53399656640808,14781593.591653,546.83533696732,0.2438756712632,0.50774605900326,15119993.21792,546.83533024334,0.23188708865318,60090.455939921,546.83533026157,0.2318870886367,-0.026067387121449,0.5077627004545,0.53399657001969,15180083.67386,15119993.21792,546.83533680739,0.24387567282663,14994963.067784,769.45045277366,549.7478639752,0.24538182074467,15069886.065212,769.45047255528,549.74785238819,0.23339323438654,14952451.744915,769.45045854813,549.74786059283,0.24538181993962,14867160.144451,774.42279027598,546.83533677472,0.24387567196751
0.0013,0.51742303656441,15180083.639295,546.83533011057,0.23630655401133,0.53396492475118,15264541.344671,546.83533024335,0.24386121693694,130556.54691192,546.83533026157,0.24386121693656,0.016426399668564,0.53381322226894,0.51742304634776,15395097.891582,15264541.344671,546.83532899556,0.23630655789852,15015010.152908,769.45047196506,549.74785273391,0.24536735554235,15164536.562211,769.45046919604,549.74785435585,0.24536736205798,15047896.283207,769.45047471774,549.74785112154,0.23781270777621,15113883.828593,774.42280380756,546.83532884865,0.23630655793113
0.0014,0.47577186496856,15395097.841756,546.83532688283,0.21728450641234,0.51757859639504,14883606.12394,546.83533024329,0.23637759809074,-81571.665542115,546.83533026157,0.23637759810664,0.04151489140175,0.51753209867946,0.47577186616077,14802034.458398,14883606.12394,546.83533073763,0.21728450880329,15008854.070701,769.45046864018,549.74785468145,0.23788374227067,14933803.190738,769.45046838936,549.74785482836,0.23788374276524,15085805.305132,769.45047098367,549.74785330875,0.21879067320497,15240203.018462,774.42280102308,546.83533047965,0.21728450411991
0.0015,0.49783066814238,14802034.462512,546.83532998157,0.2273587399926,0.47612945980065,14631954.137712,546.83533024325,0.21744782120397,-206394.42982643,546.83533026157,0.2174478211761,-0.021550010270562,0.47634906973005,0.49783067736958,14425559.707885,14631954.137712,546.8353325748,0.22735874550642,14977669.107681,769.45045409371,549.74786320198,0.22886493942014,14770509.260083,769.45046897565,549.74785448495,0.2189539570881,14942675.858213,769.4504658381,549.74785632275,0.22886489976818,14872468.380034,774.42279706416,546.83533279857,0.22735873742164
0.0016,0.56336327979819,14425559.667867,546.83533951133,0.25728741988081,0.49791225534503,15195117.338407,546.83533024321,0.22739600091297,108486.73171729,546.83533026157,0.22739600088355,-0.064994582296613,0.49799199001867,0.56336328683548,15303604.070124,15195117.338407,546.83534659542,0.25728742711279,14984604.947537,769.45042674324,549.74787922241,0.25879361320569,15110752.400521,769.4504713715,549.74785308159,0.22890212757143,14873225.216055,769.45045021823,549.74786547203,0.25879357492216,14649752.441063,774.42277324323,546.83534675159,0.25728742586037
0.0017,0.53481402229257,15303604.018101,546.83531412873,0.24424899021,0.56312579305572,15625465.509073,546.83533024321,0.25717895467964,324697.14412546,546.83533026157,0.25717895470774,0.028114122436871,0.56278685097355,0.5348140755347,15950162.653198,15625465.509073,546.83532194585,0.24424901873476,15032913.992393,769.45048100125,549.747847441,0.25868508585061,15387987.022983,769.45047159788,549.74785294899,0.2586850969745,15086842.556531,769.45049750789,549.7478377723,0.2457551789129,15195049.129531,774.42281577829,546.83532183684,0.24424902013459
0.0018,0.43218557089085,15950162.796308,546.83533923321,0.19737869748252,0.53496286253967,14797297.429856,546.83533024322,0.24431697407043,-140186.69708589,546.83533026157,0.24431697418378,0.10205990394375,0.53480469009812,0.43218557273281,14657110.73277,14797297.429856,546.8353399109,0.19737869861862,15026137.867573,769.45045729131,549.747861329,0.24582307469317,14889011.776192,769.45046311519,549.74785791769,0.24582309194642,15210234.100977,769.45046807773,549.7478550109,0.19888485945644,15579603.643151,774.42278547463,546.83533958709,0.19737869167855
0.0019,0.46772529252558,14657110.726948,546.83534597327,0.21360965429679,0.43288328117894,14072581.479056,546.83533024319,0.19769733712211,-508367.94626578,546.83533026157,0.19769733703792,-0.034599416890073,0.43338054349911,0.46772536130412,13564213.53279,14072581.479056,546.83535295331,0.21360968899481,14951635.671057,769.45044674062,549.74786750903,0.21511592254126,14424885.513442,769.45046558269,549.74785647236,0.19920346510511,14892956.30714,769.45046058548,549.74785939945,0.21511587444988,14775223.084432,774.42276200464,546.83535333455,0.21360968143054
0.002,0.62768698899738,13564213.493278,546.83539032205,0.28666402261675,0.46785069555593,15282556.406849,546.83533024318,0.21366691832087,174188.5735945,546.83533026157,0.21366691828505,-0.15872185539432,0.46812342291037,0.62768727236406,15456744.980443,15282556.406849,546.835403193,0.28666416016389,14956058.55327,769.45033874353,549.7479307679,0.28817038888131,15151710.707691,769.45045477519,549.74786280281,0.21517303421377,14678761.586835,769.45037555615,549.74790920506,0.28817036746963,14122383.442416,774.42267789396,546.83540260205,0.28666416973428
0.0021,0.58603569701071,15456744.996471,546.83530316068,0.26764186762964,0.62698216185896,16489210.515063,546.83533024319,0.28634209084028,792248.94300599,546.83533026157,0.28634209057602,0.040659223170659,0.62623287987497,0.58603582748934,17281459.458069,16489210.515063,546.83531420216,0.26764193373378,15070504.77279,769.45047098439,549.74785330834,0.28784804460971,15920630.304947,769.45046479708,549.74785693253,0.28784807249235,15147454.88868,769.4505199737,549.74782461304,0.26914813515004,15301851.615508,774.42282831333,546.83531449449,0.26764196805691
0.0022,0.33775010595938,17281459.415791,546.83531676117,0.15425011193426,0.58609903653704,14732109.878916,546.83533024318,0.2676708107036,-203458.01376498,546.83533026157,0.26767081060898,0.24661031793117,0.5856124401446,0.33775043384167,14528651.865151,14732109.878916,546.83533570691,0.15425026812018,15072838.12508,769.450486978,549.74784394014,0.26917688799505,14868666.457102,769.45047127287,549.74785313936,0.2691768850233,15512867.893606,769.45048286253,549.74784635076,0.15575647468679,16395741.787197,774.42279094008,546.83533638573,0.15425026084322
0.0023,0.38175445736539,14528651.372613,546.83526099999,0.1743468306965,0.33932129944184,12745912.608172,546.83533024316,0.15496767892205,-1229436.2426215,546.83533026157,0.1549676790307,-0.042151114264652,0.34041686270286,0.38175501988004,11516476.36555,12745912.608172,546.83531051076,0.17434710662578,14897831.250424,769.45041030803,549.74788884928,0.17585823312102,13608345.335729,769.45042995459,549.74787734138,0.15647268547021,14824274.176147,769.45050279455,549.74783467566,0.17585332895331,14676700.263927,774.42283173625,546.83531248953,0.17434709932432
0.0024,0.7653113245558,11516476.469989,546.83540999607,0.34951693473356,0.38214823816494,15275931.616573,546.83533024315,0.17452669658516,213655.77169267,546.83533026157,0.17452669648948,-0.3804999308474,0.3829709638658,0.76531168083285,15489587.388266,15275931.616573,546.83547012823,0.34951714377766,14880265.278841,769.45016205681,549.74803426146,0.35102488069683,15117375.893725,769.45045085786,549.74786509737,0.17603269454985,14210106.241357,769.45026513441,549.74797388415,0.35102339555516,12865456.95781,774.42256204202,546.83547046187,0.34951712676057
0.0025,0.72858941694326,15489587.334261,546.83526022923,0.332745965519,0.76357250877447,18520973.423997,546.83533024315,0.34872275795273,1898952.7960365,546.83533026157,0.3487227584609,0.034716004800154,0.76194638175546,0.72859152598344,20419926.220034,18520973.423997,546.83533840581,0.33274698606128,15146848.19239,769.45041394974,549.74788671616,0.35022843967035,17168711.909009,769.45044459981,549.747868763,0.35022881759623,15215129.184664,769.4504289905,549.74787790609,0.33425349690505,15352135.754679,774.42279199226,546.83533576942,0.33274693417774
0.0026,0.1382911960679,20419926.441184,546.83541084303,0.063157454345252,0.7283240622684,14903824.548986,546.83533024317,0.33262482967756,-175332.20709189,546.83533026157,0.33262482931458,0.58590777771204,0.72692345704425,0.13829446300975,14728492.341894,14903824.548986,546.83545650015,0.063158952711465,15194981.482844,769.45042807769,549.74787844077,0.33413048091387,15020513.916499,769.45045665502,549.74786170171,0.33413053473057,16235968.249776,769.45031926195,549.74794217916,0.06466528615827,18324582.524209,774.42259047926,546.83545380487,0.063158961876406
0.0027,0.1477986002725,14728492.630027,546.83525483851,0.0674994533573,0.14978914432008,9723172.5520268,546.83533025637,0.068408543943044,-2921956.8952695,546.83533026157,0.068408543744359,0.0019442400983184,0.15210174760878,0.14779865872925,6801215.6567573,9723172.5520268,546.83531213053,0.067499488579682,14793407.884289,769.45041368853,549.74788686916,0.069913525194183,11755192.271198,769.45041221617,549.74788773159,0.069913593890482,14780466.95896,769.45034697856,549.74792594426,0.069006276503252,14754523.557222,774.42283734509,546.83530920418,0.067499503278148
