"temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
652.37,1,0.0864,5.2905e-18,1,0.0864
652.53,1,0.0872,5.3395e-18,1,0.0872
652.69,1,0.088,5.3884e-18,1,0.088
652.85,1,0.0888,5.4374e-18,1,0.0888
653.01,1,0.0896,5.4864e-18,1,0.0896
653.17,1,0.0904,5.5354e-18,1,0.0904
653.33,1,0.0912,5.5844e-18,1,0.0912
653.49,1,0.092,5.6334e-18,1,0.092
653.65,1,0.0928,5.6824e-18,1,0.0928
653.81,1,0.0936,5.7313e-18,1,0.0936
653.97,1,0.0944,5.7803e-18,1,0.0944
654.13,1,0.0952,5.8293e-18,1,0.0952
654.29,1,0.096,5.8783e-18,1,0.096
654.45,1,0.0968,5.9273e-18,1,0.0968
654.61,1,0.0976,5.9763e-18,1,0.0976
654.77,1,0.0984,6.0253e-18,1,0.0984
654.93,1,0.0992,6.0742e-18,1,0.0992
655.09,1,0.1,6.1232e-18,1,0.1
655.25,1,0.1008,6.1722e-18,1,0.1008
655.41,1,0.1016,6.2212e-18,1,0.1016
655.57,1,0.1024,6.2702e-18,1,0.1024
655.73,1,0.1032,6.3192e-18,1,0.1032
655.89,1,0.104,6.3682e-18,1,0.104
656.05,1,0.1048,6.4171e-18,1,0.1048
656.21,1,0.1056,6.4661e-18,1,0.1056
656.37,1,0.1064,6.5151e-18,1,0.1064
656.53,1,0.1072,6.5641e-18,1,0.1072
656.69,1,0.108,6.6131e-18,1,0.108
656.85,1,0.1088,6.6621e-18,1,0.1088
657.01,1,0.1096,6.7111e-18,1,0.1096
657.17,1,0.1104,6.7601e-18,1,0.1104
657.33,1,0.1112,6.809e-18,1,0.1112
657.49,1,0.112,6.858e-18,1,0.112
657.64,1,0.1128,6.907e-18,1,0.1128
657.8,1,0.1136,6.956e-18,1,0.1136
657.96,1,0.1144,7.005e-18,1,0.1144
658.12,1,0.1152,7.054e-18,1,0.1152
658.28,1,0.116,7.103e-18,1,0.116
658.44,1,0.1168,7.1519e-18,1,0.1168
658.6,1,0.1176,7.2009e-18,1,0.1176
658.76,1,0.1184,7.2499e-18,1,0.1184
658.92,1,0.1192,7.2989e-18,1,0.1192
659.08,1,0.12,7.3479e-18,1,0.12
659.25,1,0.1208,7.3969e-18,1,0.1208
659.42,1,0.1216,7.4459e-18,1,0.1216
659.59,1,0.1224,7.4948e-18,1,0.1224
659.76,1,0.1232,7.5438e-18,1,0.1232
659.93,1,0.124,7.5928e-18,1,0.124
660.1,1,0.1248,7.6418e-18,1,0.1248
660.27,1,0.1256,7.6908e-18,1,0.1256
660.44,1,0.1264,7.7398e-18,1,0.1264
660.61,1,0.1272,7.7888e-18,1,0.1272
660.78,1,0.128,7.8377e-18,1,0.128
660.95,1,0.1288,7.8867e-18,1,0.1288
661.12,1,0.1296,7.9357e-18,1,0.1296
661.29,1,0.1304,7.9847e-18,1,0.1304
661.46,1,0.1312,8.0337e-18,1,0.1312
661.63,1,0.132,8.0827e-18,1,0.132
661.8,1,0.1328,8.1317e-18,1,0.1328
661.97,1,0.1336,8.1806e-18,1,0.1336
662.14,1,0.1344,8.2296e-18,1,0.1344
662.31,1,0.1352,8.2786e-18,1,0.1352
662.48,1,0.136,8.3276e-18,1,0.136
662.65,1,0.1368,8.3766e-18,1,0.1368
662.82,1,0.1376,8.4256e-18,1,0.1376
662.99,1,0.1384,8.4746e-18,1,0.1384
663.16,1,0.1392,8.5235e-18,1,0.1392
663.33,1,0.14,8.5725e-18,1,0.14
663.5,1,0.1408,8.6215e-18,1,0.1408
663.67,1,0.1416,8.6705e-18,1,0.1416
663.84,1,0.1424,8.7195e-18,1,0.1424
664.01,1,0.1432,8.7685e-18,1,0.1432
664.18,1,0.144,8.8175e-18,1,0.144
664.35,1,0.1448,8.8664e-18,1,0.1448
664.52,1,0.1456,8.9154e-18,1,0.1456
664.69,1,0.1464,8.9644e-18,1,0.1464
664.86,1,0.1472,9.0134e-18,1,0.1472
665.03,1,0.148,9.0624e-18,1,0.148
665.2,1,0.1488,9.1114e-18,1,0.1488
665.37,1,0.1496,9.1604e-18,1,0.1496
665.54,1,0.1504,9.2093e-18,1,0.1504
665.71,1,0.1512,9.2583e-18,1,0.1512
665.88,1,0.152,9.3073e-18,1,0.152
666.05,1,0.1528,9.3563e-18,1,0.1528
666.22,1,0.1536,9.4053e-18,1,0.1536
666.39,1,0.1544,9.4543e-18,1,0.1544
666.56,1,0.1552,9.5033e-18,1,0.1552
666.73,1,0.156,9.5522e-18,1,0.156
666.9,1,0.1568,9.6012e-18,1,0.1568
667.07,1,0.1576,9.6502e-18,1,0.1576
667.24,1,0.1584,9.6992e-18,1,0.1584
667.41,1,0.1592,9.7482e-18,1,0.1592
667.58,1,0.16,9.7972e-18,1,0.16
667.76,1,0.1608,9.8462e-18,1,0.1608
667.93,1,0.1616,9.8951e-18,1,0.1616
668.11,1,0.1624,9.9441e-18,1,0.1624
668.29,1,0.1632,9.9931e-18,1,0.1632
668.47,1,0.164,1.0042e-17,1,0.164
668.64,1,0.1648,1.0091e-17,1,0.1648
668.82,1,0.1656,1.014e-17,1,0.1656
669,1,0.1664,1.0189e-17,1,0.1664
669.18,1,0.1672,1.0238e-17,1,0.1672
669.35,1,0.168,1.0287e-17,1,0.168
669.53,1,0.1688,1.0336e-17,1,0.1688
669.71,1,0.1696,1.0385e-17,1,0.1696
669.89,1,0.1704,1.0434e-17,1,0.1704
670.06,1,0.1712,1.0483e-17,1,0.1712
670.24,1,0.172,1.0532e-17,1,0.172
670.42,1,0.1728,1.0581e-17,1,0.1728
670.6,1,0.1736,1.063e-17,1,0.1736
670.77,1,0.1744,1.0679e-17,1,0.1744
670.95,1,0.1752,1.0728e-17,1,0.1752
671.13,1,0.176,1.0777e-17,1,0.176
671.31,1,0.1768,1.0826e-17,1,0.1768
671.49,1,0.1776,1.0875e-17,1,0.1776
671.66,1,0.1784,1.0924e-17,1,0.1784
671.84,1,0.1792,1.0973e-17,1,0.1792
672.02,1,0.18,1.1022e-17,1,0.18
672.2,1,0.1808,1.1071e-17,1,0.1808
672.37,1,0.1816,1.112e-17,1,0.1816
672.55,1,0.1824,1.1169e-17,1,0.1824
672.73,1,0.1832,1.1218e-17,1,0.1832
672.91,1,0.184,1.1267e-17,1,0.184
