"temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
636.89,1,0,0,-0.5,0
637.02,1,0.0008,4.8986e-20,-0.5,0.0008
637.15,1,0.0016,9.7972e-20,-0.5,0.0016
637.28,1,0.0024,1.4696e-19,-0.5,0.0024
637.42,1,0.0032,1.9594e-19,-0.5,0.0032
637.55,1,0.004,2.4493e-19,-0.5,0.004
637.68,1,0.0048,2.9392e-19,-0.5,0.0048
637.81,1,0.0056,3.429e-19,-0.5,0.0056
637.94,1,0.0064,3.9189e-19,-0.5,0.0064
638.08,1,0.0072,4.4087e-19,-0.5,0.0072
638.21,1,0.008,4.8986e-19,-0.5,0.008
638.34,1,0.0088,5.3884e-19,-0.5,0.0088
638.47,1,0.0096,5.8783e-19,-0.5,0.0096
638.6,1,0.0104,6.3682e-19,-0.5,0.0104
638.74,1,0.0112,6.858e-19,-0.5,0.0112
638.87,1,0.012,7.3479e-19,-0.5,0.012
639,1,0.0128,7.8377e-19,-0.5,0.0128
639.13,1,0.0136,8.3276e-19,-0.5,0.0136
639.26,1,0.0144,8.8175e-19,-0.5,0.0144
639.4,1,0.0152,9.3073e-19,-0.5,0.0152
639.53,1,0.016,9.7972e-19,-0.5,0.016
639.66,1,0.0168,1.0287e-18,-0.5,0.0168
639.79,1,0.0176,1.0777e-18,-0.5,0.0176
639.92,1,0.0184,1.1267e-18,-0.5,0.0184
640.06,1,0.0192,1.1757e-18,-0.5,0.0192
640.19,1,0.02,1.2246e-18,-0.5,0.02
640.32,1,0.0208,1.2736e-18,-0.5,0.0208
640.45,1,0.0216,1.3226e-18,-0.5,0.0216
640.59,1,0.0224,1.3716e-18,-0.5,0.0224
640.72,1,0.0232,1.4206e-18,-0.5,0.0232
640.85,1,0.024,1.4696e-18,-0.5,0.024
640.98,1,0.0248,1.5186e-18,-0.5,0.0248
641.11,1,0.0256,1.5675e-18,-0.5,0.0256
641.25,1,0.0264,1.6165e-18,-0.5,0.0264
641.38,1,0.0272,1.6655e-18,-0.5,0.0272
641.51,1,0.028,1.7145e-18,-0.5,0.028
641.64,1,0.0288,1.7635e-18,-0.5,0.0288
641.77,1,0.0296,1.8125e-18,-0.5,0.0296
641.91,1,0.0304,1.8615e-18,-0.5,0.0304
642.04,1,0.0312,1.9104e-18,-0.5,0.0312
642.17,1,0.032,1.9594e-18,-0.5,0.032
642.3,1,0.0328,2.0084e-18,-0.5,0.0328
642.43,1,0.0336,2.0574e-18,-0.5,0.0336
642.57,1,0.0344,2.1064e-18,-0.5,0.0344
642.7,1,0.0352,2.1554e-18,-0.5,0.0352
642.83,1,0.036,2.2044e-18,-0.5,0.036
642.96,1,0.0368,2.2534e-18,-0.5,0.0368
643.09,1,0.0376,2.3023e-18,-0.5,0.0376
643.23,1,0.0384,2.3513e-18,-0.5,0.0384
643.36,1,0.0392,2.4003e-18,-0.5,0.0392
643.49,1,0.04,2.4493e-18,-0.5,0.04
643.63,1,0.0408,2.4983e-18,-0.5,0.0408
643.78,1,0.0416,2.5473e-18,-0.5,0.0416
643.92,1,0.0424,2.5963e-18,-0.5,0.0424
644.06,1,0.0432,2.6452e-18,-0.5,0.0432
644.2,1,0.044,2.6942e-18,-0.5,0.044
644.35,1,0.0448,2.7432e-18,-0.5,0.0448
644.49,1,0.0456,2.7922e-18,-0.5,0.0456
644.63,1,0.0464,2.8412e-18,-0.5,0.0464
644.77,1,0.0472,2.8902e-18,-0.5,0.0472
644.92,1,0.048,2.9392e-18,-0.5,0.048
645.06,1,0.0488,2.9881e-18,-0.5,0.0488
645.2,1,0.0496,3.0371e-18,-0.5,0.0496
645.34,1,0.0504,3.0861e-18,-0.5,0.0504
645.49,1,0.0512,3.1351e-18,-0.5,0.0512
645.63,1,0.052,3.1841e-18,-0.5,0.052
645.77,1,0.0528,3.2331e-18,-0.5,0.0528
645.91,1,0.0536,3.2821e-18,-0.5,0.0536
646.06,1,0.0544,3.331e-18,-0.5,0.0544
646.2,1,0.0552,3.38e-18,-0.5,0.0552
646.34,1,0.056,3.429e-18,-0.5,0.056
646.48,1,0.0568,3.478e-18,-0.5,0.0568
646.62,1,0.0576,3.527e-18,-0.5,0.0576
646.77,1,0.0584,3.576e-18,-0.5,0.0584
646.91,1,0.0592,3.625e-18,-0.5,0.0592
647.05,1,0.06,3.6739e-18,-0.5,0.06
647.19,1,0.0608,3.7229e-18,-0.5,0.0608
647.34,1,0.0616,3.7719e-18,-0.5,0.0616
647.48,1,0.0624,3.8209e-18,-0.5,0.0624
647.62,1,0.0632,3.8699e-18,-0.5,0.0632
647.76,1,0.064,3.9189e-18,-0.5,0.064
647.91,1,0.0648,3.9679e-18,-0.5,0.0648
648.05,1,0.0656,4.0168e-18,-0.5,0.0656
648.19,1,0.0664,4.0658e-18,-0.5,0.0664
648.33,1,0.0672,4.1148e-18,-0.5,0.0672
648.48,1,0.068,4.1638e-18,-0.5,0.068
648.62,1,0.0688,4.2128e-18,-0.5,0.0688
648.76,1,0.0696,4.2618e-18,-0.5,0.0696
648.9,1,0.0704,4.3108e-18,-0.5,0.0704
649.05,1,0.0712,4.3597e-18,-0.5,0.0712
649.19,1,0.072,4.4087e-18,-0.5,0.072
649.33,1,0.0728,4.4577e-18,-0.5,0.0728
649.47,1,0.0736,4.5067e-18,-0.5,0.0736
649.62,1,0.0744,4.5557e-18,-0.5,0.0744
649.76,1,0.0752,4.6047e-18,-0.5,0.0752
649.9,1,0.076,4.6537e-18,-0.5,0.076
650.04,1,0.0768,4.7026e-18,-0.5,0.0768
650.19,1,0.0776,4.7516e-18,-0.5,0.0776
650.33,1,0.0784,4.8006e-18,-0.5,0.0784
650.47,1,0.0792,4.8496e-18,-0.5,0.0792
650.61,1,0.08,4.8986e-18,-0.5,0.08
650.77,1,0.0808,4.9476e-18,-0.5,0.0808
650.92,1,0.0816,4.9966e-18,-0.5,0.0816
651.08,1,0.0824,5.0455e-18,-0.5,0.0824
651.23,1,0.0832,5.0945e-18,-0.5,0.0832
651.39,1,0.084,5.1435e-18,-0.5,0.084
651.54,1,0.0848,5.1925e-18,-0.5,0.0848
651.69,1,0.0856,5.2415e-18,-0.5,0.0856
651.85,1,0.0864,5.2905e-18,-0.5,0.0864
652,1,0.0872,5.3395e-18,-0.5,0.0872
652.16,1,0.088,5.3884e-18,-0.5,0.088
652.31,1,0.0888,5.4374e-18,-0.5,0.0888
652.47,1,0.0896,5.4864e-18,-0.5,0.0896
652.62,1,0.0904,5.5354e-18,-0.5,0.0904
652.78,1,0.0912,5.5844e-18,-0.5,0.0912
652.93,1,0.092,5.6334e-18,-0.5,0.092
653.08,1,0.0928,5.6824e-18,-0.5,0.0928
653.24,1,0.0936,5.7313e-18,-0.5,0.0936
653.39,1,0.0944,5.7803e-18,-0.5,0.0944
653.55,1,0.0952,5.8293e-18,-0.5,0.0952
653.7,1,0.096,5.8783e-18,-0.5,0.096
653.86,1,0.0968,5.9273e-18,-0.5,0.0968
654.01,1,0.0976,5.9763e-18,-0.5,0.0976
654.16,1,0.0984,6.0253e-18,-0.5,0.0984
654.32,1,0.0992,6.0742e-18,-0.5,0.0992
654.47,1,0.1,6.1232e-18,-0.5,0.1
654.63,1,0.1008,6.1722e-18,-0.5,0.1008
654.78,1,0.1016,6.2212e-18,-0.5,0.1016
654.94,1,0.1024,6.2702e-18,-0.5,0.1024
655.09,1,0.1032,6.3192e-18,-0.5,0.1032
655.25,1,0.104,6.3682e-18,-0.5,0.104
655.4,1,0.1048,6.4171e-18,-0.5,0.1048
655.55,1,0.1056,6.4661e-18,-0.5,0.1056
655.71,1,0.1064,6.5151e-18,-0.5,0.1064
655.86,1,0.1072,6.5641e-18,-0.5,0.1072
656.02,1,0.108,6.6131e-18,-0.5,0.108
656.17,1,0.1088,6.6621e-18,-0.5,0.1088
656.33,1,0.1096,6.7111e-18,-0.5,0.1096
656.48,1,0.1104,6.7601e-18,-0.5,0.1104
656.63,1,0.1112,6.809e-18,-0.5,0.1112
656.79,1,0.112,6.858e-18,-0.5,0.112
656.94,1,0.1128,6.907e-18,-0.5,0.1128
657.1,1,0.1136,6.956e-18,-0.5,0.1136
657.25,1,0.1144,7.005e-18,-0.5,0.1144
657.41,1,0.1152,7.054e-18,-0.5,0.1152
657.56,1,0.116,7.103e-18,-0.5,0.116
657.72,1,0.1168,7.1519e-18,-0.5,0.1168
657.87,1,0.1176,7.2009e-18,-0.5,0.1176
658.02,1,0.1184,7.2499e-18,-0.5,0.1184
658.18,1,0.1192,7.2989e-18,-0.5,0.1192
658.33,1,0.12,7.3479e-18,-0.5,0.12
658.5,1,0.1208,7.3969e-18,-0.5,0.1208
658.66,1,0.1216,7.4459e-18,-0.5,0.1216
658.83,1,0.1224,7.4948e-18,-0.5,0.1224
658.99,1,0.1232,7.5438e-18,-0.5,0.1232
659.15,1,0.124,7.5928e-18,-0.5,0.124
659.32,1,0.1248,7.6418e-18,-0.5,0.1248
659.48,1,0.1256,7.6908e-18,-0.5,0.1256
659.65,1,0.1264,7.7398e-18,-0.5,0.1264
659.81,1,0.1272,7.7888e-18,-0.5,0.1272
659.97,1,0.128,7.8377e-18,-0.5,0.128
660.14,1,0.1288,7.8867e-18,-0.5,0.1288
660.3,1,0.1296,7.9357e-18,-0.5,0.1296
660.47,1,0.1304,7.9847e-18,-0.5,0.1304
660.63,1,0.1312,8.0337e-18,-0.5,0.1312
660.79,1,0.132,8.0827e-18,-0.5,0.132
660.96,1,0.1328,8.1317e-18,-0.5,0.1328
