"temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
636.9,1,0,0,0.5,0
637.02,1,0.0008,4.8986e-20,0.5,0.0008
637.14,1,0.0016,9.7972e-20,0.5,0.0016
637.26,1,0.0024,1.4696e-19,0.5,0.0024
637.38,1,0.0032,1.9594e-19,0.5,0.0032
637.5,1,0.004,2.4493e-19,0.5,0.004
637.61,1,0.0048,2.9392e-19,0.5,0.0048
637.73,1,0.0056,3.429e-19,0.5,0.0056
637.85,1,0.0064,3.9189e-19,0.5,0.0064
637.97,1,0.0072,4.4087e-19,0.5,0.0072
638.09,1,0.008,4.8986e-19,0.5,0.008
638.21,1,0.0088,5.3884e-19,0.5,0.0088
638.33,1,0.0096,5.8783e-19,0.5,0.0096
638.45,1,0.0104,6.3682e-19,0.5,0.0104
638.57,1,0.0112,6.858e-19,0.5,0.0112
638.69,1,0.012,7.3479e-19,0.5,0.012
638.81,1,0.0128,7.8377e-19,0.5,0.0128
638.93,1,0.0136,8.3276e-19,0.5,0.0136
639.05,1,0.0144,8.8175e-19,0.5,0.0144
639.17,1,0.0152,9.3073e-19,0.5,0.0152
639.29,1,0.016,9.7972e-19,0.5,0.016
639.41,1,0.0168,1.0287e-18,0.5,0.0168
639.52,1,0.0176,1.0777e-18,0.5,0.0176
639.64,1,0.0184,1.1267e-18,0.5,0.0184
639.76,1,0.0192,1.1757e-18,0.5,0.0192
639.88,1,0.02,1.2246e-18,0.5,0.02
640,1,0.0208,1.2736e-18,0.5,0.0208
640.12,1,0.0216,1.3226e-18,0.5,0.0216
640.24,1,0.0224,1.3716e-18,0.5,0.0224
640.36,1,0.0232,1.4206e-18,0.5,0.0232
640.48,1,0.024,1.4696e-18,0.5,0.024
640.6,1,0.0248,1.5186e-18,0.5,0.0248
640.72,1,0.0256,1.5675e-18,0.5,0.0256
640.84,1,0.0264,1.6165e-18,0.5,0.0264
640.96,1,0.0272,1.6655e-18,0.5,0.0272
641.08,1,0.028,1.7145e-18,0.5,0.028
641.2,1,0.0288,1.7635e-18,0.5,0.0288
641.32,1,0.0296,1.8125e-18,0.5,0.0296
641.43,1,0.0304,1.8615e-18,0.5,0.0304
641.55,1,0.0312,1.9104e-18,0.5,0.0312
641.67,1,0.032,1.9594e-18,0.5,0.032
641.79,1,0.0328,2.0084e-18,0.5,0.0328
641.91,1,0.0336,2.0574e-18,0.5,0.0336
642.03,1,0.0344,2.1064e-18,0.5,0.0344
642.15,1,0.0352,2.1554e-18,0.5,0.0352
642.27,1,0.036,2.2044e-18,0.5,0.036
642.39,1,0.0368,2.2534e-18,0.5,0.0368
642.51,1,0.0376,2.3023e-18,0.5,0.0376
642.63,1,0.0384,2.3513e-18,0.5,0.0384
642.75,1,0.0392,2.4003e-18,0.5,0.0392
642.87,1,0.04,2.4493e-18,0.5,0.04
643,1,0.0408,2.4983e-18,0.5,0.0408
643.12,1,0.0416,2.5473e-18,0.5,0.0416
643.25,1,0.0424,2.5963e-18,0.5,0.0424
643.38,1,0.0432,2.6452e-18,0.5,0.0432
643.51,1,0.044,2.6942e-18,0.5,0.044
643.64,1,0.0448,2.7432e-18,0.5,0.0448
643.77,1,0.0456,2.7922e-18,0.5,0.0456
643.9,1,0.0464,2.8412e-18,0.5,0.0464
644.03,1,0.0472,2.8902e-18,0.5,0.0472
644.16,1,0.048,2.9392e-18,0.5,0.048
644.28,1,0.0488,2.9881e-18,0.5,0.0488
644.41,1,0.0496,3.0371e-18,0.5,0.0496
644.54,1,0.0504,3.0861e-18,0.5,0.0504
644.67,1,0.0512,3.1351e-18,0.5,0.0512
644.8,1,0.052,3.1841e-18,0.5,0.052
644.93,1,0.0528,3.2331e-18,0.5,0.0528
645.06,1,0.0536,3.2821e-18,0.5,0.0536
645.19,1,0.0544,3.331e-18,0.5,0.0544
645.31,1,0.0552,3.38e-18,0.5,0.0552
645.44,1,0.056,3.429e-18,0.5,0.056
645.57,1,0.0568,3.478e-18,0.5,0.0568
645.7,1,0.0576,3.527e-18,0.5,0.0576
645.83,1,0.0584,3.576e-18,0.5,0.0584
645.96,1,0.0592,3.625e-18,0.5,0.0592
646.09,1,0.06,3.6739e-18,0.5,0.06
646.22,1,0.0608,3.7229e-18,0.5,0.0608
646.34,1,0.0616,3.7719e-18,0.5,0.0616
646.47,1,0.0624,3.8209e-18,0.5,0.0624
646.6,1,0.0632,3.8699e-18,0.5,0.0632
646.73,1,0.064,3.9189e-18,0.5,0.064
646.86,1,0.0648,3.9679e-18,0.5,0.0648
646.99,1,0.0656,4.0168e-18,0.5,0.0656
647.12,1,0.0664,4.0658e-18,0.5,0.0664
647.25,1,0.0672,4.1148e-18,0.5,0.0672
647.37,1,0.068,4.1638e-18,0.5,0.068
647.5,1,0.0688,4.2128e-18,0.5,0.0688
647.63,1,0.0696,4.2618e-18,0.5,0.0696
647.76,1,0.0704,4.3108e-18,0.5,0.0704
647.89,1,0.0712,4.3597e-18,0.5,0.0712
648.02,1,0.072,4.4087e-18,0.5,0.072
