time,CH1UP_outlet_T,CH1_UP_p,CH1_inlet_T,CH1_outlet_T,CH1_outlet_flow,CH1_velocity,CH2_UP_p,CH2_outlet_T,CH2_outlet_flow,CH2_velocity,CH3_UP_p,CH3_outlet_T,CH3_outlet_flow,CH3_velocity,CH4_UP_p,CH4_outlet_T,CH4_outlet_flow,CH4_velocity,CH5_UP_p,CH5_outlet_T,CH5_outlet_flow,CH5_velocity,DHX_flow,DHX_heatremoval,IHX_heatremoval,IHX_inlet_T,IHX_inlet_p,IHX_primaryflow,IHX_secondaryflow,NaHX_heatremoval,max_Tci_Ref,max_Tci_core,max_Tco_Ref,max_Tco_core,max_Tcoolant_Ref,max_Tcoolant_core,max_Tf_Ref,max_Tf_core,pump_flow,Branch10:pressure,Branch10:rho,Branch10:temperature,Branch10:velocity,Branch8:pressure,Branch8:rho,Branch8:temperature,Branch8:velocity,Branch9:pressure,Branch9:rho,Branch9:temperature,Branch9:velocity,Branch_CH1_L:pressure,Branch_CH1_L:rho,Branch_CH1_L:temperature,Branch_CH1_L:velocity,Branch_CH1_U:pressure,Branch_CH1_U:rho,Branch_CH1_U:temperature,Branch_CH1_U:velocity,Branch_CH2_L:pressure,Branch_CH2_L:rho,Branch_CH2_L:temperature,Branch_CH2_L:velocity,Branch_CH2_U:pressure,Branch_CH2_U:rho,Branch_CH2_U:temperature,Branch_CH2_U:velocity,Branch_CH3_L:pressure,Branch_CH3_L:rho,Branch_CH3_L:temperature,Branch_CH3_L:velocity,Branch_CH3_U:pressure,Branch_CH3_U:rho,Branch_CH3_U:temperature,Branch_CH3_U:velocity,Branch_CH4_L:pressure,Branch_CH4_L:rho,Branch_CH4_L:temperature,Branch_CH4_L:velocity,Branch_CH4_U:pressure,Branch_CH4_U:rho,Branch_CH4_U:temperature,Branch_CH4_U:velocity,Branch_CH5_L:pressure,Branch_CH5_L:rho,Branch_CH5_L:temperature,Branch_CH5_L:velocity,Branch_CH5_U:pressure,Branch_CH5_U:rho,Branch_CH5_U:temperature,Branch_CH5_U:velocity,Pump_p:pressure,Pump_p:pump_head,Pump_p:rho,Pump_p:temperature,Pump_p:velocity,Pump_s:pressure,Pump_s:pump_head,Pump_s:rho,Pump_s:temperature,Pump_s:velocity,cold_pool_low:level,cold_pool_low:pressure,cold_pool_low:rho,cold_pool_low:temperature,cold_pool_low:velocity,cold_pool_low:volume,cover_gas:pressure,hot_pool:level,hot_pool:pressure,hot_pool:rho,hot_pool:temperature,hot_pool:velocity,hot_pool:volume,inlet_plenum:pressure,inlet_plenum:rho,inlet_plenum:temperature,inlet_plenum:velocity,reactor:power
-485,818.92238519982,152418.72636688,635.64043149745,818.92911326146,24.146607559596,5.6773965825261,153728.61110731,799.15043969245,504.55129685348,5.1585797594068,153922.97694878,785.02882648957,129.73450373452,5.0844881956532,155184.43063019,783.36976243374,574.11126304764,4.5002077470571,159722.47904708,803.09484125137,33.236217469401,0.24990112488662,3.3219085821776,6.7042608187601e-06,0.98952603700041,790.22599267708,119648.53271473,1265.8221888796,-1259.9396936613,-0.98762890363989,804.56603530604,838.69886205174,804.15590050983,824.11577191578,804.06126250399,818.92911326146,806.01875096431,917.42817148129,1265.7602275995,-11626.804922517,833.9717032103,765.69495598266,16.421458458094,41936.283519103,869.24318047119,611.74850884982,15.755080946171,-10171.577630659,833.97154488226,765.6956419326,16.421458458107,429042.46743128,863.77207464946,635.77829394651,5.6776031321484,331739.88576106,821.65311918953,818.92911326477,5.9686457408008,389332.91816391,863.77213549552,635.77802701413,5.1587471859338,306532.35243876,826.23556614506,799.15787473783,5.3931150027922,383889.71684116,863.77214520086,635.7779844367,5.084638971613,303119.96252873,829.50326863009,785.03636881405,5.2946998895061,343484.42297915,863.77223293176,635.77759956022,4.500339689741,277361.22438238,829.88664928306,783.37832519446,4.6840973064644,180075.97048378,863.81589861888,635.58603590329,0.24990879146332,172863.10745796,825.09989663267,804.0612624938,0.26163754467403,217230.11777239,416000,863.760559085,635.82881273499,26.64377163523,164762.69204222,40300,869.24316322132,611.74858470185,1.8922551528048,5.1899613896276,146351.08187843,863.75992990257,635.8315729516,1.4463791023588e-05,145.54147489548,102418.85157176,2.9111093625214,126049.41189988,828.30339675154,790.22387505876,2.5972973734793e-05,100.89238048574,519185.69975237,863.77147045398,635.78094455861,3.2612310741716,250000000
-480,818.95865748586,152426.99444753,635.67586628276,818.96520484256,24.146596745769,5.6774472502035,153736.89964943,799.18683215781,504.55073629136,5.1586223971475,153931.26746702,785.06519040232,129.73435881955,5.0845301938138,155192.73853039,783.40631238578,574.11014146904,4.5002411809186,159730.81297291,803.18469830013,33.236027801932,0.24990261273628,3.318916809114,6.525536054644e-06,0.98980432255787,790.28492032458,119657.25222133,1265.8190419324,-1259.9391257389,-0.98795656590887,804.62881551482,838.73507981944,804.21858480965,824.151969827,804.12391665134,818.96520484256,806.08181589089,917.46441944889,1265.7587288618,-11628.406813389,833.9590424954,765.74980788336,16.421699263134,41935.956984364,869.2418566142,611.75433018124,15.755097839517,-10173.160016754,833.95888832548,765.7504758149,16.421699263149,429050.50569655,863.76399730945,635.81372926807,5.6776538051118,331748.12922733,821.64474622525,818.96520484446,5.9687039757707,389340.63332475,863.76405652117,635.8134695065,5.158789827986,306540.36660162,826.22718551306,799.19406751143,5.3931637988619,383897.37447245,863.76406596589,635.81342807254,5.0846809736515,303127.93214791,829.49490655867,785.07253015137,5.2947474343389,343491.92429202,863.76415134256,635.81305352536,4.5003731269968,277369.07999879,829.87825186093,783.41464515694,4.6841356373234,180083.83922909,863.8066414273,635.62664798481,0.24991027980824,172871.10830683,825.0853819204,804.12391664559,0.26164083789014,217235.89443001,416000,863.75279081456,635.86289200261,26.64397919085,164762.44182577,40300,869.2418398117,611.75440406603,1.892257181769,5.1900317748463,146359.53641563,863.75217850851,635.86557817383,1.4077043677946e-05,145.54316132532,102427.1045514,2.9112358100282,126058.30258598,828.28977108931,790.28276926583,2.5289501406546e-05,100.89379163991,519193.4657931,863.76340933444,635.81630871196,3.2612568298731,250000000
-475,818.99395635066,152435.0441255,635.71035039647,819.00032800608,24.146586210025,5.6774965566884,153744.96923829,799.22224793609,504.5501905485,5.1586638895567,153939.33897844,785.10057837574,129.73421773614,5.0845710637996,155200.82695559,783.44188134915,574.10904978087,4.500273716839,159738.92672035,803.27200621983,33.235843293074,0.24990406021717,3.315999437519,6.3516911408768e-06,0.99007522073488,790.34229258895,119665.74138313,1265.8159772992,-1259.93857249,-0.98827562953581,804.68985718462,838.77032576242,804.27953343731,824.18719646325,804.18483601686,819.00032800608,806.1431337877,917.49969476564,1265.7572694688,-11629.96661079,833.94671451681,765.80321794429,16.421933741386,41935.638943018,869.24056712816,611.76000037179,15.755114293425,-10174.700824668,833.94656440087,765.80386830888,16.421933741384,429058.33172401,863.75613664674,635.84821390869,5.6777031167533,331756.15493268,821.63659789834,819.00032800794,5.9687606464719,389348.1449507,863.75619427094,635.84796111239,5.1588313245696,306548.16917957,826.21902973215,799.22928911833,5.3932112842542,383904.83011821,863.75620346212,635.84792079083,5.0847218474079,303135.69138478,829.48676884329,785.10772115289,5.2947937020751,343499.2278349,863.75628654877,635.8475562912,4.5004056662327,277376.72830512,829.87007975101,783.44999049328,4.6841729387451,180091.500785,863.79763370541,635.66616546823,0.24991172777107,172878.89835738,825.07126901393,804.18483600509,0.26164403891579,217241.51983675,416000,863.7452307026,635.89605797445,26.644181171586,164762.19810658,40300,869.24055076151,611.76007233998,1.892259157959,5.1901002787629,146367.76752151,863.74463480735,635.89867214352,1.3700783075436e-05,145.54480267916,102435.13947138,2.9113589268529,126066.95840196,828.27650500817,790.3401089371,2.4623364962909e-05,100.89516562368,519201.02692909,863.75556444358,635.85072415314,3.2612818935089,250000000
-470,819.02830864332,152442.88109168,635.7439100171,819.03450943377,24.146575945325,5.6775445395559,153752.82557985,799.2567139505,504.54965922704,5.1587042682013,153947.19719111,785.13501732716,129.73408038118,5.0846108367526,155208.70162753,783.47649637454,574.10798717077,4.5003053796067,159746.82603325,803.35683794578,33.235663802117,0.24990546847074,3.3131547168579,6.1825834373714e-06,0.99033892345843,790.39814917195,119674.00619956,1265.8129929532,-1259.9380335354,-0.98858630963148,804.74921316411,838.80462665922,804.33879919875,824.22147858567,804.24407339218,819.03450943377,806.20275761634,917.53402423566,1265.7558483796,-11631.485370034,833.93471090406,765.8552224517,16.422162051645,41935.329193225,869.2393111815,611.76552307835,15.755130318215,-10176.201096379,833.93456473954,765.85585569395,16.42216205165,429065.95103229,863.74848669923,635.88177403339,5.6777511046159,331763.96855185,821.62866802081,819.03450943788,5.9688157960612,389355.45832144,863.74854277897,635.88152801338,5.1588717072824,306555.76567752,826.21109260872,799.26356631607,5.3932574951473,383912.08901486,863.74855172403,635.88148877168,5.0847616240269,303143.24570777,829.47884930138,785.14196856434,5.2948387279726,343506.33872573,863.74863258411,635.88113404115,4.5004373322167,277384.17468612,829.8621267472,783.48438805536,4.684209239141,180098.96050454,863.78886855093,635.70461864679,0.24991313648258,172886.48306615,825.05754568315,804.24407339413,0.26164715064614,217246.99782105,416000,863.7378730381,635.92833571339,26.644377731024,164761.96072761,40300,869.23929524147,611.76559317057,1.8922610826063,5.1901669523223,146375.7810251,863.73729310375,635.93087985466,1.3334711846979e-05,145.54640017764,102442.96201853,2.9114787978027,126075.3854638,828.26358933366,790.39593375243,2.3974190001476e-05,100.89650338348,519208.38847683,863.74792983493,635.8842169786,3.261306284204,250000000
-465,819.06174036198,152450.51089658,635.77657050982,819.06777498947,24.146565944776,5.6775912352064,153760.47424003,799.29025631092,504.54914194381,5.1587435637734,153954.84767204,785.16853335156,129.73394665503,5.0846495428296,155216.36812471,783.51018369347,574.10695285012,4.5003361932277,159754.51651148,803.43926581598,33.235489190839,0.2499068385849,3.3103808943472,6.0180748732205e-06,0.99059561821167,790.45252888851,119682.05252168,1265.8100869035,-1259.9375084741,-0.98888881690431,804.80693375061,838.83800846657,804.39643226221,824.25484213454,804.30167890624,819.06777498947,806.26073804437,917.56743385445,1265.7544646042,-11632.964120611,833.92302346032,765.9058569383,16.42238434908,41935.027541393,869.23808796124,611.77090187603,15.755145923616,-10177.661845643,833.92288114807,765.90647348804,16.422384349068,429073.36900851,863.74104168337,635.91443502333,5.6777978051508,331771.5756179,821.62095059652,819.06777498955,5.9688694663996,389362.5785871,863.74109626039,635.91419559646,5.1589110068223,306563.16146332,826.20336813731,799.29692504887,5.3933024666596,383919.15627373,863.74110496573,635.91415740655,5.0848003336788,303150.60045306,829.47114194067,785.17529830795,5.2948825462115,343513.2619611,863.74118366029,635.91381217716,4.5004681489694,277391.42439466,829.85438682901,783.51786389156,4.6842445660687,180106.22361003,863.78033924322,635.74203701602,0.24991450704491,172893.86775715,825.04420032891,804.30167890914,0.26165017581369,217252.33211864,416000,863.73071228201,635.95974952708,26.644569018415,164761.72953274,40300,869.23807243615,611.77097014363,1.8922629568835,5.1902318450273,146383.58261019,863.73014787202,635.96222555632,1.2978540877934e-05,145.54795500685,102450.5777378,2.9115955058315,126083.58973616,828.25101509137,790.45028252537,2.3341605916614e-05,100.89780584508,519215.55562474,863.74049973578,635.91681252191,3.2613300205032,250000000
-460,819.09427678918,152457.93895184,635.80835656781,819.10014981658,24.146556201494,5.6776366790433,153767.92064381,799.3229003812,504.54863831967,5.1587818060181,153962.29584853,785.20115177507,129.7338164598,5.0846872113694,155223.83188685,783.54296877908,574.105946047,4.5003661810286,159762.00361475,803.51936117138,33.235319323677,0.24990817163284,3.3076762494852,5.8580321812722e-06,0.99084548815602,790.50546972249,119689.88605421,1265.8072572368,-1259.9369970219,-0.989183357856,804.86306764556,838.87049641791,804.45248124119,824.28731232787,804.35770114558,819.10014981658,806.3171240389,917.59994885587,1265.7531171781,-11634.403888102,833.91164416128,765.95515618822,16.422600786972,41934.733779232,869.23689666657,611.7761402864,15.755161120577,-10179.084088747,833.91150560277,765.95575647248,16.422600786964,429080.59090052,863.73379597417,635.94622156357,5.6778432537287,331778.98152369,821.61343979171,819.10014981764,5.9689216981526,389369.51077009,863.73384909093,635.94598854354,5.1589492529152,306570.36176815,826.19585048167,799.32939052964,5.3933462328083,383926.03687401,863.73385756331,635.94595137573,5.0848380056936,303157.76082075,829.46364093941,785.20773556797,5.2949251899552,343520.00241113,863.73393415125,635.94561538901,4.500498139822,277398.48255159,829.84685414932,783.55044329994,4.6842789462441,180113.29519332,863.7720392385,635.7784492948,0.24991584053348,172901.05761936,825.03122169856,804.35770114888,0.26165311706798,217257.52637646,416000,863.72374305975,635.9903230014,26.644755178686,164761.50436895,40300,869.23688154649,611.77620677302,1.8922647821052,5.1902950049902,146391.17781838,863.72319374956,635.99273278166,1.2631992547013e-05,145.54946831957,102457.9920355,2.9117091320264,126091.57703548,828.23877350562,790.50319320915,2.2725238877054e-05,100.89907391341,519222.53342811,863.73326853497,635.94853540742,3.2613531203838,250000000
-455,819.12594242516,152465.17053279,635.83929207628,819.13165826992,24.146546708896,5.6776809053128,153775.17008109,799.35467073915,504.54814798816,5.1588190237464,153969.54701013,785.23289716769,129.73368970207,5.0847238707881,155231.09821666,783.57487633577,574.10496601963,4.5003953656245,159769.29266347,803.59719396223,33.235154068407,0.24990946866651,3.3050391234761,5.7023261845053e-06,0.99108871216487,790.55700879318,119697.51235882,1265.8045020655,-1259.936498834,-0.98947013439596,804.9176613726,838.90211495476,804.50699254492,824.31891359264,804.41218648579,819.13165826992,806.37196245937,917.63159371463,1265.7518051479,-11635.805664935,833.90056515867,766.00315422157,16.422811514434,41934.447711606,869.23573651383,611.78124175561,15.755175919005,-10180.46880598,833.9004302582,766.00373865526,16.422811514439,429087.62182973,863.72674412855,635.97715754059,5.6778874846179,331786.19153005,821.60612995996,819.13165826881,5.9689725306792,389376.25977098,863.72679582427,635.97693075528,5.1589864744026,306577.37169597,826.1885339871,799.36098718682,5.3933888266053,383932.73567746,863.72680406998,635.97689458194,5.0848746685001,303164.731886,829.45634065507,785.23930475311,5.2949666914059,343526.56483206,863.72687860923,635.9765675837,4.5005273273791,277405.35415283,829.83952303951,783.58215080603,4.6843124056291,180120.18022147,863.76396218505,635.8138833587,0.24991713799289,172908.05771557,825.01859905709,804.41218647604,0.26165597691874,217262.58417209,416000,863.71696015277,636.02007903704,26.644936352055,164761.28508736,40300,869.23572178886,611.78130650483,1.892266559464,5.1903564789798,146398.57205147,863.71642553133,636.02242437218,1.2294797772459e-05,145.55094123636,102465.21018187,2.9118197556282,126099.3530326,828.22685599817,790.55470290221,2.2124720304909e-05,100.90030847281,519229.32682238,863.72623080083,635.9794094715,3.261375601308,250000000
-450,819.15676102455,152472.2107823,635.86940021167,819.16232397246,24.146537460738,5.6777239472962,153782.22770815,799.38559122151,504.54767059693,5.1588552449538,153976.60631541,785.26379335724,129.7335662891,5.0847595486164,155238.17228298,783.6059302996,574.10401204342,4.5004237689196,159776.3888456,803.67283256137,33.234993296351,0.24991073070165,3.3024678543378,5.5508326282116e-06,0.99132546467758,790.60718236039,119704.93685954,1265.8018194515,-1259.9360135719,-0.98974934419264,804.97076020423,838.93288778604,804.56001137545,824.34966962264,804.46518010721,819.16232397246,806.4252987919,917.66239215552,1265.750527586,-11637.170420009,833.88977877308,766.04988432597,16.423016677236,41934.169151172,869.23460673086,611.78620967926,15.755190328612,-10181.816952379,833.8896474376,766.05045331236,16.423016677253,429094.46678691,863.71988086473,636.00726613277,5.6779305310956,331793.21076491,821.5990156211,819.16232397253,5.9690220022581,389382.83036798,863.71993117863,636.00704541001,5.15902269926,306584.19622364,826.18141317045,799.39173870741,5.3934302800662,383939.25742527,863.71993920344,636.00701020587,5.0849103496202,303171.51859285,829.44923561396,785.27002954136,5.2950070817409,343532.95385958,863.72001175047,636.00669194829,4.5005557335637,277412.04406835,829.83238800616,783.61301017694,4.6843449693431,180126.8835403,863.75610191273,635.84836628613,0.24991840043895,172914.87298184,825.00632193555,804.46518010318,0.26165875782991,217267.50899961,416000,863.71035849602,636.04903986095,26.645112674693,164761.07154128,40300,869.23459239175,611.78627273172,1.8922682901208,5.1904163124406,146405.77057562,863.70983816399,636.05132250335,1.1966692018895e-05,145.55237484608,102472.23731437,2.911927454096,126106.92325658,828.21525418687,790.60484785416,2.1539693619311e-05,100.90151038771,519235.94061909,863.71938126505,636.00945783338,3.2613974801924,250000000
-445,819.18675567143,152479.0647131,635.89870352842,819.19216988856,24.146528450747,5.6777658373341,153789.09855049,799.41568500203,504.54720580115,5.1588904968549,153983.4787914,785.2938634817,129.73344613265,5.0847942716777,155245.05912418,783.63615395279,574.10308341456,4.500451412246,159783.29721571,803.7463435461,33.234836882105,0.24991195871147,3.299960837441,5.403431033055e-06,0.99155591614364,790.65602585756,119712.16484147,1265.7992076322,-1259.9355409124,-0.99002118055855,805.02240791207,838.96283795603,804.6115814256,824.37960344938,804.51672567819,819.19216988856,806.47717704323,917.69236724661,1265.749283607,-11638.499105782,833.87927749775,766.09537903989,16.423216418196,41933.897909671,869.23350656659,611.79104736018,15.755204359011,-10183.129469037,833.87914963535,766.09593297741,16.423216418191,429101.13063885,863.71320104321,636.03656989382,5.6779724255071,331800.04422566,821.59209144961,819.19216989129,5.9690701499996,389389.22722013,863.71325001288,636.03635506867,5.1590579547128,306590.8402005,826.17448269875,799.42166812937,5.393470624324,383945.60673821,863.71325782319,636.03632080561,5.0849450758801,303178.12576456,829.44232049781,785.29993293824,5.2950463912903,343539.17401679,863.71332843109,636.0360110557,4.5005833796954,277418.55704734,829.82544370289,783.64304454353,4.6843766618259,180133.40987319,863.74845244171,635.88192432,0.24991962885313,172921.50823058,824.99438022843,804.51672567257,0.2616614621595,217272.30426263,416000,863.70393317172,636.07722705357,26.645284279068,164760.86358709,40300,869.23349260307,611.79110876105,1.892269975234,5.1904745495627,146412.77852315,863.70342674077,636.07944870732,1.1647424420194e-05,145.55377020752,102479.07844045,2.9120323030609,126114.29309704,828.20395988317,790.65366347665,2.0969792993195e-05,100.90268050216,519242.37950975,863.71271479698,636.03870300793,3.2614187734679,250000000
-440,819.21594876581,152485.73721092,635.92722387433,819.22121829783,24.146519672833,5.6778066067492,153795.78750724,799.44497454994,504.54675326683,5.1589248058102,153990.16933753,785.32313000805,129.73332914583,5.0848280659275,155251.76365098,783.66556986572,574.10217945288,4.5004783162622,159790.02270086,803.81779160221,33.234684703746,0.24991315366171,3.2975164749536,5.2600044666692e-06,0.99178023264447,790.70357388096,119719.20145719,1265.7966647935,-1259.9350805417,-0.99028583256392,805.07264645743,838.99198782421,804.66174456019,824.40873741865,804.56686503485,819.22121829783,806.52763945514,917.72154136048,1265.748072331,-11639.792650418,833.86905399443,766.13967017081,16.423410876772,41933.633803241,869.23243527915,611.79575806069,15.755218019713,-10184.407273178,833.86892951555,766.14020944761,16.423410876777,429107.61812881,863.70669968491,636.06509067325,5.6780131991815,331806.69678293,821.58535227977,819.22121829831,5.9691170099263,389395.45486895,863.70674734636,636.06488158773,5.1590922671312,306597.30835568,826.16773740136,799.45079778917,5.3935098895656,383951.78812324,863.70675494799,636.06484824022,5.0849788732546,303184.55810172,829.4355901457,785.32903726837,5.2950846494721,343545.22971095,863.70682367012,636.06454676381,4.5006102864477,277424.89771894,829.8186849503,783.67227631378,4.6844075067755,180139.76382679,863.74100796646,635.91458293784,0.24992082418977,172927.96815503,824.98276424522,804.56686503372,0.26166409217304,217276.97329377,416000,863.69767940295,636.10466157694,26.645451293492,164760.66108427,40300,869.23242168255,611.79581784809,1.8922716159436,5.1905312333048,146419.60089616,863.6971864962,636.10682389586,1.1336748539325e-05,145.55512834998,102485.73844044,2.9121343763856,126121.4678075,828.19296509057,790.70118435004,2.0414664926034e-05,100.90381964046,519248.64806801,863.70622642934,636.06716679288,3.2614394970965,250000000
-435,819.24436204837,152492.23303735,635.95498248191,819.24949082034,24.146511121215,5.6778462860161,153802.29935178,799.47348169733,504.54631266845,5.158958197445,153996.68272956,785.35161474035,129.73321524491,5.0848609566036,155258.29064839,783.69419996647,574.10129949578,4.5005045010563,159796.57010284,803.88723946641,33.234536642919,0.24991431646162,3.2951332313995,5.1204400879104e-06,0.99199857623504,790.74986021034,119726.05172915,1265.7941891404,-1259.9346321562,-0.99054348497541,805.12151696996,839.02035908867,804.71054186261,824.43709321502,804.61563924525,819.24949082034,806.57672730647,917.74993622197,1265.7468929054,-11641.051961679,833.85910109176,766.18278880217,16.423600189357,41933.376651835,869.23139214628,611.80034495689,15.755231319998,-10185.651262283,833.858979909,766.18331379714,16.423600189372,429113.93388118,863.70037195169,636.09284970186,5.6780528825926,331813.17318537,821.578793096,819.24949081915,5.9691626170434,389401.51774453,863.70041834021,636.09264620112,5.1591256621319,306603.60529867,826.16117225528,799.47914938533,5.393548105109,383957.80597496,863.70042573918,636.09261374272,5.0850117669696,303190.82018622,829.42903954775,785.35736420265,5.2951218848445,343551.12524207,863.70049262609,636.09232031803,4.5006364739021,277431.07059644,829.81210671419,783.70072726752,4.6844375272221,180145.94989423,863.73376285888,635.94636683837,0.24992198737117,172934.25733038,824.9714644782,804.61563924569,0.26166665009314,217281.51934681,416000,863.69159254925,636.13136379417,26.645613842635,164760.46389499,40300,869.23137890697,611.80040317318,1.8922732133676,5.1905864054255,146426.2425694,863.69111280138,636.13346838128,1.1034424345345e-05,145.556450274,102492.2220704,2.912233746203,126128.45250844,828.18226200196,790.74744423508,1.9873963595441e-05,100.90492860763,519254.75075348,863.69991133451,636.09487037286,3.2614596665639,250000000
-430,819.27201666341,152498.55683279,635.98199998782,819.27700848862,24.146502790075,5.6778849047065,153808.63873652,799.50122763621,504.54588369126,5.1589906966557,154003.02361979,785.37933886226,129.73310434795,5.0848929682354,155264.64478043,783.72206554683,574.10044290254,4.5005299861561,159802.94410006,803.95474788382,33.234392584694,0.2499154480116,3.2928095940426,4.9846287284606e-06,0.99221110492127,790.79491780843,119732.72055071,1265.7917790017,-1259.9341954365,-0.99079431834436,805.16905871239,839.04797285479,804.7580124976,824.4646919328,804.66308744542,819.27700848862,806.62448013778,917.77757294896,1265.7457445093,-11642.277924689,833.84941178616,766.22476528977,16.423784488892,41933.12628177,869.23037645807,611.80481117066,15.755244268748,-10186.862308011,833.84929381442,766.22527637171,16.423784488885,429120.08240356,863.69421314046,636.11986761769,5.6780915053164,331819.47805964,821.57240901948,819.27700848958,5.9692070053529,389407.42016252,863.69425829144,636.1196695464,5.1591581646157,306609.7355208,826.15478238284,799.50674398831,5.3935852994296,383963.66457604,863.69426549239,636.11963795679,5.0850437815566,303196.916484,829.42266383437,785.3849348051,5.2951581251517,343556.86480125,863.69433059436,636.11935236314,4.5006619615951,277437.08007945,829.80570410451,783.72841856041,4.6844667455581,180151.97245446,863.72671165759,635.97729998835,0.24992311929299,172940.38021651,824.96047186144,804.66308745939,0.26166913803174,217285.94559352,416000,863.6856681037,636.15735348205,26.645772047735,164760.27188446,40300,869.23036356683,611.80486785639,1.8922747685711,5.19064010654,146432.70829302,863.68520115915,636.15940189764,1.0740222837618e-05,145.5577369527,102498.53396504,2.9123304828972,126135.25219007,828.17184299728,790.79247608297,1.9347338906901e-05,100.90600818913,519260.69191333,863.69376481989,636.12183433986,3.2614792969183,250000000
-425,819.29893312221,152504.7131185,636.00829641935,819.30379170366,24.146494673937,5.6779224915708,153814.81019442,799.52823297104,504.54546602687,5.1590223275987,154009.19654339,785.40632295039,129.73299637597,5.0849241246287,155270.83059136,783.749187302,574.09960904491,4.5005547904902,159809.14925082,804.02037558498,33.234252417379,0.24991654918085,3.2905440775531,4.8524638687389e-06,0.99241797271551,790.83877884884,119739.21269123,1265.7894326761,-1259.9337701143,-0.99103850910681,805.21531003433,839.07484959688,804.80419476388,824.491554033,804.70924791767,819.30379170366,806.67093645892,917.80447203336,1265.7446263306,-11643.47140876,833.83997923769,766.26562927946,16.423963905777,41932.882516138,869.22938752101,611.8091597516,15.755256875212,-10188.041273148,833.83986439231,766.26612681532,16.4239639058,429126.06808674,863.68821868753,636.14616444681,5.6781290961005,331825.61591453,821.56619531953,819.30379170631,5.9692502078631,389413.16633205,863.68826263357,636.14597166189,5.1591897987447,306615.70340047,826.14856304312,799.53360207758,5.3936215001805,383969.36810053,863.68826964335,636.14594091098,5.085074940829,303202.85134776,829.41645827822,785.41176952413,5.2951933973703,343562.4524755,863.68833300727,636.14566294265,4.5006867684413,277442.93045509,829.79947237253,783.75537073675,4.6844951834797,180157.83577875,863.71984906535,636.00740563391,0.24992422082086,172946.34116188,824.94977753841,804.70924792062,0.26167155804968,217290.25513511,416000,863.67990168702,636.18264985722,26.645926026329,164760.08492136,40300,869.22937496865,611.80921494719,1.8922762826638,5.1906923761362,146439.00269571,863.6794471999,636.18464361906,1.0453919355958e-05,145.55898933222,102504.67864047,2.9124246551578,126141.87171532,828.16170064072,790.83631204751,1.8834452100807e-05,100.90705915156,519266.47578393,863.68778233162,636.14807867671,3.2614984027699,250000000
-420,819.32513134459,152510.70630023,636.03389122165,819.32986028114,24.146486767331,5.6779590744742,153820.81814283,799.55451767758,504.54505937722,5.1590531137366,154015.20591799,785.43258698471,129.73289125171,5.0849544489041,155276.85250852,783.77558529632,574.09879731547,4.5005789324233,159815.18999673,804.08417935698,33.234116032667,0.24991762081402,3.2883352539886,4.7238432810106e-06,0.99261932970613,790.88147472044,119745.53279809,1265.7871484956,-1259.9333558738,-0.99127622953634,805.26030754735,839.10100920162,804.84912518279,824.51769939086,804.75415715647,819.32986028114,806.71613314321,917.83065337894,1265.7435375806,-11644.633254098,833.83079676272,766.30540973916,16.424138566633,41932.645192261,869.22842465244,611.81339370171,15.755269147716,-10189.188983491,833.83068496393,766.30589407466,16.424138566633,429131.89521018,863.68238416143,636.17175963481,5.6781656828217,331831.59114276,821.56014740049,819.32986028383,5.9692922566066,389418.76035304,863.68242693509,636.17157199345,5.1592205879915,306621.51320343,826.14250963834,799.55974351421,5.393656734218,383974.92061893,863.68243375724,636.17154206572,5.0851052678999,303208.62901953,829.4104182867,785.43788822504,5.2952277276683,343567.8922445,863.68249543196,636.17127150834,4.5007109128396,277448.6259,829.79340691046,783.78160373081,4.6845228620473,180163.54402939,863.71316994027,636.03670633936,0.24992529279575,172952.14440475,824.93937304849,804.75415716518,0.2616739121087,217294.45099691,416000,863.67428904202,636.20727160035,26.646075892693,164759.90287672,40300,869.22841243209,611.81344743734,1.8922777566443,5.1907432526133,146445.13028691,863.67384667731,636.20921217853,1.0175295394253e-05,145.56020833261,102510.66049666,2.9125163300101,126148.31582265,828.15182767836,790.87898349554,1.8334970476111e-05,100.90808224291,519272.10649463,863.68195944648,636.17362279291,3.261516998298,250000000
