time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,SAM_dudt,SAM_velocity,coupled_nekdP,dP_overlap,mFlow_deadend,mFlow_out2,mFlow_out6,p_in,p_inlet_interface,p_out,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity,junction7toOverlap:pressure,junction7toOverlap:rho,junction7toOverlap:temperature,junction7toOverlap:velocity
0,0.510972301371,15000000,550,0.235,0.510972301371,15000000,550,0.235,0,0.235,6.375,0,0,0.510972301371,0.510972301371,15000000,15000000,15000000,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235
1,10.039016362471,15000000.000006,549.92141459414,4.6162136988403,0.510972301371,15025749.539193,550,0.235,2.5676067025312,4.6162136988403,6.375,4794.3610593826,-9.5262842482477,0.51350871556499,10.039652929152,15004794.361065,15025749.539193,15000000.000006,549.89284687816,4.6162136988451,14998721.236106,769.01991706628,550.0000485781,4.6177308121329,15018214.668844,767.8670420538,550.6753405974,0.23652112168306,14999166.501416,769.01992557594,550.0000435936,4.6177308121308,15001982.459032,769.24718483627,549.86692737272,4.6162136988454,15004794.361048,769.20293442415,549.89284687816,4.6162136988429
2,4.8444484546758,15025749.53863,549.86539814022,2.2273326745394,10.039652929368,15026172.578168,549.89284686766,4.616213698837,0.34748815119692,2.2273326745394,6.375,-2600.5185629018,5.1927672926524,10.037199009407,4.8448683622106,15023149.020067,15026172.578168,15025749.53863,549.82634232819,2.2273326747336,14994558.93353,768.78880879168,550.13541934401,4.6177312993012,15013905.535091,768.7621896686,550.151011391,4.6177312996339,15005125.218869,768.83525398386,550.10821425475,2.2288498822209,15014136.957572,769.36965997164,549.79518804227,2.2273326748707,15023149.020511,769.31647262428,549.8263423225,2.2273326743949
3,0.58404927700404,15026172.578397,549.86442687871,0.26852783062633,4.8448683611388,15014946.685916,549.82634235931,2.2273326743946,-2.1002650049853,0.26852783062633,6.375,-2130.7622735668,4.2577304770848,4.8447293549533,0.58412666881726,15024041.816124,15014946.685916,15026172.578397,549.80471664894,0.26852782853773,14999561.230571,768.76504275949,550.1493402042,2.2288503326083,15008879.158523,768.77057521057,550.14609959267,2.2288503332972,15005955.375525,768.81114363149,550.12233679914,0.27004230178412,15015000.148375,770.37595319473,549.20575573151,0.26852791551223,15024041.81784,769.35339249157,549.80471665496,0.26852782858515
4,2.7637528902146,15014946.685814,549.75065038387,1.2703674967331,0.58412667335802,15015209.876733,549.8047166504,0.26852783062602,-0.19415005382403,1.2703674967331,6.375,1103.9343413711,-2.1783401604738,0.58622580767226,2.7650596328194,15016050.620155,15015209.876733,15014946.685814,549.537552925,1.2703674966443,14999527.608346,768.94583201507,550.04344360644,1.2718832264547,15009177.049493,767.77102217709,550.73158386379,0.27004824259353,15002770.764638,768.89498656876,550.0732261273,1.2718832264304,15009409.190173,770.10273469755,549.36579239522,1.2703674967415,15016050.62014,769.80950093152,549.53755292419,1.2703674966504
5,3.9878243105796,15015209.876728,549.61486224097,1.8324635912971,2.7650596330098,15020694.660414,549.5375529244,1.2703674967301,0.7288321247554,1.8324635912971,6.375,623.41620652378,-1.2221933006057,2.7629407594303,3.9881513382268,15015833.292935,15020694.660414,15015209.876728,549.57789077768,1.8324635912987,14998859.50555,768.687265477,550.19489794253,1.8339807061861,15012252.974184,768.30184184854,550.42065832204,1.2718849757991,15002130.2417,768.74188345354,550.16290567688,1.8339807061871,15008980.315492,769.57016514701,549.67774292178,1.8324635912997,15015833.292919,769.74063516429,549.5778907774,1.8324635913036
6,2.3450801905797,15020694.659394,549.59838004341,1.0775592488525,3.9881513384483,15019750.496504,549.57789072102,1.8324635911702,-0.21814233373041,1.0775592488525,6.375,-816.03800926358,1.6407067488667,3.9872446255477,2.3450399077172,15019878.621385,15019750.496504,15020694.659394,549.60612451786,1.0775592486503,14999032.801858,768.63613372153,550.22484816787,1.8339796903537,15011518.760366,768.92945526354,550.05303622445,1.8339796922184,15003832.5729,768.66682805492,550.2068690824,1.0790761377445,15011853.633497,769.69486308152,549.60470159545,1.0775592503591,15019878.626976,769.69243389401,549.60612448252,1.0775592480024
7,1.4898858309161,15019750.496496,549.60301091046,0.68460633181004,2.3450399081571,15017274.746462,549.60612451803,1.0775592488529,-0.53126234841455,0.68460633181004,6.375,-420.45375151932,0.85407256998992,2.3454746614065,1.4900258551322,15019330.042745,15017274.746462,15019750.496496,549.56063883207,0.68460633181013,14999585.582664,768.72168881225,550.17473460885,1.0790760603024,15010216.882783,768.75300459229,550.15639151345,1.0790760603029,15003726.757785,768.68591246897,550.19569046168,0.68612234405993,15011526.397505,770.06437158895,549.3882634357,0.68460633181132,15019330.04275,769.77008810617,549.56063883214,0.68460633181074
8,2.1519435063011,15017274.746865,549.56532844287,0.98874087855404,1.4900258551114,15018011.10316,549.56063884242,0.68460633181629,0.021490537035673,0.98874087855404,6.375,341.52138741501,-0.66129198497312,1.4905995294201,2.1523446394803,15017616.268253,15018011.10316,15017274.746865,549.48128117872,0.98874087857254,14999604.008808,768.77975182962,550.14072442403,0.99025712656698,15010732.40653,768.36311710999,550.38476657785,0.68612399653102,15003167.504157,768.74746569708,550.1596358996,0.99025712683902,15010389.556817,769.98703897513,549.4335607111,0.98874087869954,15017616.267609,769.90556943498,549.48128117489,0.98874087818518
9,2.2635324705413,15018011.103164,549.51304084287,1.0398914137207,2.1523446394397,15019321.328741,549.48128117879,0.98874087855403,0.15124898044074,1.0398914137207,6.375,64.972442084923,-0.11121864927857,2.151771880445,2.2637542021884,15018076.075606,15019321.328741,15018011.103164,549.4688678098,1.0398914137205,14999603.614359,768.63394013563,550.2261330522,1.041407976032,15011463.135845,768.52171048283,550.29187113139,0.99025769401273,15003255.170096,768.68294207222,550.19743035993,1.041407976032,15010663.094209,769.88053933531,549.49594245765,1.0398914137205,15018076.075602,769.92676183465,549.46886780985,1.0398914137205
