time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,SAM_dudt,SAM_velocity,coupled_nekdP,dP_overlap,mFlow_deadend,mFlow_out2,mFlow_out6,p_in,p_inlet_interface,p_out,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity,junction7toOverlap:pressure,junction7toOverlap:rho,junction7toOverlap:temperature,junction7toOverlap:velocity
10,1.6684932463888,15019321.729956,549.48788749081,0.76648117370313,2.2573534426141,15018857.326072,549.46695148073,1.036946717008,-0.13787405895915,0.76648117370313,9.35,-282.42136025429,0.58785529359356,2.2570341954027,1.6686257504395,15019039.308595,15018857.326072,15019321.729956,549.45207412568,0.76648117371176,14999639.265409,768.58944138825,550.25219801905,1.038463080545,15011184.599756,768.69705313126,550.18916486242,1.038463080597,15003643.766405,768.62505360294,550.23133830389,0.76799742303377,15011338.790422,770.04347582938,549.40050304495,0.76648117370275,15019039.308942,769.95543241878,549.45207412759,0.76648117372113
11,1.440458436621,15018857.326092,549.4721978055,0.66170232579461,1.6686257504715,15018243.568758,549.45207410781,0.76648117369604,-0.16924311283711,0.66170232579461,9.35,-101.28503222205,0.22771471059054,1.6688805741196,1.4406666728787,15018756.041059,15018243.568758,15018857.326092,549.40700336616,0.66170232594072,14999764.966018,768.59437361808,550.24930898476,0.76799798115967,15010858.560154,768.55211042306,550.27406448557,0.76799798100024,15003588.588743,768.60200377743,550.24483964883,0.66321823433791,15011169.339835,770.2316047471,549.29030726887,0.66170232584433,15018756.041428,770.032378303,549.40700337753,0.66170232592613
12,1.6045420638266,15018243.568744,549.43794176007,0.73702131645837,1.4406666725632,15018576.320204,549.40700336566,0.66170232579507,0.0023456859281753,0.73702131645837,9.35,95.636562718078,-0.16376782969859,1.4408556050486,1.6048524683293,15018339.205307,15018576.320204,15018243.568744,549.35069174548,0.73702131645328,14999778.643114,768.5880711242,550.25300064584,0.73853736504061,15011077.093686,768.37183055087,550.37966271401,0.66321931217455,15003466.23822,768.59240869648,550.25045992988,0.73853736504177,15010899.342265,770.22198583559,549.29594150858,0.73702131645569,15018339.205305,770.12851489503,549.3506917456,0.7370213164544
13,1.5570326825324,15018576.320208,549.39404133383,0.71512901591442,1.6048524683401,15018928.378313,549.35069174553,0.73702131645836,0.017208596406314,0.71512901591442,9.35,-10.663751695305,0.047596973835451,1.6045808123341,1.557295253082,15018565.656456,15018928.378313,15018576.320208,549.31797733606,0.71512901591316,14999798.077151,768.5185781405,550.29370588864,0.73853792637431,15011280.775598,768.41693953768,550.35324030181,0.73853792637482,15003537.77334,768.55459791122,550.27260744913,0.71664514845471,15011048.077962,770.21376817215,549.30075497272,0.71512901591396,15018565.656458,770.18436573335,549.31797733599,0.71512901591799
14,1.3240966031965,15018928.378313,549.36093748729,0.60809925304933,1.5572952530847,15018749.741002,549.31797733607,0.71512901591443,-0.071437796468666,0.60809925304933,9.35,-103.77512271889,0.23261179905415,1.5571222318876,1.3242981990727,15018824.60319,15018749.741002,15018928.378313,549.29225836961,0.60809925304851,14999813.76287,768.47409891384,550.31975942129,0.71664538478057,15011178.982469,768.46932306333,550.322556857,0.71664538479364,15003640.622046,768.5114310549,550.297892266,0.60961516139266,15011228.84418,770.33350789621,549.23061789873,0.60809925304928,15018824.603239,770.22827378005,549.29225836975,0.60809925319287
15,1.2327561222013,15018749.740983,549.33463428632,0.56611758247888,1.3242981990763,15018588.002616,549.29225836846,0.60809925304861,-0.067277188840068,0.56611758247888,9.35,-32.639222355559,0.091231809219706,1.3244130339912,1.2329728454508,15018717.101761,15018588.002616,15018749.740983,549.25532640471,0.56611758248799,14999852.91815,768.44932464684,550.33427085107,0.6096157859222,15011095.238242,768.37881072591,550.37557410384,0.60961578587743,15003623.437326,768.4764229155,550.31839814643,0.56763331374485,15011166.272065,770.45437901422,549.15981811517,0.56611758246997,15018717.101918,770.29132493626,549.25532640216,0.5661175824849
16,1.2536294728427,15018588.002615,549.30379161957,0.57566387618254,1.2329728454309,15018718.374249,549.2553264047,0.56611758247887,-0.011148058528447,0.57566387618254,9.35,23.718825168908,-0.020755121332834,1.2330454123789,1.2538882533374,15018611.72144,15018718.374249,15018588.002615,549.21066365804,0.57566387618075,14999868.077576,768.42402866221,550.34908787491,0.57717964962599,15011180.139178,768.27844006301,550.43436582619,0.56763421342084,15003598.711577,768.44723675469,550.33549382572,0.57717964962596,15011100.853469,770.48917075321,549.13943899044,0.57566387618075,15018611.721439,770.3675742628,549.21066365804,0.57566387618075
17,1.1989022946944,15018718.374253,549.26799674039,0.55048960029231,1.2538882533413,15018822.698762,549.21066365806,0.57566387618257,-0.010942606286174,0.55048960029231,9.35,-14.261114258319,0.05471404145154,1.2537646905854,1.1991570366117,15018704.113139,15018822.698762,15018718.374253,549.17212980798,0.5504896002903,14999874.935151,768.38519814543,550.3718326979,0.57718033545113,15011243.434633,768.26782759061,550.44058204029,0.57718033545915,15003632.180884,768.41610113366,550.35373139368,0.55200536252955,15011163.515385,770.52667495243,549.11747105276,0.55048960029333,15018704.113127,770.43336019161,549.17212980812,0.55048960029179
18,1.0933350767644,15018822.698762,549.23404623975,0.50197944076339,1.199157036616,15018759.068507,549.17212980798,0.55048960029231,-0.038460490043212,0.50197944076339,9.35,-39.792188156396,0.10540779994904,1.1990678185457,1.0935663622237,15018782.906574,15018759.068507,15018822.698762,549.13859535992,0.50197944076162,14999885.674696,768.34376270202,550.39610334645,0.5520059350898,15011208.71154,768.25985206283,550.44525367443,0.55200593509018,15003665.011926,768.3815088265,550.373993702,0.50349504381131,15011219.165895,770.62077080417,549.06235477646,0.50197944076051,15018782.906572,770.49061101983,549.13859535991,0.50197944076028
19,1.0420275785813,15018759.068504,549.20272578235,0.47838958640194,1.0935663622274,15018715.135277,549.13859536018,0.5019794407636,-0.033165610118838,0.47838958640194,9.35,-12.531800165772,0.051256453664237,1.0936016833489,1.0422598295504,15018746.536704,15018715.135277,15018759.068504,549.10215001666,0.4783895864017,14999900.923895,768.30726030199,550.41748448418,0.50349581614226,15011187.430967,768.19494015078,550.48327557246,0.50349581613057,15003661.830457,768.3455461186,550.39505871718,0.47990506691188,15011199.163771,770.71433233424,549.00755147698,0.47838958639774,15018746.536712,770.55283139926,549.10215001657,0.4783895864024
