"OLW_Line: Temperature (C)","OLW_Line: Position[X] (m)"
232.1714129325424,0.307
232.1714129325424,0.3075
232.1714129325424,0.308
232.5699458406287,0.3085
232.5699458406287,0.309
232.5699458406287,0.3095
232.5699458406287,0.31
233.00948031825965,0.3105
233.00948031825965,0.311
233.00948031825965,0.3115
233.00948031825965,0.312
233.498944410474,0.3125
233.498944410474,0.313
233.498944410474,0.3135
233.498944410474,0.314
234.0497494728487,0.3145
234.0497494728487,0.315
234.0497494728487,0.3155
234.0497494728487,0.316
234.67844996921423,0.3165
234.67844996921423,0.317
234.67844996921423,0.3175
234.67844996921423,0.318
235.40552121456602,0.3185
235.40552121456602,0.319
235.40552121456602,0.3195
235.40552121456602,0.32
236.25904080744039,0.3205
236.25904080744039,0.321
236.25904080744039,0.3215
236.25904080744039,0.322
237.2764312480079,0.3225
237.2764312480079,0.323
237.2764312480079,0.3235
237.2764312480079,0.324
238.50928923891394,0.3245
238.50928923891394,0.325
238.50928923891394,0.3255
238.50928923891394,0.326
240.03397002688462,0.3265
240.03397002688462,0.327
240.03397002688462,0.3275
240.03397002688462,0.328
241.96124586002122,0.3285
241.96124586002122,0.329
241.96124586002122,0.3295
241.96124586002122,0.33
244.49171194586143,0.3305
244.49171194586143,0.331
244.49171194586143,0.3315
244.49171194586143,0.332
248.0793589015392,0.3325
248.0793589015392,0.333
248.0793589015392,0.3335
248.0793589015392,0.334
254.1292399641627,0.3345
254.1292399641627,0.335
254.1292399641627,0.3355
254.1292399641627,0.336
256.46221011159946,0.3365
256.46221011159946,0.337
256.46221011159946,0.3375
256.46221011159946,0.338
258.1083443949411,0.3385
258.1083443949411,0.339
258.1083443949411,0.3395
258.1083443949411,0.34
259.50207416627325,0.3405
259.50207416627325,0.341
259.50207416627325,0.3415
259.50207416627325,0.342
260.75953496096963,0.3425
260.75953496096963,0.343
260.75953496096963,0.3435
260.75953496096963,0.344
261.9263290730082,0.34450000000000003
261.9263290730082,0.345
261.9263290730082,0.34550000000000003
261.9263290730082,0.346
263.02745191337965,0.34650000000000003
263.02745191337965,0.347
263.02745191337965,0.34750000000000003
263.02745191337965,0.348
264.07915046990615,0.34850000000000003
264.07915046990615,0.349
264.07915046990615,0.34950000000000003
264.07915046990615,0.35
265.09258892590856,0.3505
265.09258892590856,0.351
265.09258892590856,0.3515
265.09258892590856,0.352
266.0774569965798,0.3525
266.0774569965798,0.353
266.0774569965798,0.3535
266.0774569965798,0.354
267.0420497493516,0.3545
267.0420497493516,0.355
267.0420497493516,0.3555
267.0420497493516,0.356
267.99287984427303,0.3565
267.99287984427303,0.357
267.99287984427303,0.3575
267.99287984427303,0.358
268.9365029008386,0.3585
268.9365029008386,0.359
268.9365029008386,0.3595
268.9365029008386,0.36
269.8789066825784,0.3605
269.8789066825784,0.361
269.8789066825784,0.3615
269.8789066825784,0.362
270.8247695838114,0.3625
270.8247695838114,0.363
270.8247695838114,0.3635
270.8247695838114,0.364
271.77908933810363,0.3645
271.77908933810363,0.365
271.77908933810363,0.3655
271.77908933810363,0.366
272.74645584062534,0.3665
272.74645584062534,0.367
272.74645584062534,0.3675
272.74645584062534,0.368
273.73020393459956,0.3685
273.73020393459956,0.369
273.73020393459956,0.3695
273.73020393459956,0.37
274.73408074924146,0.3705
274.73408074924146,0.371
274.73408074924146,0.3715
274.73408074924146,0.372
275.76145311983635,0.3725
275.76145311983635,0.373
275.76145311983635,0.3735
275.76145311983635,0.374
276.8143709721087,0.3745
276.8143709721087,0.375
276.8143709721087,0.3755
276.8143709721087,0.376
277.89536001342447,0.3765
