time,dP,inlet_P,inlet_V,outlet_P,outlet_V
0,7.6713128848925,4.449913001598,0.16003417967995,-3.2213998832945,0.21212999810534
0.01,-5031.7867284269,-5031.7867284269,0.16251818472665,0,0.16196703989536
0.02,-2958.0700876833,-2958.0700876833,0.13305188270423,0,0.13263810450476
0.03,4696.0411615425,4696.0411615425,0.18059663257147,0,0.17925568283804
0.04,3412.3001372312,3412.3001372312,0.21454543753966,0,0.21316021780832
0.05,-4289.2470031584,-4289.2470031584,0.1710111162709,0,0.17037062277115
0.06,-3804.710952935,-3804.710952935,0.13298507735121,0,0.13254878214744
0.07,3878.8014335459,3878.8014335459,0.17232324269849,0,0.17108365869634
0.08,4172.4347461763,4172.4347461763,0.21399031095639,0,0.212555970104
0.09,-3404.7459530051,-3404.7459530051,0.17930043501527,0,0.17856309742951
0.1,-4467.2139952389,-4467.2139952389,0.13452288130273,0,0.13409773817844
0.11,2935.0873058737,2935.0873058737,0.16440487135928,0,0.16327080587449
0.12,4736.1971888666,4736.1971888666,0.2118248976696,0,0.21035959936455
0.13,-2413.9519264806,-2413.9519264806,0.18706784764694,0,0.18622572746082
0.14,-4924.649853613,-4924.649853613,0.13759739141244,0,0.13716894310234
0.15,1906.7075600652,1906.7075600652,0.15715452813248,0,0.15612755850922
0.16,5087.3319551763,5087.3319551763,0.20819384572977,0,0.20671811799776
0.17,-1360.4121681845,-1360.4121681845,0.19402026069826,0,0.1930716734253
0.18,-5165.3166898375,-5165.3166898375,0.14203706694346,0,0.14159467664495
0.19,838.1153995959,838.1153995959,0.1508470681397,0,0.14992511440712
0.2,5218.6508522213,5218.6508522213,0.20329529012496,0,0.20182980745278
0.21,-288.64195277979,-288.64195277979,0.19990732907215,0,0.19885525293469
0.22,-5186.5507456533,-5186.5507456533,0.14762172455291,0,0.14715275697496
0.23,-226.23181461943,-226.23181461943,0.14570973430879,0,0.14488660036417
0.24,5132.2171777518,5132.2171777518,0.19737331992407,0,0.19593739387115
0.25,757.4153305329,757.4153305329,0.20452987952249,0,0.20338102678814
0.26,-4994.7923938882,-4994.7923938882,0.15409052475201,0,0.1535764814231
0.27,-1243.4304918703,-1243.4304918703,0.14191432348511,0,0.14118012063135
