time,SAM_dudt,coupled_nekdP,dP,inlet_P,inlet_V,nekRS_accelGradPres,nekRS_posGradPres,outlet_P,outlet_V
0,0,7.6713128848925,7.6713128848925,4.449913001598,0,0,7.6713128848925,-3.2213998832945,0.21212999810534
0.01,3.69533373068e-06,17.331946939974,17.335633260785,17.335633260785,0.21343727033473,0.0036863208117109,17.335633260785,0,0.21223166811249
0.02,-0.0024163531943511,8.529631617457,6.1191719085469,6.1191719085469,0.21341310680279,-2.4104597089101,6.1191719085469,0,0.21220993048618
0.03,-0.00021027319707101,6.7297682856052,6.5200079448618,6.5200079448618,0.21341100407082,-0.20976034074335,6.5200079448618,0,0.21219847573064
0.04,0.00024012265001927,7.7103475828627,7.9498845737386,7.9498845737386,0.21341340529732,0.23953699087587,7.9498845737386,0,0.21220204081877
0.05,-5.2564136460154e-06,8.0222866606083,8.0170430673552,8.0170430673552,0.21341335273318,-0.0052435932531327,8.0170430673552,0,0.21220488668735
0.06,-8.3375803022756e-05,7.5471198656661,7.4639474162269,7.4639474162269,0.21341251897515,-0.083172449439184,7.4639474162269,0,0.21220235573177
0.07,3.5673293469207e-05,7.5338032085424,7.5693894948488,7.5693894948488,0.21341287570809,0.035586286306436,7.5693894948488,0,0.21220151203695
0.08,3.9031480930651e-05,7.7196740651418,7.7586103482904,7.7586103482904,0.2134132660229,0.038936283148661,7.7586103482904,0,0.21220258596845
0.09,-7.5673078997474e-06,7.6800746485907,7.6725257973549,7.6725257973549,0.21341319034982,-0.0075488512357799,7.6725257973549,0,0.21220253825179
0.1,2.3493633843907e-06,7.6758108047919,7.678154438079,7.678154438079,0.21341321384345,0.0023436332870962,7.678154438079,0,0.21220268715451
0.11,0,7.6766905013978,7.6766905013978,7.6766905013978,0.21341321384345,0,7.6766905013978,0,0.21220274525101
0.12,0,7.6757345131098,7.6757345131098,7.6757345131098,0.21341321384345,0,7.6757345131098,0,0.2122027459698
0.13,0,7.6756823850545,7.6756823850545,7.6756823850545,0.21341321384345,0,7.6756823850545,0,0.21220279644418
0.14,0,7.6753617904902,7.6753617904902,7.6753617904902,0.21341321384345,0,7.6753617904902,0,0.21220285811085
0.15,0,7.6750247863091,7.6750247863091,7.6750247863091,0.21341321384345,0,7.6750247863091,0,0.2122028896678
0.16,0,7.6748285068697,7.6748285068697,7.6748285068697,0.21341321384345,0,7.6748285068697,0,0.21220289852478
0.17,0,7.6745692439502,7.6745692439502,7.6745692439502,0.21341321384345,0,7.6745692439502,0,0.21220288761318
0.18,0,7.6743403290034,7.6743403290034,7.6743403290034,0.21341321384345,0,7.6743403290034,0,0.21220285897166
0.19,0,7.6742483506698,7.6742483506698,7.6742483506698,0.21341321384345,0,7.6742483506698,0,0.21220282540262
0.2,0,7.6741906591745,7.6741906591745,7.6741906591745,0.21341321384345,0,7.6741906591745,0,0.21220278066226
0.21,0,7.6741124937551,7.6741124937551,7.6741124937551,0.21341321384345,0,7.6741124937551,0,0.21220273616849
0.22,0,7.6740197072565,7.6740197072565,7.6740197072565,0.21341321384345,0,7.6740197072565,0,0.2122026835357
0.23,0,7.6738598586945,7.6738598586945,7.6738598586945,0.21341321384345,0,7.6738598586945,0,0.21220263097294
0.24,0,7.6737457744594,7.6737457744594,7.6737457744594,0.21341321384345,0,7.6737457744594,0,0.21220258859325
0.25,0,7.6738438132224,7.6738438132224,7.6738438132224,0.21341321384345,0,7.6738438132224,0,0.21220256965244
0.26,0,7.6738583044042,7.6738583044042,7.6738583044042,0.21341321384345,0,7.6738583044042,0,0.21220254618413
0.27,0,7.6736097989034,7.6736097989034,7.6736097989034,0.21341321384345,0,7.6736097989034,0,0.21220255242609
0.28,0,7.6736740191249,7.6736740191249,7.6736740191249,0.21341321384345,0,7.6736740191249,0,0.21220256155859
0.29,0,7.6736561345838,7.6736561345838,7.6736561345838,0.21341321384345,0,7.6736561345838,0,0.21220258419055
0.3,0,7.6733795635912,7.6733795635912,7.6733795635912,0.21341321384345,0,7.6733795635912,0,0.21220262349221
0.31,0,7.6734294869161,7.6734294869161,7.6734294869161,0.21341321384345,0,7.6734294869161,0,0.21220266201425
0.32,0,7.673463533691,7.673463533691,7.673463533691,0.21341321384345,0,7.673463533691,0,0.21220270965402
0.33,0,7.6731942326104,7.6731942326104,7.6731942326104,0.21341321384345,0,7.6731942326104,0,0.2122027516241
0.34,0,7.6731720873505,7.6731720873505,7.6731720873505,0.21341321384345,0,7.6731720873505,0,0.21220279820743
0.35,0,7.6731983990005,7.6731983990005,7.6731983990005,0.21341321384345,0,7.6731983990005,0,0.21220283478948
0.36,0,7.6730421390244,7.6730421390244,7.6730421390244,0.21341321384345,0,7.6730421390244,0,0.21220287914601
0.37,0,7.6730600552347,7.6730600552347,7.6730600552347,0.21341321384345,0,7.6730600552347,0,0.21220291479766
0.38,0,7.6733059287129,7.6733059287129,7.6733059287129,0.21341321384345,0,7.6733059287129,0,0.21220295504727
0.39,0,7.6732754808598,7.6732754808598,7.6732754808598,0.21341321384345,0,7.6732754808598,0,0.21220299812987
0.4,0,7.6731755517024,7.6731755517024,7.6731755517024,0.21341321384345,0,7.6731755517024,0,0.21220303576391
0.41,0,7.6732732007689,7.6732732007689,7.6732732007689,0.21341321384345,0,7.6732732007689,0,0.21220307399823
0.42,0,7.6734218935047,7.6734218935047,7.6734218935047,0.21341321384345,0,7.6734218935047,0,0.21220310270463
0.43,0,7.673568541726,7.673568541726,7.673568541726,0.21341321384345,0,7.673568541726,0,0.21220313158789
0.44,0,7.673659616819,7.673659616819,7.673659616819,0.21341321384345,0,7.673659616819,0,0.2122031466616
0.45,0,7.6736090316943,7.6736090316943,7.6736090316943,0.21341321384345,0,7.6736090316943,0,0.2122031577633
0.46,0,7.673717969817,7.673717969817,7.673717969817,0.21341321384345,0,7.673717969817,0,0.21220314943839
0.47,0,7.673792913756,7.673792913756,7.673792913756,0.21341321384345,0,7.673792913756,0,0.21220312654015
0.48,0,7.6737509756716,7.6737509756716,7.6737509756716,0.21341321384345,0,7.6737509756716,0,0.21220310723844
0.49,0,7.6738366863661,7.6738366863661,7.6738366863661,0.21341321384345,0,7.6738366863661,0,0.21220308057386
0.5,0,7.6740333632707,7.6740333632707,7.6740333632707,0.21341321384345,0,7.6740333632707,0,0.21220304148477
0.51,0,7.6739621595959,7.6739621595959,7.6739621595959,0.21341321384345,0,7.6739621595959,0,0.21220299733411
0.52,0,7.6738705390368,7.6738705390368,7.6738705390368,0.21341321384345,0,7.6738705390368,0,0.21220295446737
0.53,0,7.6739895728833,7.6739895728833,7.6739895728833,0.21341321384345,0,7.6739895728833,0,0.21220291966328
0.54,0,7.6740328712662,7.6740328712662,7.6740328712662,0.21341321384345,0,7.6740328712662,0,0.21220289018091
0.55,0,7.6740961912566,7.6740961912566,7.6740961912566,0.21341321384345,0,7.6740961912566,0,0.21220287628144
0.56,0,7.6741793410903,7.6741793410903,7.6741793410903,0.21341321384345,0,7.6741793410903,0,0.21220287376808
0.57,0,7.6741740267119,7.6741740267119,7.6741740267119,0.21341321384345,0,7.6741740267119,0,0.21220288452949
0.58,0,7.6743024386384,7.6743024386384,7.6743024386384,0.21341321384345,0,7.6743024386384,0,0.21220290250611
0.59,0,7.6743509769948,7.6743509769948,7.6743509769948,0.21341321384345,0,7.6743509769948,0,0.21220292439017
0.6,0,7.6741278540447,7.6741278540447,7.6741278540447,0.21341321384345,0,7.6741278540447,0,0.21220294895284
0.61,0,7.6740867599917,7.6740867599917,7.6740867599917,0.21341321384345,0,7.6740867599917,0,0.21220297280171
0.62,0,7.6740808525546,7.6740808525546,7.6740808525546,0.21341321384345,0,7.6740808525546,0,0.21220299869654
0.63,0,7.6739413061046,7.6739413061046,7.6739413061046,0.21341321384345,0,7.6739413061046,0,0.21220301374426
0.64,0,7.6739602851421,7.6739602851421,7.6739602851421,0.21341321384345,0,7.6739602851421,0,0.21220300348893
0.65,0,7.6740275273294,7.6740275273294,7.6740275273294,0.21341321384345,0,7.6740275273294,0,0.21220297992687
0.66,0,7.6739025659105,7.6739025659105,7.6739025659105,0.21341321384345,0,7.6739025659105,0,0.21220294492835
0.67,0,7.6738328640193,7.6738328640193,7.6738328640193,0.21341321384345,0,7.6738328640193,0,0.21220287970673
0.68,0,7.6740168496897,7.6740168496897,7.6740168496897,0.21341321384345,0,7.6740168496897,0,0.21220282749643
0.69,0,7.674008167448,7.674008167448,7.674008167448,0.21341321384345,0,7.674008167448,0,0.21220275976704
0.7,0,7.6740804968596,7.6740804968596,7.6740804968596,0.21341321384345,0,7.6740804968596,0,0.21220269596237
0.71,0,7.674086762086,7.674086762086,7.674086762086,0.21341321384345,0,7.674086762086,0,0.21220264028926
0.72,0,7.6740440761933,7.6740440761933,7.6740440761933,0.21341321384345,0,7.6740440761933,0,0.21220259113641
0.73,0,7.6742359553755,7.6742359553755,7.6742359553755,0.21341321384345,0,7.6742359553755,0,0.21220256638004
0.74,0,7.6744259027204,7.6744259027204,7.6744259027204,0.21341321384345,0,7.6744259027204,0,0.21220256151995
0.75,0,7.6744428457193,7.6744428457193,7.6744428457193,0.21341321384345,0,7.6744428457193,0,0.21220256744617
0.76,0,7.6746244274627,7.6746244274627,7.6746244274627,0.21341321384345,0,7.6746244274627,0,0.21220257127224
0.77,0,7.6748600744247,7.6748600744247,7.6748600744247,0.21341321384345,0,7.6748600744247,0,0.21220260553486
0.78,0,7.6749685156459,7.6749685156459,7.6749685156459,0.21341321384345,0,7.6749685156459,0,0.21220263910156
0.79,0,7.6751196173309,7.6751196173309,7.6751196173309,0.21341321384345,0,7.6751196173309,0,0.21220269176919
0.8,0,7.6752962780675,7.6752962780675,7.6752962780675,0.21341321384345,0,7.6752962780675,0,0.21220273317477
0.81,0,7.675301976416,7.675301976416,7.675301976416,0.21341321384345,0,7.675301976416,0,0.21220277364376
0.82,0,7.675244527834,7.675244527834,7.675244527834,0.21341321384345,0,7.675244527834,0,0.21220280461014
0.83,0,7.6751754306277,7.6751754306277,7.6751754306277,0.21341321384345,0,7.6751754306277,0,0.2122028322031
0.84,0,7.6751499235956,7.6751499235956,7.6751499235956,0.21341321384345,0,7.6751499235956,0,0.21220285996837
0.85,0,7.6752080716415,7.6752080716415,7.6752080716415,0.21341321384345,0,7.6752080716415,0,0.21220287840157
0.86,0,7.675258324535,7.675258324535,7.675258324535,0.21341321384345,0,7.675258324535,0,0.21220289777633
0.87,0,7.6751858861749,7.6751858861749,7.6751858861749,0.21341321384345,0,7.6751858861749,0,0.21220291501275
0.88,0,7.6753098911879,7.6753098911879,7.6753098911879,0.21341321384345,0,7.6753098911879,0,0.21220293360425
0.89,0,7.6754463389786,7.6754463389786,7.6754463389786,0.21341321384345,0,7.6754463389786,0,0.21220294810213
0.9,0,7.6753356493042,7.6753356493042,7.6753356493042,0.21341321384345,0,7.6753356493042,0,0.2122029633104
0.91,0,7.6753437362484,7.6753437362484,7.6753437362484,0.21341321384345,0,7.6753437362484,0,0.21220298324473
