time,SAM_dudt,coupled_nekdP,dP_over,dt,du,mFlow_pipe1out,mFlow_pipe2out,mFlow_pipe4out,mFlow_pipe5out,p_in,p_out,p_pipe1in,p_pipe1out,p_pipe2in,p_pipe2out,p_pipe4in,p_pipe4out,p_pipe5in,toNekRS_velocity,u,vel_pipe5out,branch1:pressure,branch1:rho,branch1:temperature,branch1:velocity,junction1:pressure,junction1:rho,junction1:temperature,junction1:velocity,junction2:pressure,junction2:rho,junction2:temperature,junction2:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,0,7.7,7.6965163345106,1,0,1.672243189063,1.6722431890647,1.6722431890525,1.7221214530931e-13,-9.2578271922912,-16.954343526802,-22.722171417146,-28.489999341071,-3.4899993078678,-9.2578271922912,-16.954343526802,-22.722171470077,-8.4271457974334e-11,0.2134372333814,0.2134372333814,2.1980345974709e-14,-22.722171416764,997.561,0.99992796737514,0.21343723338071,-9.2578271970552,997.561,0.9999282016006,0.21343723338139,-16.954343526963,997.561,0.99992808178176,0.21343723337983,-3.4899993076282,25,997.561,0.99992807667661,0.21343723338123
0.01,3.69533373068e-06,7.6713128848925,7.6749989147073,0.01,3.69533373068e-08,1.6722434786619,1.6722434785876,1.6722434785264,-6.6351476177636e-11,-9.2721800871114,-16.947179001819,-22.722179364088,-28.497180470102,-3.4971804130447,-9.2721800871114,-16.947179001819,-22.722179365002,-8.4700600969487e-08,0.21343727033473,0.21343727033473,-8.4687894671868e-12,-22.722179371417,997.561,0.99992806037027,0.21343727033429,-9.2721801402396,997.561,0.9999280305317,0.2134372703265,-16.947179003848,997.561,0.99992835027103,0.21343727034272,-3.4971804466754,25,997.561,0.99992805897904,0.21343727035241
0.02,-0.0024163531943511,17.331946939974,14.921537174225,0.01,-2.4163531943511e-05,1.672054137188,1.6720541615642,1.6720541418231,-2.1093578550301e-10,-4.4361158794362,-19.357653053661,-22.717045272997,-26.07666786264,-1.0766500947708,-4.4361158794362,-19.357653053661,-22.71704670586,-1.8409016821574e-07,0.21341310680279,0.21341310680279,-2.692284876584e-11,-22.717041423798,997.561,1.0001015774885,0.21341310431117,-4.4361252987978,997.561,1.0000303556685,0.21341310403668,-19.357651335507,997.561,0.99988877694911,0.21341310740965,-1.0766573379314,25,997.561,0.99988440604814,0.21341310368338
0.03,-0.00021027319707101,8.529631617457,8.3194698323327,0.01,-2.1027319707101e-06,1.672037672418,1.672037687029,1.6720376225825,-4.1224569891774e-08,-8.8372866266461,-17.156756458979,-22.716646872477,-28.276802526637,-3.2767987362236,-8.8372866266461,-17.156756458979,-22.716639430189,-5.2220327403434e-05,0.21341100407082,0.21341100407082,-5.2617096619538e-09,-22.716638571272,997.561,0.9995381097543,0.21341100621818,-8.8372754499793,997.561,1.000019194182,0.21341100172419,-17.156750456782,997.561,1.0002560363444,0.21341099773819,-3.276795470094,25,997.561,1.0001114917174,0.21341099965789
0.04,0.00024012265001927,6.7297682856052,6.9696728373073,0.01,2.4012265001927e-06,1.6720564944852,1.6720565002163,1.6720564979052,-1.1256550930814e-10,-9.7369166695454,-16.706589506853,-22.717048322817,-28.727104642989,-3.7271006333325,-9.7369166695454,-16.706589506853,-22.717044882413,5.2345472921561e-05,0.21341340529732,0.21341340529732,-1.4367330683723e-11,-22.717045426546,997.561,1.0008037873141,0.21341340560208,-9.7369172823604,997.561,0.99930495453409,0.213413404537,-16.706590105704,997.561,0.99827043058342,0.21341340522408,-3.727101148934,25,997.561,0.99988610952598,0.21341340504184
0.05,-5.2564136460154e-06,7.7103475828627,7.7050983378513,0.01,-5.2564136460154e-08,1.6720560871284,1.6720560883856,1.6720560886859,-2.1925771884179e-11,-9.246982333265,-16.952080671116,-22.717087576672,-28.482039132629,-3.4820390978419,-9.246982333265,-16.952080671116,-22.717087005596,1.1540221341894e-07,0.21341335273318,0.21341335273318,-2.7985021086127e-12,-22.717087010191,997.561,0.99867906793554,0.21341335303231,-9.2469821327392,997.561,1.0024332859083,0.21341335264942,-16.95208022125,997.561,1.0044909579506,0.21341335258218,-3.4820389396741,25,997.561,0.99830613625987,0.2134133526593
0.06,-8.3375803022756e-05,8.0222866606083,7.9391284953297,0.01,-8.3375803022756e-07,1.6720495551675,1.672049556038,1.672049555482,-1.8221649207454e-13,-9.0908223580381,-17.029950853368,-22.716911167968,-28.403865194729,-3.4038649332184,-9.0908223580381,-17.029950853368,-22.716910284213,2.7684665472652e-08,0.21341251897515,0.21341251897515,-2.3257253609509e-14,-22.716910466473,997.561,0.99666479547425,0.21341251882592,-9.0908209934927,997.561,0.99913810697013,0.21341251889704,-17.029951184349,997.561,1.0005733449108,0.21341251886432,-3.4038642283689,25,997.561,0.99801756639924,0.21341251880786
0.07,3.5673293469207e-05,7.5471198656661,7.5827183709396,0.01,3.5673293469207e-07,1.672052351947,1.6720523509778,1.6720523513925,1.0488678735372e-09,-9.3285113470633,-16.911229718003,-22.716983601577,-28.522746689242,-3.5227464705674,-9.3285113470633,-16.911229718003,-22.716982975255,1.3356921403026e-06,0.21341287570809,0.21341287570809,1.3387254830777e-10,-22.716983313488,997.561,1.0002686367945,0.21341287583954,-9.3285114088914,997.561,0.99864658290021,0.21341287578525,-16.911229648594,997.561,0.99926015001487,0.21341287578947,-3.5227467174723,25,997.561,0.99969726215633,0.21341287588728
0.08,3.9031480930651e-05,7.5338032085424,7.5727184997777,0.01,3.9031480930651e-07,1.6720554087169,1.6720554090257,1.6720554082635,2.1043937281463e-11,-9.335252333031,-16.907970832809,-22.71706974889,-28.526160244143,-3.5261595427867,-9.335252333031,-16.907970832809,-22.717069701777,-1.3086763466179e-06,0.2134132660229,0.2134132660229,2.6859488991665e-12,-22.71706963745,997.561,0.99936004349074,0.21341326602058,-9.3352526225036,997.561,1.0009838665414,0.21341326601516,-16.907970610373,997.561,0.99935990894389,0.21341326599268,-3.5261599532612,25,997.561,1.0010319656701,0.21341326592861
0.09,-7.5673078997474e-06,7.7196740651418,7.712118564001,0.01,-7.5673078997474e-08,1.6720548163859,1.6720548161405,1.6720548160893,-4.0754221939807e-10,-9.2423125761707,-16.954431140172,-22.71705338655,-28.479687249669,-3.4796867957278,-9.2423125761707,-16.954431140172,-22.717053247094,-5.4569289856036e-07,0.21341319034982,0.21341319034982,-5.201676667799e-11,-22.717053087649,997.561,1.0000594352101,0.21341319035677,-9.2423127317681,997.561,0.99929500340701,0.21341319035669,-16.954431062736,997.561,0.99646237340588,0.21341319039004,-3.4796868387141,25,997.561,1.0005963296294,0.21341319027771
