step= 38  t= 3.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.47e-02s eTime= 1.37544e+00s
step= 39  t= 3.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.41e-02s eTime= 1.40958e+00s
step= 40  t= 4.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 1.44350e+00s
step= 41  t= 4.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.42e-02s eTime= 1.47769e+00s
step= 42  t= 4.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.54e-02s eTime= 1.51306e+00s
step= 43  t= 4.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.50e-02s eTime= 1.54802e+00s
step= 44  t= 4.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.48e-02s eTime= 1.58286e+00s
step= 45  t= 4.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 1.61680e+00s
step= 46  t= 4.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.44e-02s eTime= 1.65119e+00s
step= 47  t= 4.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.40e-02s eTime= 1.68519e+00s
step= 48  t= 4.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.41e-02s eTime= 1.71932e+00s
step= 49  t= 4.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 5  eTimeStep= 3.34e-02s eTime= 1.75276e+00s
step= 50  t= 5.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.51e-02s eTime= 1.78782e+00s
step= 51  t= 5.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.45e-02s eTime= 1.82233e+00s
step= 52  t= 5.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.44e-02s eTime= 1.85670e+00s
step= 53  t= 5.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.45e-02s eTime= 1.89123e+00s
step= 54  t= 5.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 3  S: 6  eTimeStep= 3.65e-02s eTime= 1.92769e+00s
step= 55  t= 5.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 1.96159e+00s
step= 56  t= 5.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.35e-02s eTime= 1.99506e+00s
step= 57  t= 5.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.33e-02s eTime= 2.02835e+00s
step= 58  t= 5.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.49e-02s eTime= 2.06328e+00s
step= 59  t= 5.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.38e-02s eTime= 2.09705e+00s
step= 60  t= 6.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 2.13096e+00s
step= 61  t= 6.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.45e-02s eTime= 2.16548e+00s
step= 62  t= 6.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.55e-02s eTime= 2.20095e+00s
step= 63  t= 6.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.46e-02s eTime= 2.23555e+00s
step= 64  t= 6.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.52e-02s eTime= 2.27080e+00s
step= 65  t= 6.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.38e-02s eTime= 2.30465e+00s
step= 66  t= 6.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 3  S: 6  eTimeStep= 3.48e-02s eTime= 2.33942e+00s
