sam,,nek,,overlap,,decomp,
X,Y,X,Y,X,Y,X,Y
0.9567012942779293,8.39114160510126,0.9567012942779293,13.68037023511896,0.9486546321525886,12.153993089693525,0.9486546321525886,12.153993089693525
1.0291212534059946,26.143571448636195,0.9929112738419619,13.730143402904574,1.0009579359673024,29.806876597657237,1.0009579359673024,29.806876597657237
1.0774012261580381,26.196662827607515,1.010154121253406,31.35979943256833,0.9969346049046323,12.08762886597938,0.9969346049046323,12.14735666732211
1.125681198910082,26.22984493946459,1.061307901907357,31.56552852608219,1.0492379087193462,29.89646829967134,1.0492379087193462,29.89646829967134
1.1739611716621254,26.296209163178737,1.1095878746594008,31.645165594539172,1.090620742506812,29.966150734571194,1.090620742506812,29.966150734571194
1.222241144414169,26.342664119778643,1.157867847411444,31.704893395881903,1.1397628576294279,30.005969268799685,1.1397628576294279,30.005969268799685
1.2705211171662127,26.38911907637855,1.2061478201634879,31.771257619596057,1.194077826975477,30.055742436585298,1.194077826975477,30.055742436585298
1.3188010899182563,26.462119722464113,1.2544277929155314,31.844258265681617,1.23833446866485,30.165243405713642,1.23833446866485,30.165243405713642
1.3670810626702998,26.50857467906402,1.302707765667575,31.903986067024356,1.2825911103542236,30.1608191241327,1.2825911103542236,30.1608191241327
1.4153610354223434,26.548393213292506,1.3509877384196187,31.963713868367087,1.3389177452316077,30.27972169162055,1.3389177452316077,30.27972169162055
1.4636410081743871,26.614757437006656,1.3992677111716623,32.01680524733841,1.3803005790190737,30.36433607685609,1.3803005790190737,30.36433607685609
1.5119209809264307,26.6346667041209,1.4475476839237058,32.07653304868114,1.4301132493188013,30.382033203179866,1.4301132493188013,30.382033203179866
1.5602009536784742,26.70103092783505,1.4958276566757494,32.136260850023874,1.4837576634877385,30.45392777887019,1.4837576634877385,30.45392777887019
1.6084809264305178,26.734213039692122,1.5441076294277931,32.1893522289952,1.5280143051771118,30.563428747998536,1.5280143051771118,30.563428747998536
1.6567608991825615,26.78066799629203,1.5923876021798367,32.24908003033793,1.572270946866485,30.550155903255707,1.572270946866485,30.550155903255707
1.705040871934605,26.833759375263348,1.6406675749318802,32.30880783168067,1.6285975817438694,30.603247282227027,1.6285975817438694,30.603247282227027
1.7533208446866486,26.873577909491836,1.6889475476839237,32.38180847776623,1.6728542234332426,30.722702884912497,1.6728542234332426,30.722702884912497
1.8016008174386922,26.93994213320599,1.7372275204359675,32.44817270148038,1.717110865122616,30.74261215202674,1.717110865122616,30.74261215202674
1.849880790190736,26.99966993454872,1.785507493188011,32.52117334756594,1.76941416893733,30.868704177083625,1.76941416893733,30.868704177083625
1.8981607629427795,27.04612489114863,1.8337874659400546,32.574264726537265,1.8176941416893735,30.92843197842636,1.8176941416893735,30.92843197842636
1.946440735694823,27.099216270119946,1.8820674386920984,32.647265372622826,1.8619507833787468,30.948341245540604,1.8619507833787468,30.948341245540604
