time,SAM_dudt,coupled_nekdP,dP,inlet_P,inlet_T,inlet_V,nekRS_accelGradPres,nekRS_posGradPres,outlet_P,outlet_T,outlet_V
0,0,8.2682138631569,11.740869556118,-3285.9628457192,0,0,0,8.2682138631569,-3297.7037152753,548.11256634818,0.23414793995922
0.01,8.4588203108638e-05,8.2199913209885,11.764764586522,11.764764586522,548.11212676472,0.23346692813361,0.065050019954604,8.2850413409431,0,548.11256634818,0.2335213906577
0.02,0.00010008959328012,8.2310498292557,11.797395332855,11.797395332855,548.1112509674,0.23346776883493,0.076970899024276,8.30802072828,0,548.11256634818,0.23352356672004
0.03,8.8981941537281e-05,8.220035719774,11.769625634499,11.769625634499,548.1111067044,0.23346870938847,0.068428892680999,8.288464612455,0,548.11256634818,0.23352622459018
0.04,0.00010904814023993,8.2293863004469,11.804815934189,11.804815934189,548.11187049497,0.23346975356922,0.083860200807312,8.3132465012543,0,548.11256634818,0.23352927387043
0.05,0.00012671623861316,8.2501054024533,11.853530795231,11.853530795231,548.11298044561,0.23347090437776,0.097447321818289,8.3475527242716,0,548.11256634818,0.23353257880277
0.060000000000001,0.00014229614875294,8.2672932982736,11.89495102075,11.89495102075,548.11389823674,0.23347215807255,0.10942858431399,8.3767218825876,0,548.11256634818,0.23353598593567
0.070000000000001,0.00015271634484781,8.2716348332684,11.91249495088,11.91249495088,548.11442170552,0.23347351549053,0.11744192351487,8.3890767567833,0,548.11256634818,0.23353933038206
0.080000000000001,0.00013792465280993,8.2358509668365,11.845529175108,11.845529175108,548.11462154062,0.23347498507763,0.10606681650389,8.3419177833404,0,548.11256634818,0.23354245894088
0.090000000000002,0.00017433765708841,8.27540872904,11.941464551946,11.941464551946,548.11465408777,0.23347656665197,0.13406914505413,8.4094778740941,0,548.11256634818,0.23354523816163
