time,SAM_dudt,coupled_nekdP,dP_over,dt,du,mFlow_pipe1out,mFlow_pipe2out,mFlow_pipe4out,mFlow_pipe5out,p_in,p_out,p_pipe1in,p_pipe1out,p_pipe2in,p_pipe2out,p_pipe4in,p_pipe4out,p_pipe5in,toNekRS_velocity,u,vel_pipe5out,branch1:pressure,branch1:rho,branch1:temperature,branch1:velocity,junction1:pressure,junction1:rho,junction1:temperature,junction1:velocity,junction2:pressure,junction2:rho,junction2:temperature,junction2:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,0,-9.6,-9.5965743262571,1,0,2.5065711111863,2.5065711111742,2.5065711111802,2.0305226135837e-11,-49.116178363244,-39.519604036987,-51.051795438803,-62.583986835774,-37.583986835932,-49.116178363244,-39.519604036987,-51.051795420232,4.0879625490518e-10,0.31992691418404,0.31992691418404,2.5916632927299e-12,-51.051795439269,997.561,1.0010016294395,0.31992691418477,-49.116178231028,997.561,1.0010012147342,0.31992691418554,-39.519604037399,997.561,1.0010014148094,0.31992691418753,-37.583986836072,25,997.561,1.0010013997625,0.31992691418426
0.005,-0.0043240775269626,7.6713128848925,3.3580437067881,0.005,-2.1620387634813e-05,2.5064017647566,2.5064017192392,2.5064017732728,5.5701031134595e-10,-40.473165440571,-43.831209147359,-51.044936456683,-58.258897250679,-33.258885240209,-40.473165440571,-43.831209147359,-51.044898113142,1.3667106937275e-06,0.31990529379641,0.31990529379641,7.1094168955821e-11,-51.04490163851,997.561,1.0011024890826,0.31990529453125,-40.473142000763,997.561,1.0010856857769,0.31990529379493,-43.831210443295,997.561,1.0010143332037,0.31990529505507,-33.258871416288,25,997.561,1.000962391689,0.31990529960738
0.01,-5.3002419715831,21144.663868144,15857.348341136,0.005,-0.026501209857915,2.2987694005963,2.2987694004315,2.2987694007431,2.7265688144598e-10,10536.961029736,-5320.3873114,-42.938010349111,5234.5113100721,5259.511319312,10536.961029736,-5320.3873114,-42.938066294654,-7.2437270597905e-07,0.29340408393849,0.29340408393849,3.4800638339437e-11,-42.938003298704,997.561,0.98786768518028,0.29340408397313,10536.961034208,997.561,1.0270450612523,0.29340408393494,-5320.3873051718,997.561,0.96192839561074,0.29340408387615,5259.5113074188,25,997.561,0.98483904397955,0.29340408386988
0.015,-0.050056961519318,195.18792837394,145.25297459786,0.005,-0.00025028480759659,2.2968084578926,2.2968084629784,2.2968084534882,1.5022236444865e-11,62.303867674734,-82.949106923131,-42.864775754669,-2.7804721450161,22.219531968209,62.303867674734,-82.949106923131,-42.864765113028,-6.559386511746e-07,0.2931537991309,0.2931537991309,1.9173674062242e-12,-42.864772464708,997.561,1.0012347686597,0.29315379787543,62.30386761151,997.561,1.0044999018405,0.29315379906529,-82.949114519856,997.561,0.99541656446073,0.29315379856773,22.219531778129,25,997.561,1.0026603640642,0.29315379868907
0.02,0.0067620687873138,-31.540415399329,-24.794881262647,0.005,3.3810343936569e-05,2.2970733608403,2.2970733610774,2.2970733599412,2.1252472222059e-11,-51.071217302184,-26.276336039537,-42.87466049464,-59.472912523546,-34.472912226331,-51.071217302184,-26.276336039537,-42.874660558229,1.5795918234173e-08,0.29318760947483,0.29318760947483,2.7125653154121e-12,-42.874660073956,997.561,1.0085942386227,0.29318760955761,-51.071216590039,997.561,1.0064868307328,0.29318760935407,-26.276335797998,997.561,0.99594482055752,0.29318760949473,-34.472911946773,25,997.561,1.0067346432026,0.29318760948921
0.025,-0.0070476869280522,23.570365337035,16.539875905598,0.005,-3.5238434640261e-05,2.2967972742042,2.2967972741389,2.296797274167,2.564951712478e-11,-23.504443618165,-40.044319523764,-42.86435445081,-45.684396947813,-20.684397150149,-23.504443618165,-40.044319523764,-42.864354774264,1.1223027176056e-08,0.29315237104019,0.29315237104019,3.2737833877761e-12,-42.864354544518,997.561,1.0083184488726,0.29315237102607,-23.504443618746,997.561,1.0040282346656,0.29315237104973,-40.04431924596,997.561,0.9979345429568,0.2931523710508,-20.68439709167,25,997.561,1.0049671048901,0.29315237104705
0.03,-0.0046412999541112,13.970532231901,9.3404899925428,0.005,-2.3206499770556e-05,2.2966155201832,2.2966154552942,2.2966154842292,-3.1416352939294e-08,-28.297683243255,-37.638173235798,-42.857629139278,-48.077965546648,-23.078027869348,-28.297683243255,-37.638173235798,-42.857653635373,-8.0066424494148e-05,0.29312916454042,0.29312916454042,-4.0098351113911e-09,-42.857657987716,997.561,1.0077021266419,0.29312916432181,-28.297666091324,997.561,1.0032923068779,0.29312916453092,-37.638184768745,997.561,0.9964780437763,0.29312915999101,-23.077995231812,25,997.561,1.0045208128316,0.29312917282405
0.035,-0.0048410884108119,14.775890025694,9.946800216507,0.005,-2.4205442054059e-05,2.2964258130271,2.2964258099124,2.296425812672,2.7774930552978e-11,-27.885455005945,-37.832255222452,-42.850419597256,-47.867618072333,-22.867618600127,-27.885455005945,-37.832255222452,-42.850417717584,8.0071831984905e-05,0.29310495909837,0.29310495909837,3.5450611330662e-12,-42.850418556836,997.561,1.0038962430707,0.29310495950044,-27.885451855678,997.561,1.0031239498772,0.29310495943539,-37.832256101092,997.561,1.0000435962476,0.29310495943109,-22.867617124923,25,997.561,1.0000273950043,0.29310495949443
0.04,-0.0049511567938199,15.218087240399,10.278947389476,0.005,-2.4755783969099e-05,2.2962318523375,2.2962318526985,2.2962318529225,2.8053770962141e-11,-27.657304702668,-37.936252092144,-42.843251235412,-47.750251494683,-22.750254410005,-27.657304702668,-37.936252092144,-42.843254914203,6.6662846496721e-10,0.2930802033144,0.2930802033144,3.5806510077184e-12,-42.84325309368,997.561,1.0043201403611,0.29308020329315,-27.657303891724,997.561,0.98997566443493,0.29308020333442,-37.936250150162,997.561,0.99139386726454,0.29308020337524,-22.750252952397,25,997.561,1.0050668364762,0.29308020326983
0.045,-0.0046572078710616,14.049411195398,9.4034817059946,0.005,-2.3286039355308e-05,2.2960494112813,2.2960494106752,2.2960494063662,-3.7553291094057e-09,-28.234271772097,-37.637753478092,-42.836505338809,-48.03537738811,-23.035377655595,-28.234271772097,-37.637753478092,-42.836506063496,-9.6343082606782e-06,0.29305691727504,0.29305691727504,-4.7931249520978e-10,-42.836505973981,997.561,1.0105399090848,0.29305691677455,-28.234271996202,997.561,1.0275898342165,0.2930569172552,-37.637752522798,997.561,1.0313779883004,0.29305691714132,-23.035378444434,25,997.561,0.96956577499131,0.29305691687879
