SAM,,Nek,,overlap,
X,Y,X,Y,X,Y
0.9043752546823829,11.569167078305455,0.911981768514466,15.185002234610593,1.0412925036598804,57.62660833156916
0.9271947961786324,11.628443064474396,0.9348013100107156,15.185002234610593,1.109751128148629,58.26876484839931
0.950014337674882,11.628443064474396,0.9576208515069652,15.185002234610593,1.1782097526373776,58.71333474466633
0.9728338791711315,11.628443064474396,0.9823420214612355,15.251687719050636,1.2466683771261264,59.30609460635569
0.9918501637513395,13.851292545809514,1.0108664483315475,57.68588431773809,1.315127001614875,59.30609460635569
0.9918501637513395,13.317808670289082,1.033685989827797,57.863712276244904,1.3835856261036237,59.46416390280619
0.9918501637513395,12.78432479476865,1.0565055313240466,58.041540234751714,1.4520442505923725,60.11619975066449
0.9918501637513395,12.250840919248233,1.0793250728202963,58.18973020017406,1.5205028750811211,60.08656175758003
0.9918501637513395,11.806271022981207,1.1021446143165456,58.36755815868087,1.5889614995698698,60.54101098487521
1.0108664483315475,54.07004916143296,1.1249641558127954,58.48611013101874,1.6574201240586186,60.847270246748046
1.033685989827797,54.129325147601904,1.1477836973090447,58.63430009644108,1.7258787485473672,61.331357467127695
1.0565055313240466,54.24787711993977,1.1706032388052945,58.75285206877896,1.7943373730361158,61.459788770493724
1.0793250728202963,54.33679109919318,1.193422780301544,58.84176604803236,1.8627959975248647,61.835203349563656
1.1021446143165456,54.42570507844658,1.2162423217977936,59.019594006539165,1.9312546220136133,62.10194528732387
1.1249641558127954,54.51461905769999,1.239061863294043,59.10850798579257,2.007319760334445,62.46501070260861
1.1477836973090447,54.633171030037865,1.2618814047902926,59.197421965045976,2.075778384823194,62.90217110060452
1.1706032388052945,54.72208500929127,1.2847009462865424,59.375249923552786,2.1442370093119427,63.247947686589974
1.193422780301544,54.84063698162914,1.3075204877827917,59.43452590972173,2.212695633800691,63.573965610519124
1.2162423217977936,54.959188953967015,1.3303400292790415,59.5530778820596,2.2821050725184504,63.99877684472984
1.239061863294043,55.04810293322042,1.3531595707752908,59.58271587514407,2.349612882778189,64.49274339613764
